wind.dir.9.am,rainfall,pressure.9.am,wind.dir.3.pm,evaporation,date,humidity.9.am,sunshine,wind.speed.9.am,temp.3.pm.c,pressure.3.pm,temp.9.am.c,location,wind.gust.speed,wind.speed.3.pm,humidity.3.pm,wind.gust.dir,min.temp.c,rain.today,max.temp.c,rain.tomorrow
SW,5.0,1017.4,W,1.6,2008-07-01,92.0,2.6,13.0,14.9,1017.7,13.5,Adelaide,48.0,15.0,67.0,NW,8.8,Yes,15.7,No
SSW,0.8,1022.4,SW,1.4,2008-07-02,75.0,7.8,13.0,15.5,1022.6,13.7,Adelaide,35.0,15.0,52.0,SW,12.7,No,15.8,No
NNE,0.0,1027.8,SW,1.8,2008-07-03,81.0,2.1,2.0,13.9,1026.5,9.3,Adelaide,20.0,11.0,56.0,W,6.2,No,15.1,No
NNE,0.0,1028.7,NE,1.4,2008-07-04,71.0,8.0,6.0,15.3,1025.6,10.2,Adelaide,30.0,13.0,46.0,NNE,5.3,No,15.9,No
NNE,0.0,1023.6,NE,,2008-07-05,56.0,0.9,9.0,13.8,1020.2,11.3,Adelaide,30.0,9.0,67.0,N,9.8,No,15.4,
NNE,,1019.5,NNW,,2008-07-06,62.0,1.5,15.0,14.4,1016.2,13.0,Adelaide,52.0,22.0,62.0,NNW,11.3,,15.7,Yes
WNW,16.2,1015.9,SW,4.6,2008-07-07,83.0,1.1,17.0,9.3,1017.9,9.8,Adelaide,46.0,13.0,88.0,WSW,7.6,Yes,11.2,Yes
SW,17.0,1025.8,WSW,0.6,2008-07-08,73.0,2.1,11.0,10.8,1025.9,10.9,Adelaide,43.0,22.0,91.0,SW,5.3,Yes,13.5,Yes
N,1.8,1025.8,NW,1.6,2008-07-09,90.0,0.8,9.0,13.5,1022.7,10.8,Adelaide,41.0,19.0,64.0,NW,8.4,Yes,14.3,Yes
WSW,9.0,1019.8,SW,1.2,2008-07-10,54.0,7.2,24.0,11.2,1019.6,10.9,Adelaide,52.0,20.0,66.0,WSW,9.5,Yes,13.1,No
ENE,0.2,1023.8,NNW,2.8,2008-07-11,70.0,4.3,9.0,13.5,1021.2,10.0,Adelaide,28.0,13.0,43.0,SW,8.2,No,14.0,
NE,,1014.0,N,,2008-07-12,65.0,6.1,24.0,15.6,1009.8,9.5,Adelaide,48.0,22.0,42.0,N,8.1,,15.8,
N,,1011.2,NNW,,2008-07-13,67.0,9.1,17.0,16.5,1009.5,11.7,Adelaide,54.0,28.0,47.0,NNW,9.4,,16.8,Yes
W,3.8,1014.0,W,7.0,2008-07-14,85.0,0.5,15.0,15.2,1015.4,13.2,Adelaide,48.0,19.0,72.0,N,10.0,Yes,15.4,Yes
