Max_Temp_F,Date,Rain_Today,Rain_Tomorrow,Temp_3_pm_F,Wind_Speed_9_am,Sunshine,Cloud_9_am,Min_Temp_F,Pressure_3_pm,Wind_Dir_3_pm,Location,Humidity_9_am,Rainfall,Pressure_9_am,Wind_Dir_9_am,Temp_9_am_F,Evaporation,Cloud_3_pm,Humidity_3_pm,Wind_Speed_3_pm
65.3,2008-12-01,No,No,64.22,4.0,8.9,7.0,55.94,1015.2,SW,Albany,82.0,0.0,1017.9,NNW,59.36,3.8,5.0,63.0,17.0
69.8,2008-12-02,No,No,66.38,6.0,9.1,2.0,58.459999999999994,1009.3,ESE,Albany,64.0,0.0,1012.8,NE,64.04,5.4,6.0,71.0,17.0
75.2,2008-12-03,No,Yes,69.8,19.0,10.0,7.0,61.7,998.7,WSW,Albany,36.0,0.2,999.8,ENE,68.0,4.8,7.0,73.0,24.0
69.08,2008-12-04,Yes,No,64.4,13.0,7.2,5.0,57.379999999999995,1008.5,WSW,Albany,69.0,7.8,1006.7,N,67.64,7.0,7.0,81.0,41.0
64.04,2008-12-05,No,No,62.6,13.0,4.9,3.0,55.4,1016.3,SW,Albany,73.0,0.0,1015.3,SW,60.8,3.6,5.0,63.0,19.0
65.3,2008-12-06,No,No,63.86,11.0,8.7,8.0,58.64,1017.9,ESE,Albany,46.0,0.0,1020.1,ESE,62.42,3.8,3.0,48.0,20.0
68.0,2008-12-07,No,No,67.1,7.0,12.8,2.0,57.2,1007.9,ESE,Albany,62.0,0.0,1013.4,ENE,64.4,6.0,2.0,72.0,31.0
67.28,2008-12-08,No,No,65.66,20.0,8.4,5.0,61.34,1008.0,WSW,Albany,68.0,0.0,1008.2,SW,64.94,7.0,3.0,55.0,31.0
66.92,2008-12-09,No,Yes,64.04,6.0,7.4,2.0,51.44,1010.3,SSE,Albany,71.0,0.0,1010.5,NNW,62.6,4.4,6.0,66.0,13.0
66.56,2008-12-10,Yes,No,65.84,6.0,4.7,8.0,56.48,1013.0,SE,Albany,84.0,14.4,1013.1,ENE,58.82,4.4,6.0,69.0,20.0
67.46,2008-12-11,No,No,66.02,22.0,12.1,5.0,58.28,1015.1,ESE,Albany,71.0,0.2,1016.3,ESE,65.3,2.2,3.0,67.0,20.0
69.8,2008-12-12,No,No,67.28,17.0,8.7,8.0,58.28,1016.6,SW,Albany,72.0,0.2,1018.1,SW,63.86,6.2,1.0,64.0,30.0
70.34,2008-12-13,No,No,69.8,4.0,8.9,8.0,61.7,1019.1,WSW,Albany,90.0,0.2,1020.0,W,64.4,5.8,6.0,82.0,31.0
72.5,2008-12-14,No,No,69.44,6.0,13.0,0.0,58.28,1015.6,N,Albany,72.0,0.0,1018.9,NE,67.1,4.2,0.0,75.0,22.0
69.08,2008-12-15,No,No,67.1,24.0,2.1,8.0,63.5,1013.3,S,Albany,81.0,0.0,1012.4,S,65.3,8.0,8.0,77.0,19.0
65.84,2008-12-16,No,No,63.86,9.0,5.9,7.0,57.2,1016.9,S,Albany,87.0,0.8,1017.6,N,58.82,4.2,7.0,69.0,19.0
66.2,2008-12-17,No,No,64.4,6.0,2.5,7.0,58.1,1018.3,SW,Albany,69.0,0.2,1018.3,W,62.959999999999994,4.0,5.0,64.0,28.0
69.8,2008-12-18,No,No,68.0,6.0,13.2,2.0,53.6,1014.8,SE,Albany,85.0,0.0,1019.1,ENE,62.6,4.2,1.0,60.0,33.0
71.6,2008-12-19,No,No,69.98,19.0,13.1,4.0,60.440000000000005,1007.7,SSE,Albany,76.0,0.0,1010.6,ESE,68.36,6.8,3.0,78.0,19.0
81.86,2008-12-20,No,No,75.2,9.0,11.0,6.0,66.02,997.6,W,Albany,71.0,0.2,998.9,WNW,71.42,6.0,6.0,53.0,19.0
65.3,2008-12-21,No,Yes,63.5,37.0,3.8,7.0,59.9,1013.1,WSW,Albany,87.0,0.6,1011.9,N,60.8,8.2,7.0,68.0,30.0
69.44,2008-12-22,Yes,No,,4.0,12.6,1.0,50.9,1014.4,,Albany,68.0,1.2,1016.2,NNE,63.5,3.8,,,
70.16,2008-12-23,No,No,68.9,6.0,12.8,0.0,53.6,1010.9,WSW,Albany,67.0,0.0,1012.5,W,64.04,5.4,1.0,65.0,43.0
67.28,2008-12-24,No,No,66.2,7.0,12.2,2.0,57.2,1013.8,ESE,Albany,57.0,0.0,1016.5,SE,63.5,8.0,4.0,63.0,22.0
69.98,2008-12-25,No,No,68.9,9.0,12.0,1.0,53.96,1013.1,WSW,Albany,66.0,0.0,1014.7,WNW,64.4,6.8,1.0,56.0,30.0
69.8,2008-12-26,No,No,68.0,6.0,13.3,3.0,56.120000000000005,1013.4,SW,Albany,58.0,0.8,1015.7,W,64.4,6.6,1.0,60.0,30.0
76.28,2008-12-27,No,Yes,72.5,6.0,9.6,7.0,63.5,1011.0,WSW,Albany,77.0,0.0,1013.2,W,68.0,8.2,2.0,70.0,43.0
68.0,2008-12-28,Yes,No,67.64,19.0,9.5,8.0,,1016.7,SE,Albany,69.0,2.4,1018.4,S,63.32,7.6,1.0,60.0,11.0
70.7,2008-12-29,No,No,70.7,4.0,13.4,2.0,53.6,1017.3,S,Albany,77.0,0.0,1018.4,SSW,62.6,6.6,0.0,62.0,19.0
69.8,2008-12-30,No,No,68.9,6.0,9.6,8.0,61.7,1014.4,ESE,Albany,76.0,0.0,1018.1,ESE,65.12,7.2,1.0,77.0,20.0
68.9,2008-12-31,No,No,66.56,19.0,9.8,7.0,62.42,1014.0,SE,Albany,73.0,0.0,1015.2,SE,64.94,7.2,5.0,69.0,22.0
70.52,2009-01-01,No,No,69.44,13.0,9.6,8.0,61.519999999999996,1015.6,ESE,Albany,64.0,0.0,1017.9,E,66.92,8.0,1.0,64.0,31.0
