pressure.3.pm,wind.gust.speed,max.temp.f,humidity.3.pm,humidity.9.am,rainfall,temp.9.am.f,date,pressure.9.am,temp.3.pm.f,min.temp.f,wind.speed.3.pm,wind.dir.9.am,cloud.9.am,location,wind.dir.3.pm,cloud.3.pm,wind.gust.dir,wind.speed.9.am,rain.today,rain.tomorrow
1007.1,44.0,73.22,22.0,71.0,0.6,62.42,2008-12-01,1007.7,71.24000000000001,56.120000000000005,24.0,W,8.0,Albury,WNW,,W,20.0,No,No
1007.8,44.0,77.18,25.0,44.0,0.0,62.959999999999994,2008-12-02,1010.6,75.74000000000001,45.32,22.0,NNW,,Albury,WSW,,WNW,4.0,No,No
1008.7,46.0,78.25999999999999,30.0,38.0,0.0,69.8,2008-12-03,1007.6,73.75999999999999,55.22,26.0,W,,Albury,WSW,2.0,WSW,19.0,No,No
1012.8,24.0,82.4,16.0,45.0,0.0,64.58,2008-12-04,1017.6,79.7,48.56,9.0,SE,,Albury,E,,NE,11.0,No,No
1006.0,41.0,90.14,33.0,82.0,1.0,64.04,2008-12-05,1010.8,85.46000000000001,63.5,20.0,ENE,7.0,Albury,NW,8.0,W,7.0,No,No
1005.4,56.0,85.46000000000001,23.0,55.0,0.2,69.08,2008-12-06,1009.2,84.02,58.28,24.0,W,,Albury,W,,WNW,19.0,No,No
1008.2,50.0,77.0,19.0,49.0,0.0,64.58,2008-12-07,1009.6,76.28,57.74,24.0,SW,1.0,Albury,W,,W,20.0,No,No
1010.1,35.0,80.06,19.0,48.0,0.0,61.34,2008-12-08,1013.4,77.9,45.86,17.0,SSE,,Albury,W,,W,6.0,No,No
1003.6,80.0,89.41999999999999,9.0,42.0,0.0,64.94,2008-12-09,1008.9,86.36,49.46,28.0,SE,,Albury,NW,,NNW,7.0,No,Yes
1005.7,28.0,86.18,27.0,58.0,1.4,68.18,2008-12-10,1007.0,82.75999999999999,55.58,11.0,S,,Albury,SSE,,W,15.0,Yes,No
1008.7,30.0,86.72,22.0,48.0,0.0,68.72,2008-12-11,1011.8,83.84,56.120000000000005,6.0,SSE,,Albury,ESE,,N,17.0,No,Yes
1004.2,31.0,71.06,91.0,89.0,2.2,60.62,2008-12-12,1010.5,62.6,60.62,13.0,NE,8.0,Albury,ENE,8.0,NNE,15.0,Yes,Yes
993.0,61.0,65.48,93.0,76.0,15.6,63.32,2008-12-13,994.3,60.440000000000005,60.62,28.0,NNW,8.0,Albury,NNW,8.0,W,28.0,Yes,Yes
1001.8,44.0,69.8,43.0,65.0,3.6,60.440000000000005,2008-12-14,1001.2,67.64,54.68,20.0,W,,Albury,SSW,7.0,SW,24.0,Yes,No
1008.7,,76.28,32.0,57.0,0.0,60.62,2008-12-15,1009.7,74.3,47.120000000000005,30.0,S,,Albury,WNW,,,4.0,No,
1010.3,50.0,81.86,28.0,50.0,,63.14,2008-12-16,1013.4,79.16,49.64,22.0,,0.0,Albury,WNW,,WNW,,,No
1010.4,22.0,69.62,82.0,69.0,0.0,62.959999999999994,2008-12-17,1012.2,64.58,57.379999999999995,9.0,SSW,8.0,Albury,E,1.0,ENE,11.0,No,Yes
1002.2,63.0,73.22,65.0,80.0,16.8,64.4,2008-12-18,1005.8,70.7,56.3,20.0,N,8.0,Albury,WNW,1.0,W,6.0,Yes,Yes
1009.7,43.0,72.5,32.0,47.0,10.6,59.9,2008-12-19,1009.4,69.8,52.16,17.0,WSW,,Albury,SW,2.0,SSE,24.0,Yes,No
1017.1,26.0,78.08,26.0,45.0,0.0,60.440000000000005,2008-12-20,1019.2,73.75999999999999,49.64,6.0,SE,,Albury,NNW,,SSE,17.0,No,No
1014.8,24.0,84.74,28.0,56.0,0.0,66.38,2008-12-21,1019.3,81.14,52.7,9.0,SE,,Albury,SE,,S,9.0,No,No
