RainToday,Evaporation,WindDir3pm,Temp3pmF,MaxTempF,Cloud3pm,WindSpeed9am,Rainfall,Date,Location,Humidity3pm,MinTempF,WindGustDir,RainTomorrow,Sunshine,WindDir9am,Humidity9am,Pressure3pm,WindSpeed3pm,Cloud9am,Temp9amF,WindGustSpeed,Pressure9am
No,11.2,NE,98.96000000000001,99.68,3.0,20.0,0.0,2008-12-01,AliceSprings,16.0,67.28,WNW,Yes,9.8,NNE,17.0,1005.8,11.0,0.0,86.72,87.0,1010.5
Yes,9.0,S,100.76,102.38000000000001,5.0,24.0,1.2,2008-12-02,AliceSprings,13.0,69.8,NNW,No,12.2,NNW,18.0,1004.6,9.0,2.0,90.5,41.0,1009.3
No,11.6,N,104.72,105.61999999999999,3.0,7.0,0.0,2008-12-03,AliceSprings,11.0,73.22,NNW,No,12.6,ENE,17.0,1003.4,24.0,0.0,95.0,48.0,1006.3
No,16.0,W,97.7,104.9,6.0,2.0,0.0,2008-12-04,AliceSprings,24.0,76.46,WNW,No,7.8,SSW,29.0,1006.9,22.0,3.0,90.14,72.0,1008.7
No,12.2,S,87.98,90.32,6.0,9.0,0.2,2008-12-05,AliceSprings,43.0,74.12,SSW,Yes,4.1,S,58.0,1010.7,17.0,7.0,80.24000000000001,46.0,1014.0
Yes,8.4,N,73.22,77.18,7.0,19.0,2.6,2008-12-06,AliceSprings,78.0,71.06,SSE,Yes,0.2,SSW,90.0,1011.1,11.0,8.0,71.42,35.0,1014.3
Yes,4.6,NNW,75.74000000000001,78.25999999999999,8.0,11.0,4.8,2008-12-07,AliceSprings,77.0,69.62,N,No,2.1,SSW,70.0,1009.9,17.0,7.0,77.0,31.0,1011.4
No,3.0,NNW,92.48,94.28,1.0,15.0,0.6,2008-12-08,AliceSprings,27.0,63.86,E,No,12.2,ENE,63.0,1005.9,9.0,3.0,76.1,26.0,1010.9
No,8.0,WNW,100.4,102.2,3.0,28.0,0.0,2008-12-09,AliceSprings,20.0,75.92,S,No,11.0,N,40.0,1002.6,11.0,3.0,90.5,50.0,1006.2
No,11.8,WSW,85.28,101.48,7.0,22.0,0.0,2008-12-10,AliceSprings,51.0,77.54,W,No,8.7,NNE,38.0,1004.4,35.0,4.0,91.03999999999999,54.0,1005.9
No,12.0,WSW,81.68,90.14,7.0,26.0,0.0,2008-12-11,AliceSprings,73.0,77.0,NW,Yes,4.2,NNW,50.0,1001.3,9.0,7.0,85.1,63.0,1005.6
Yes,3.6,WSW,87.8,89.96000000000001,6.0,13.0,14.4,2008-12-12,AliceSprings,37.0,69.25999999999999,NW,No,8.4,NNW,88.0,1002.7,19.0,6.0,72.5,41.0,1005.2
No,9.6,S,78.62,79.88,1.0,26.0,0.0,2008-12-13,AliceSprings,39.0,61.88,S,No,13.3,S,55.0,1009.6,24.0,3.0,69.25999999999999,37.0,1012.9
No,9.0,SSE,78.8,80.24000000000001,0.0,20.0,0.0,2008-12-14,AliceSprings,24.0,56.66,SSE,No,13.3,SE,37.0,1010.5,19.0,0.0,68.9,46.0,1014.1
No,10.4,SE,81.14,83.3,0.0,20.0,0.0,2008-12-15,AliceSprings,15.0,55.58,ESE,No,13.4,ESE,30.0,1009.6,13.0,0.0,71.06,35.0,1013.7
No,10.0,SW,88.16,89.06,0.0,22.0,0.0,2008-12-16,AliceSprings,15.0,56.48,ENE,No,13.4,E,21.0,1007.9,13.0,0.0,76.28,31.0,1011.9
No,9.8,W,96.8,97.34,0.0,9.0,0.0,2008-12-17,AliceSprings,11.0,60.26,W,No,13.4,NE,18.0,1004.9,9.0,0.0,84.56,35.0,1009.3
No,10.6,SSW,97.16,98.41999999999999,2.0,15.0,0.0,2008-12-18,AliceSprings,12.0,67.28,S,No,10.4,SSW,21.0,1004.9,17.0,3.0,87.8,41.0,1007.4
No,14.6,SE,92.3,95.36,4.0,26.0,0.0,2008-12-19,AliceSprings,19.0,76.1,ESE,No,9.6,ESE,32.0,1006.6,17.0,6.0,81.32,41.0,1010.1
No,13.4,ESE,93.91999999999999,95.36,3.0,31.0,0.0,2008-12-20,AliceSprings,14.0,66.92,E,No,13.0,ESE,20.0,1007.0,13.0,2.0,80.42,41.0,1010.9
No,12.0,SW,101.48,102.74,2.0,19.0,0.0,2008-12-21,AliceSprings,12.0,67.82,SE,No,12.5,E,11.0,1004.1,15.0,3.0,87.26,30.0,1007.8
No,13.2,ENE,100.76,103.82,3.0,13.0,0.0,2008-12-22,AliceSprings,13.0,70.7,E,No,11.5,NE,16.0,1004.9,19.0,2.0,91.76,33.0,1007.7
No,13.8,ESE,102.2,102.91999999999999,6.0,28.0,0.0,2008-12-23,AliceSprings,13.0,70.88,ENE,No,9.7,NE,12.0,1005.0,20.0,6.0,93.2,48.0,1007.9
No,19.2,S,98.78,101.3,5.0,20.0,0.0,2008-12-24,AliceSprings,19.0,72.5,SE,No,9.8,ESE,17.0,1005.7,17.0,6.0,86.9,37.0,1009.8
No,14.0,S,96.08000000000001,99.68,6.0,13.0,0.0,2008-12-25,AliceSprings,22.0,80.96,ESE,No,6.4,E,30.0,1006.1,13.0,6.0,86.72,30.0,1010.2
No,11.2,SW,81.5,102.02,8.0,20.0,0.0,2008-12-26,AliceSprings,58.0,80.24000000000001,N,Yes,6.0,E,21.0,1003.5,35.0,6.0,92.3,69.0,1006.3
Yes,9.2,N,86.36,88.7,6.0,11.0,21.4,2008-12-27,AliceSprings,51.0,73.58,SW,No,3.0,E,77.0,1005.0,7.0,7.0,75.02,22.0,1009.0
No,5.2,SE,91.94,93.2,7.0,0.0,0.2,2008-12-28,AliceSprings,37.0,73.94,NNE,Yes,1.8,,71.0,1003.8,19.0,7.0,78.62,46.0,1007.3
Yes,5.2,E,88.34,90.32,6.0,19.0,9.4,2008-12-29,AliceSprings,28.0,71.42,SE,No,7.9,SE,65.0,1006.3,17.0,4.0,79.88,39.0,1008.5
No,10.8,SE,89.6,90.86,6.0,28.0,0.0,2008-12-30,AliceSprings,14.0,65.66,ESE,No,12.8,ESE,21.0,1006.2,17.0,3.0,79.52,37.0,1009.6
No,11.8,ESE,93.91999999999999,94.1,6.0,19.0,0.0,2008-12-31,AliceSprings,14.0,64.4,ESE,No,7.6,E,18.0,1003.4,13.0,2.0,81.14,37.0,1007.3
No,10.6,ESE,95.0,96.8,4.0,22.0,0.0,2009-01-01,AliceSprings,12.0,71.96,SE,No,10.1,E,18.0,1002.9,28.0,5.0,84.2,54.0,1005.8
No,16.4,SE,93.2,93.74,2.0,30.0,0.0,2009-01-02,AliceSprings,12.0,71.78,ESE,No,13.2,SE,20.0,1005.9,30.0,2.0,81.14,50.0,1009.2
No,15.4,ESE,91.94,94.46000000000001,2.0,19.0,0.0,2009-01-03,AliceSprings,20.0,65.48,SE,No,12.9,SE,17.0,1004.4,24.0,0.0,80.42,54.0,1009.3
No,14.2,SE,95.9,96.98,6.0,17.0,0.0,2009-01-04,AliceSprings,20.0,70.7,SE,No,11.8,ESE,38.0,1003.8,26.0,2.0,84.2,57.0,1007.7
No,14.6,SE,96.44,97.7,6.0,20.0,0.0,2009-01-05,AliceSprings,20.0,69.08,ESE,No,12.1,SE,38.0,1003.2,30.0,1.0,85.28,57.0,1007.3
No,14.6,SSE,96.08000000000001,97.34,6.0,19.0,0.0,2009-01-06,AliceSprings,19.0,72.32,SSE,No,10.6,SE,44.0,1002.4,24.0,2.0,86.0,52.0,1006.4
No,12.0,SE,91.94,96.26,5.0,22.0,0.0,2009-01-07,AliceSprings,32.0,69.98,S,No,8.8,SSW,65.0,1004.2,37.0,4.0,80.78,59.0,1007.7
No,11.0,SE,92.3,94.28,5.0,24.0,0.0,2009-01-08,AliceSprings,30.0,72.32,SE,No,12.0,ESE,63.0,1005.8,31.0,4.0,79.16,56.0,1009.4
No,14.8,SE,95.53999999999999,97.16,1.0,24.0,0.0,2009-01-09,AliceSprings,17.0,70.16,SSE,No,12.1,SE,25.0,1004.6,24.0,0.0,84.2,46.0,1009.3
