Rainfall,Humidity_3_pm,Pressure_3_pm,Humidity_9_am,Max_Temp_F,Date,Rain_Today,Min_Temp_F,Wind_Gust_Speed,Temp_9_am_F,Rain_Tomorrow,Wind_Dir_9_am,Wind_Speed_9_am,Wind_Dir_3_pm,Wind_Speed_3_pm,Wind_Gust_Dir,Temp_3_pm_F,Location,Pressure_9_am
0.0,,,67.0,93.56,2009-01-01,No,55.94,61.0,69.8,No,NNE,11.0,,,W,,BadgerysCreek,1005.6
0.0,54.0,1013.5,59.0,78.98,2009-01-02,No,58.459999999999994,46.0,69.25999999999999,No,SE,7.0,SE,24.0,SE,71.96,BadgerysCreek,1012.9
0.0,51.0,1019.2,57.0,72.14,2009-01-03,No,56.48,30.0,64.22,No,ESE,6.0,NE,15.0,NNE,71.06,BadgerysCreek,1021.9
0.0,43.0,1013.6,62.0,88.16,2009-01-04,No,63.86,39.0,71.6,No,NNE,9.0,N,15.0,NE,87.08000000000001,BadgerysCreek,1018.7
0.0,19.0,1007.6,67.0,101.84,2009-01-05,No,59.9,50.0,72.86,No,NNE,7.0,W,17.0,SW,99.68,BadgerysCreek,1013.2
0.0,13.0,1006.9,56.0,102.74,2009-01-06,No,57.2,35.0,75.56,No,N,6.0,ENE,15.0,ESE,100.4,BadgerysCreek,1011.9
0.0,19.0,1004.6,69.0,104.53999999999999,2009-01-07,No,59.540000000000006,63.0,73.94,No,N,6.0,WNW,30.0,W,103.64,BadgerysCreek,1010.1
0.0,70.0,1013.6,75.0,72.14,2009-01-08,No,66.02,31.0,68.9,No,SSE,11.0,SE,19.0,SE,68.18,BadgerysCreek,1012.7
0.4,46.0,1018.8,65.0,72.32,2009-01-09,No,58.64,33.0,63.68,No,SSE,15.0,E,19.0,E,69.98,BadgerysCreek,1020.6
0.2,43.0,1013.2,63.0,78.8,2009-01-10,No,53.42,37.0,64.4,No,SSW,4.0,ENE,13.0,ENE,75.56,BadgerysCreek,1017.2
0.0,40.0,1010.1,61.0,86.36,2009-01-11,No,54.68,41.0,70.88,Yes,N,7.0,E,19.0,E,84.2,BadgerysCreek,1014.3
4.0,50.0,1015.8,78.0,84.91999999999999,2009-01-12,Yes,59.540000000000006,37.0,70.16,No,SW,4.0,ESE,22.0,ESE,81.86,BadgerysCreek,1016.0
0.0,40.0,1015.3,83.0,90.86,2009-01-13,No,65.12,39.0,70.7,No,NNE,7.0,ENE,17.0,NNE,86.9,BadgerysCreek,1019.7
0.0,21.0,1009.6,70.0,103.82,2009-01-14,No,60.62,50.0,75.02,No,ENE,6.0,NE,13.0,ENE,102.56,BadgerysCreek,1014.7
0.0,16.0,1005.5,43.0,109.22,2009-01-15,No,64.4,50.0,84.38000000000001,No,E,7.0,WSW,17.0,SE,105.26,BadgerysCreek,1009.3
0.4,22.0,1007.5,50.0,94.1,2009-01-16,No,58.28,50.0,70.52,No,SE,7.0,NNE,15.0,SE,93.02,BadgerysCreek,1013.0
0.0,38.0,1020.1,53.0,74.66,2009-01-17,No,59.9,33.0,63.68,No,SSE,15.0,E,15.0,ESE,71.24000000000001,BadgerysCreek,1020.9
0.0,28.0,1018.8,58.0,83.66,2009-01-18,No,50.54,37.0,67.82,No,,0.0,NE,9.0,E,81.68,BadgerysCreek,1022.1
0.0,18.0,1013.9,63.0,92.3,2009-01-19,No,52.34,35.0,67.82,No,NNE,9.0,NNE,19.0,NE,86.53999999999999,BadgerysCreek,1019.4
0.0,20.0,1008.9,61.0,102.56,2009-01-20,No,58.28,43.0,74.12,No,W,4.0,NNE,20.0,ENE,100.03999999999999,BadgerysCreek,1014.0
0.4,31.0,1007.1,58.0,101.11999999999999,2009-01-21,No,68.9,41.0,80.6,Yes,NNW,11.0,WSW,11.0,N,95.0,BadgerysCreek,1012.0
19.4,41.0,1004.8,69.0,92.66,2009-01-22,Yes,67.28,56.0,78.44,No,NNE,17.0,N,28.0,N,90.32,BadgerysCreek,1008.7
0.2,44.0,1006.5,63.0,96.98,2009-01-23,No,68.54,43.0,82.75999999999999,No,E,6.0,ENE,24.0,NE,91.94,BadgerysCreek,1009.4
0.0,15.0,1003.0,61.0,105.26,2009-01-24,No,69.44,72.0,84.74,No,NNE,6.0,W,31.0,W,103.28,BadgerysCreek,1005.2
0.0,39.0,1017.8,61.0,83.12,2009-01-25,No,65.66,33.0,69.62,No,E,7.0,NE,15.0,SSW,81.86,BadgerysCreek,1020.0
0.0,55.0,1018.5,65.0,87.8,2009-01-26,No,67.46,35.0,71.6,Yes,SW,7.0,E,19.0,SE,84.38000000000001,BadgerysCreek,1019.7
3.6,71.0,1019.6,93.0,82.4,2009-01-27,Yes,66.74000000000001,30.0,68.0,No,SW,7.0,ENE,9.0,E,79.7,BadgerysCreek,1021.5
0.0,34.0,1014.6,83.0,96.26,2009-01-28,No,61.34,35.0,70.88,No,NE,6.0,N,15.0,NE,93.38000000000001,BadgerysCreek,1018.7
0.0,29.0,1015.2,75.0,95.72,2009-01-29,No,60.980000000000004,41.0,74.48,No,SSE,2.0,E,15.0,SE,92.48,BadgerysCreek,1018.9
