RainTomorrow,WindSpeed3pm,WindDir3pm,Rainfall,Pressure9am,RainToday,WindGustDir,Humidity3pm,WindSpeed9am,Pressure3pm,Humidity9am,Cloud9am,MinTempF,Temp9amF,Cloud3pm,MaxTempF,WindGustSpeed,Date,Location,WindDir9am,Temp3pmF
No,30.0,WNW,3.2,1008.2,Yes,W,37.0,26.0,1007.5,71.0,6.0,42.44,50.72,,63.68,52.0,2008-12-01,Ballarat,W,60.26
No,24.0,WNW,0.4,1009.3,No,WNW,47.0,20.0,1007.3,66.0,6.0,39.74,54.5,8.0,67.1,44.0,2008-12-02,Ballarat,WNW,63.68
No,20.0,SW,0.6,1009.5,No,W,42.0,22.0,1011.5,82.0,4.0,49.1,52.16,8.0,65.84,43.0,2008-12-03,Ballarat,WSW,61.7
Yes,22.0,N,0.2,1016.2,No,NNE,33.0,9.0,1012.6,60.0,4.0,44.06,57.92,,71.24000000000001,39.0,2008-12-04,Ballarat,ENE,69.08
No,39.0,NW,1.2,1006.6,Yes,NW,40.0,30.0,1005.5,74.0,6.0,55.94,64.94,1.0,78.08,61.0,2008-12-05,Ballarat,NNW,75.74000000000001
No,39.0,WNW,0.0,1009.6,No,WNW,42.0,15.0,1005.7,76.0,6.0,49.28,56.84,6.0,73.4,61.0,2008-12-06,Ballarat,WNW,69.44
No,24.0,SW,0.0,1012.3,No,SW,42.0,20.0,1012.1,71.0,4.0,40.28,49.28,4.0,61.519999999999996,39.0,2008-12-07,Ballarat,SW,60.08
No,7.0,WSW,0.2,1014.0,No,NW,30.0,17.0,1010.5,64.0,4.0,37.22,49.46,,73.58,43.0,2008-12-08,Ballarat,SSE,69.08
Yes,19.0,SSE,0.0,1007.5,No,S,87.0,9.0,1006.4,55.0,8.0,41.54,55.76,8.0,63.68,35.0,2008-12-09,Ballarat,NW,54.32
No,22.0,SE,5.0,1011.8,Yes,SE,43.0,28.0,1010.9,71.0,6.0,46.94,51.08,,64.94,50.0,2008-12-10,Ballarat,SSE,64.58
No,26.0,SSE,0.0,1013.8,No,SSE,28.0,28.0,1011.0,67.0,0.0,44.42,53.96,,74.84,54.0,2008-12-11,Ballarat,SE,73.22
Yes,11.0,E,0.0,1006.2,No,SE,97.0,24.0,1002.2,47.0,8.0,53.78,65.84,8.0,67.28,41.0,2008-12-12,Ballarat,NE,59.540000000000006
Yes,39.0,SW,53.6,990.5,Yes,SW,99.0,26.0,996.5,99.0,8.0,55.58,56.3,8.0,57.02,63.0,2008-12-13,Ballarat,SSW,55.4
Yes,26.0,SW,11.0,1005.8,Yes,SSW,71.0,19.0,1007.5,99.0,8.0,50.0,51.8,7.0,61.16,46.0,2008-12-14,Ballarat,SSW,59.0
No,20.0,WNW,1.4,1012.3,Yes,W,50.0,17.0,1011.2,72.0,8.0,46.94,48.56,4.0,65.66,37.0,2008-12-15,Ballarat,SW,62.42
Yes,24.0,W,0.0,1012.5,No,W,57.0,15.0,1011.6,84.0,7.0,46.22,56.120000000000005,,66.38,35.0,2008-12-16,Ballarat,W,64.22
No,7.0,WSW,1.8,1012.3,Yes,ESE,64.0,7.0,1008.8,91.0,7.0,50.54,54.14,8.0,68.18,31.0,2008-12-17,Ballarat,S,65.66
Yes,22.0,WSW,0.6,1005.6,No,SSW,49.0,15.0,1005.1,86.0,7.0,51.98,56.48,6.0,66.56,48.0,2008-12-18,Ballarat,SW,65.84
No,26.0,SSW,1.4,1014.1,Yes,SSW,41.0,26.0,1014.6,69.0,6.0,43.34,48.02,1.0,62.42,52.0,2008-12-19,Ballarat,SSW,61.34
No,20.0,SE,0.0,1020.4,No,SSE,44.0,22.0,1018.0,76.0,6.0,41.9,52.879999999999995,,70.52,37.0,2008-12-20,Ballarat,SSE,69.08
No,28.0,N,0.0,1017.6,No,N,32.0,20.0,1013.8,44.0,1.0,44.239999999999995,66.56,,80.06,46.0,2008-12-21,Ballarat,NNE,77.36
No,41.0,NNW,0.0,1007.6,No,NNW,21.0,44.0,1004.2,39.0,6.0,65.84,72.14,2.0,89.96000000000001,72.0,2008-12-22,Ballarat,N,86.36
No,24.0,S,0.0,1013.2,No,SSW,52.0,26.0,1012.7,90.0,8.0,50.9,52.16,4.0,68.18,44.0,2008-12-23,Ballarat,SSW,64.4
No,17.0,WSW,0.2,1013.2,No,SW,27.0,15.0,1011.3,68.0,2.0,44.96,55.04,,76.64,33.0,2008-12-24,Ballarat,SE,75.2
No,9.0,SSW,0.0,1014.2,No,WSW,32.0,13.0,1012.3,61.0,2.0,47.84,60.62,,77.9,37.0,2008-12-25,Ballarat,SE,72.86
No,11.0,WNW,0.0,1010.3,No,ESE,32.0,22.0,1008.1,42.0,5.0,51.08,70.52,8.0,84.02,46.0,2008-12-26,Ballarat,N,80.42
No,19.0,W,0.0,1006.1,No,S,43.0,13.0,1003.2,55.0,4.0,52.34,72.68,1.0,82.4,43.0,2008-12-27,Ballarat,N,79.7
No,26.0,WSW,0.0,1003.9,No,WSW,44.0,17.0,1002.7,62.0,3.0,45.68,64.22,7.0,78.08,44.0,2008-12-28,Ballarat,NNW,73.04
Yes,24.0,SW,0.0,1008.2,No,W,40.0,17.0,1008.0,70.0,6.0,48.74,53.24,4.0,67.64,46.0,2008-12-29,Ballarat,WSW,63.32
No,37.0,W,2.4,1003.6,Yes,W,45.0,22.0,1003.2,99.0,8.0,50.36,53.42,8.0,68.18,61.0,2008-12-30,Ballarat,WSW,64.4
No,26.0,NW,0.2,1006.1,No,NW,44.0,15.0,1004.7,81.0,8.0,48.2,51.08,6.0,68.72,39.0,2008-12-31,Ballarat,WSW,62.959999999999994
No,30.0,WSW,0.2,1004.7,No,SW,48.0,26.0,1006.5,87.0,8.0,46.94,52.879999999999995,8.0,62.6,54.0,2009-01-01,Ballarat,W,60.8
No,28.0,SSW,0.4,1017.2,No,SSW,35.0,26.0,1017.6,70.0,6.0,37.4,48.379999999999995,5.0,62.6,52.0,2009-01-02,Ballarat,SW,60.62
No,11.0,SSW,0.0,1018.7,No,SE,26.0,20.0,1015.9,61.0,2.0,33.26,53.06,,72.5,31.0,2009-01-03,Ballarat,SSE,68.0
No,11.0,SW,0.0,1014.8,No,S,14.0,,1012.8,24.0,3.0,42.620000000000005,68.72,,83.84,39.0,2009-01-04,Ballarat,,80.78
No,20.0,WSW,0.0,1012.1,No,W,12.0,6.0,1010.6,42.0,3.0,46.94,66.56,,85.28,41.0,2009-01-05,Ballarat,NW,82.94
No,19.0,WSW,0.0,1010.6,No,SSW,30.0,9.0,1008.0,48.0,0.0,51.44,68.18,,86.53999999999999,41.0,2009-01-06,Ballarat,WNW,85.82
No,24.0,SSW,0.0,1009.2,No,SSW,64.0,15.0,1009.9,99.0,8.0,56.48,57.92,3.0,69.98,44.0,2009-01-07,Ballarat,S,64.4
No,28.0,SSW,0.0,1016.7,No,SSW,36.0,26.0,1017.2,71.0,3.0,45.14,52.52,,64.75999999999999,50.0,2009-01-08,Ballarat,SSW,62.42
No,20.0,SSE,0.0,1019.5,No,SE,32.0,24.0,1016.3,57.0,3.0,39.74,54.32,,68.72,44.0,2009-01-09,Ballarat,SE,67.28
No,6.0,W,0.0,1011.9,No,SE,16.0,13.0,1008.6,61.0,4.0,48.2,59.72,,80.06,44.0,2009-01-10,Ballarat,SE,76.82
No,15.0,WSW,0.0,1010.0,No,SSW,19.0,15.0,1008.9,70.0,6.0,48.74,59.36,,80.78,48.0,2009-01-11,Ballarat,SE,77.18
No,17.0,SSE,0.0,1017.6,No,ESE,30.0,20.0,1015.9,86.0,8.0,47.66,55.22,,79.88,39.0,2009-01-12,Ballarat,S,75.56
No,22.0,NW,0.0,1013.8,No,N,13.0,20.0,1010.5,20.0,0.0,47.48,77.0,,94.82,50.0,2009-01-13,Ballarat,N,91.58000000000001
No,13.0,WSW,0.0,1009.0,No,S,25.0,19.0,1007.8,16.0,1.0,68.54,81.5,,93.02,41.0,2009-01-14,Ballarat,N,90.86
No,22.0,SW,0.0,1014.8,No,SSW,33.0,28.0,1014.2,63.0,5.0,51.98,56.66,,74.3,48.0,2009-01-15,Ballarat,SW,71.24000000000001
No,30.0,SW,0.0,1017.2,No,WSW,43.0,26.0,1018.3,66.0,6.0,49.64,54.68,6.0,65.48,54.0,2009-01-16,Ballarat,WSW,61.34
No,22.0,SSE,0.0,1021.3,No,SSE,32.0,28.0,1020.6,54.0,1.0,42.980000000000004,54.5,,71.06,44.0,2009-01-17,Ballarat,SSE,68.36
No,19.0,SW,0.0,1019.4,No,SE,13.0,20.0,1017.2,38.0,0.0,42.980000000000004,61.88,,84.38000000000001,35.0,2009-01-18,Ballarat,SE,82.4
No,24.0,NNW,0.0,1013.8,No,S,8.0,20.0,1009.8,20.0,0.0,48.02,76.1,,93.56,43.0,2009-01-19,Ballarat,N,90.5
No,30.0,SW,0.0,1006.7,No,NW,18.0,22.0,1006.7,21.0,0.0,56.66,79.7,,97.7,67.0,2009-01-20,Ballarat,N,87.8
No,15.0,NW,0.0,1009.5,No,SSW,17.0,7.0,1006.2,66.0,3.0,50.18,62.6,,89.78,43.0,2009-01-21,Ballarat,S,85.82
No,50.0,NW,0.0,998.5,No,NNW,28.0,37.0,996.6,28.0,7.0,56.48,70.16,2.0,87.08000000000001,83.0,2009-01-22,Ballarat,N,80.6
No,30.0,N,0.0,1007.0,No,NNW,18.0,11.0,1003.0,58.0,3.0,40.82,56.120000000000005,,80.78,54.0,2009-01-23,Ballarat,NNW,76.64
No,28.0,WSW,0.0,1007.3,No,WNW,33.0,28.0,1010.8,77.0,,51.98,55.22,,70.88,54.0,2009-01-24,Ballarat,WSW,68.36
No,13.0,SW,0.0,1016.9,No,SE,7.0,9.0,1016.2,49.0,0.0,41.9,62.059999999999995,,85.28,37.0,2009-01-25,Ballarat,SSE,82.58
No,20.0,SE,0.2,,No,SE,30.0,30.0,,70.0,0.0,51.26,59.0,,81.86,39.0,2009-01-26,Ballarat,SSE,79.16
No,9.0,NNW,0.0,1016.8,No,ESE,11.0,11.0,1014.1,51.0,0.0,50.54,68.54,,97.34,39.0,2009-01-27,Ballarat,NNE,94.1
No,17.0,NNW,0.0,1012.8,No,N,8.0,22.0,1010.7,17.0,0.0,61.88,87.26,,104.0,48.0,2009-01-28,Ballarat,NNE,102.38000000000001
No,33.0,N,0.0,1011.9,No,NW,12.0,35.0,1010.7,20.0,1.0,77.18,90.68,1.0,106.52,61.0,2009-01-29,Ballarat,NNE,103.82
No,17.0,NNW,0.0,1013.2,No,NNE,9.0,20.0,1010.6,17.0,0.0,67.82,93.38000000000001,,105.98,54.0,2009-01-30,Ballarat,N,102.2
No,33.0,SSE,0.0,1013.3,No,SSE,31.0,22.0,1012.7,34.0,2.0,73.22,84.74,,102.56,67.0,2009-01-31,Ballarat,SE,93.56
No,30.0,SE,0.0,1014.8,No,SE,25.0,31.0,1012.4,72.0,4.0,61.519999999999996,68.72,,94.46000000000001,54.0,2009-02-01,Ballarat,SE,90.86
No,19.0,SW,0.0,1012.0,No,SE,36.0,11.0,1009.9,79.0,7.0,61.34,68.18,,89.6,46.0,2009-02-02,Ballarat,SSE,87.8
No,33.0,SE,0.0,1011.9,No,SE,51.0,35.0,1010.3,80.0,6.0,62.6,65.48,,81.14,59.0,2009-02-03,Ballarat,SE,76.82
No,13.0,NW,0.0,1008.4,No,SE,11.0,13.0,1005.6,70.0,2.0,58.28,66.2,,94.46000000000001,39.0,2009-02-04,Ballarat,SE,91.4
No,20.0,SW,0.0,1006.3,No,SW,30.0,2.0,1006.8,27.0,0.0,59.0,80.24000000000001,,91.4,39.0,2009-02-05,Ballarat,SW,87.61999999999999
No,24.0,W,0.0,1008.3,No,WNW,16.0,11.0,1006.7,57.0,0.0,55.76,68.36,,98.06,41.0,2009-02-06,Ballarat,SE,95.0
No,61.0,NNW,0.0,1004.3,No,NNW,6.0,39.0,1000.1,25.0,0.0,68.36,86.53999999999999,,111.38000000000001,93.0,2009-02-07,Ballarat,N,109.58000000000001
Yes,26.0,SSW,0.0,1011.4,No,S,37.0,20.0,1012.5,73.0,7.0,56.84,61.7,,70.34,44.0,2009-02-08,Ballarat,SW,67.82
No,26.0,SSE,1.2,1015.6,Yes,S,37.0,31.0,1014.7,58.0,2.0,45.68,54.14,1.0,66.02,54.0,2009-02-09,Ballarat,S,64.75999999999999
No,33.0,SSW,0.0,1016.2,No,SSE,49.0,30.0,1016.2,66.0,3.0,42.08,52.16,6.0,62.959999999999994,50.0,2009-02-10,Ballarat,S,57.74
No,35.0,SSW,0.0,1018.2,No,S,42.0,28.0,1017.8,73.0,7.0,46.22,50.18,5.0,64.4,57.0,2009-02-11,Ballarat,SSW,59.9
