Date,Humidity_3_pm,Evaporation,Wind_Dir_3_pm,Rainfall,Cloud_9_am,Wind_Speed_3_pm,Temp_3_pm_C,Pressure_9_am,Cloud_3_pm,Wind_Speed_9_am,Humidity_9_am,Wind_Dir_9_am,Location,Pressure_3_pm,Rain_Today,Max_Temp_C,Temp_9_am_C,Wind_Gust_Speed,Min_Temp_C,Wind_Gust_Dir,Rain_Tomorrow
2008-12-01,23.0,7.4,WSW,0.0,2.0,20.0,19.4,1009.1,5.0,20.0,47.0,WNW,Bendigo,1007.5,No,21.7,14.0,44.0,9.1,W,No
2008-12-02,29.0,8.8,WNW,0.0,1.0,26.0,21.2,1010.4,5.0,20.0,49.0,WNW,Bendigo,1007.8,No,23.0,15.2,48.0,6.2,W,No
2008-12-03,23.0,6.2,W,0.0,5.0,24.0,21.8,1009.4,3.0,17.0,49.0,SW,Bendigo,1010.7,No,23.7,17.1,44.0,10.8,WSW,No
2008-12-04,22.0,5.8,NNE,0.0,2.0,13.0,23.6,1017.0,8.0,17.0,50.0,SE,Bendigo,1012.5,No,24.6,16.1,41.0,8.2,NNE,No
2008-12-05,29.0,5.8,W,0.2,7.0,31.0,29.2,1008.0,1.0,19.0,68.0,NW,Bendigo,1005.0,No,30.3,21.3,54.0,15.1,NW,No
2008-12-06,29.0,9.6,NW,0.2,1.0,30.0,26.2,1010.0,4.0,9.0,60.0,WNW,Bendigo,1005.6,No,27.2,18.0,54.0,9.9,WNW,No
2008-12-07,26.0,4.4,SSW,0.2,1.0,15.0,20.4,1012.4,1.0,22.0,47.0,SSW,Bendigo,1010.7,No,22.0,13.1,43.0,8.0,SW,No
2008-12-08,17.0,5.6,WSW,0.0,0.0,17.0,23.5,1014.2,1.0,11.0,47.0,S,Bendigo,1010.6,No,25.5,13.9,35.0,7.8,W,No
2008-12-09,42.0,6.6,WSW,0.0,7.0,17.0,18.9,1007.0,8.0,7.0,44.0,SSE,Bendigo,1006.2,No,22.0,16.5,39.0,9.7,WSW,Yes
2008-12-10,30.0,2.0,S,3.2,1.0,17.0,21.6,1010.4,3.0,24.0,62.0,SE,Bendigo,1009.3,Yes,23.2,15.3,39.0,9.8,SE,No
2008-12-11,13.0,7.2,ESE,0.2,1.0,13.0,26.3,1012.8,2.0,22.0,43.0,SSE,Bendigo,1009.7,No,28.7,16.8,43.0,8.7,SSE,No
2008-12-12,94.0,7.4,ENE,0.0,8.0,20.0,16.6,1007.1,8.0,13.0,57.0,NE,Bendigo,1001.9,No,19.9,19.4,44.0,16.5,ENE,Yes
2008-12-13,68.0,0.8,SW,30.4,8.0,33.0,18.6,989.5,6.0,13.0,94.0,WNW,Bendigo,994.6,Yes,20.2,15.6,70.0,14.1,SW,Yes
2008-12-14,41.0,3.2,SSW,4.0,8.0,28.0,20.8,1004.7,6.0,19.0,79.0,SSW,Bendigo,1005.4,Yes,21.5,14.4,50.0,10.9,S,No
2008-12-15,37.0,6.4,WSW,0.0,7.0,19.0,18.8,1012.7,1.0,13.0,58.0,S,Bendigo,1011.2,No,21.2,11.8,41.0,9.9,S,No
