MaxTempC,WindSpeed9am,Humidity9am,Sunshine,WindGustSpeed,Cloud3pm,RainTomorrow,Pressure3pm,Pressure9am,Location,WindGustDir,WindDir3pm,WindSpeed3pm,Date,Evaporation,MinTempC,RainToday,Temp3pmC,Cloud9am,WindDir9am,Humidity3pm,Temp9amC,Rainfall
25.2,6.0,81.0,9.5,26.0,1.0,No,1014.8,1019.6,Brisbane,WNW,W,15.0,2008-07-01,1.4,10.3,No,24.6,0.0,SSW,37.0,14.9,0.0
22.9,15.0,41.0,9.8,30.0,0.0,No,1015.0,1018.8,Brisbane,W,WNW,19.0,2008-07-02,2.0,8.1,No,22.4,0.0,W,30.0,16.2,0.0
22.4,7.0,55.0,9.4,22.0,4.0,No,1019.1,1021.4,Brisbane,E,E,15.0,2008-07-03,5.8,9.7,No,21.3,1.0,SW,52.0,15.4,0.0
20.0,9.0,76.0,1.1,24.0,7.0,No,1021.7,1023.5,Brisbane,SW,SSE,7.0,2008-07-04,1.8,11.8,No,19.6,7.0,SW,53.0,14.1,0.8
16.7,11.0,81.0,0.3,37.0,8.0,Yes,1026.2,1027.3,Brisbane,S,SSW,7.0,2008-07-05,2.0,12.3,No,15.0,7.0,S,89.0,16.1,0.0
21.5,7.0,78.0,6.4,31.0,2.0,No,1025.7,1028.5,Brisbane,ENE,E,17.0,2008-07-06,5.2,12.6,Yes,20.0,5.0,SSW,52.0,15.9,16.2
21.9,9.0,83.0,1.6,17.0,7.0,Yes,1023.1,1026.9,Brisbane,NE,NE,9.0,2008-07-07,2.4,12.9,No,20.1,7.0,SW,63.0,14.7,0.0
17.4,7.0,94.0,0.6,31.0,6.0,Yes,1019.3,1024.0,Brisbane,WSW,NW,2.0,2008-07-08,2.0,14.5,Yes,17.0,8.0,SW,73.0,14.7,24.2
16.7,13.0,48.0,,43.0,1.0,No,1020.2,1022.6,Brisbane,W,W,19.0,2008-07-09,1.0,6.0,Yes,16.2,1.0,WSW,34.0,12.4,3.8
19.7,17.0,47.0,10.0,39.0,1.0,No,1017.0,1021.8,Brisbane,W,WSW,17.0,2008-07-10,4.0,10.3,No,18.8,0.0,WSW,34.0,13.2,0.2
19.6,11.0,48.0,7.9,28.0,7.0,No,1019.4,1021.7,Brisbane,W,WSW,9.0,2008-07-11,4.0,6.6,No,18.7,7.0,WSW,38.0,14.2,0.0
21.1,7.0,60.0,8.1,30.0,6.0,No,1023.4,1025.9,Brisbane,ENE,E,15.0,2008-07-12,2.2,7.9,No,19.3,1.0,SW,48.0,12.8,0.0
