Wind_Dir_3_pm,Temp_3_pm_F,Rain_Tomorrow,Rainfall,Humidity_9_am,Evaporation,Wind_Dir_9_am,Humidity_3_pm,Min_Temp_F,Temp_9_am_F,Pressure_3_pm,Cloud_3_pm,Wind_Speed_9_am,Max_Temp_F,Sunshine,Location,Cloud_9_am,Date,Pressure_9_am,Wind_Gust_Dir,Wind_Gust_Speed,Wind_Speed_3_pm,Rain_Today
ENE,87.26,Yes,0.4,62.0,4.0,E,66.0,77.36,88.16,1008.1,7.0,7.0,90.14,6.4,Cairns,5.0,2008-12-01,1011.3,NE,31.0,13.0,No
NE,87.98,No,8.4,75.0,6.6,S,62.0,75.56,84.2,1008.0,7.0,11.0,90.14,5.3,Cairns,7.0,2008-12-02,1011.9,NE,35.0,13.0,Yes
E,88.88000000000001,No,0.6,69.0,5.6,SSE,42.0,75.02,84.38000000000001,1009.9,5.0,17.0,91.03999999999999,11.3,Cairns,7.0,2008-12-03,1012.2,SSE,31.0,20.0,No
ESE,90.5,No,0.0,60.0,9.6,SSE,31.0,71.96,85.28,1010.9,1.0,19.0,92.48,12.3,Cairns,2.0,2008-12-04,1013.3,SE,39.0,24.0,No
ESE,89.96000000000001,No,0.0,64.0,11.6,SSE,56.0,73.75999999999999,85.46000000000001,1011.0,2.0,22.0,92.3,11.8,Cairns,4.0,2008-12-05,1013.8,SE,43.0,26.0,No
NE,88.7,No,0.0,64.0,8.4,SE,67.0,76.46,87.44,1009.2,2.0,15.0,92.11999999999999,10.6,Cairns,1.0,2008-12-06,1012.7,NE,33.0,20.0,No
NE,87.08000000000001,No,0.0,70.0,8.0,NW,73.0,75.02,84.74,1007.1,3.0,7.0,89.6,9.2,Cairns,2.0,2008-12-07,1010.9,NNE,28.0,17.0,No
NNE,89.06,Yes,0.0,65.0,8.0,NW,69.0,79.88,88.34,1005.8,4.0,13.0,91.76,7.2,Cairns,6.0,2008-12-08,1009.8,NNE,30.0,15.0,No
N,86.36,No,4.6,72.0,4.8,NE,77.0,78.98,87.44,1006.9,7.0,9.0,91.03999999999999,7.1,Cairns,7.0,2008-12-09,1009.5,NNE,28.0,13.0,Yes
NNE,85.1,No,0.2,80.0,5.8,ESE,72.0,78.8,84.02,1007.5,7.0,15.0,90.68,4.0,Cairns,7.0,2008-12-10,1009.9,ENE,28.0,11.0,No
NE,88.52,No,0.4,64.0,5.4,ENE,57.0,77.54,86.72,1006.6,4.0,15.0,91.22,12.0,Cairns,3.0,2008-12-11,1010.6,ENE,33.0,22.0,No
S,88.7,No,0.0,55.0,8.6,SSE,57.0,73.22,86.72,1007.6,5.0,19.0,91.94,8.4,Cairns,1.0,2008-12-12,1010.5,ENE,31.0,15.0,No
NE,87.98,No,0.0,63.0,8.0,SE,68.0,76.46,87.61999999999999,1006.3,1.0,9.0,91.4,12.1,Cairns,3.0,2008-12-13,1009.5,NNE,30.0,15.0,No
NNE,90.14,Yes,0.0,57.0,8.0,WNW,68.0,79.7,90.5,1003.2,3.0,15.0,93.38000000000001,10.5,Cairns,4.0,2008-12-14,1007.2,N,37.0,20.0,No
N,86.9,No,31.8,79.0,11.8,SW,74.0,74.84,79.34,1005.0,5.0,4.0,91.22,7.2,Cairns,7.0,2008-12-15,1008.8,S,35.0,17.0,Yes
SE,88.7,No,0.2,64.0,5.0,SSE,59.0,77.9,87.44,1007.4,5.0,11.0,93.02,7.0,Cairns,6.0,2008-12-16,1009.8,SSE,41.0,19.0,No
N,82.4,Yes,0.0,64.0,7.4,SSE,77.0,77.18,87.08000000000001,1008.9,7.0,17.0,90.68,5.5,Cairns,4.0,2008-12-17,1011.0,ENE,37.0,11.0,No
NNE,86.36,No,3.6,69.0,5.0,S,70.0,74.84,84.02,1007.7,4.0,7.0,89.06,7.8,Cairns,6.0,2008-12-18,1010.7,SSE,28.0,13.0,Yes
NE,85.82,No,0.0,71.0,4.2,W,69.0,77.54,83.66,1006.8,7.0,9.0,90.32,1.6,Cairns,7.0,2008-12-19,1008.6,N,24.0,9.0,No
NNE,87.98,No,0.0,70.0,4.4,NW,72.0,77.36,86.36,1006.6,7.0,9.0,89.78,3.8,Cairns,7.0,2008-12-20,1008.4,N,26.0,15.0,No
NE,90.32,No,0.0,68.0,4.8,SSE,63.0,73.4,85.1,1007.3,2.0,13.0,91.58000000000001,9.8,Cairns,5.0,2008-12-21,1009.8,NE,35.0,24.0,No
NNE,89.24,Yes,0.2,63.0,7.4,ESE,56.0,77.54,87.08000000000001,1009.3,2.0,15.0,92.11999999999999,10.7,Cairns,5.0,2008-12-22,1011.1,E,35.0,17.0,No
ESE,86.0,No,10.8,79.0,7.6,SSE,60.0,75.38,80.42,1008.8,6.0,17.0,90.14,4.8,Cairns,7.0,2008-12-23,1011.7,,,28.0,Yes
ESE,88.7,No,0.0,62.0,6.2,SE,50.0,77.9,84.2,1007.9,7.0,15.0,90.86,9.7,Cairns,6.0,2008-12-24,1011.4,E,37.0,26.0,No
E,89.78,No,0.0,56.0,7.4,SSE,51.0,71.24000000000001,84.56,1007.5,3.0,13.0,91.94,12.1,Cairns,2.0,2008-12-25,1010.0,ENE,35.0,26.0,No
SE,89.96000000000001,Yes,0.0,61.0,9.4,SSE,47.0,74.12,84.91999999999999,1006.6,8.0,19.0,93.02,10.2,Cairns,7.0,2008-12-26,1009.9,SSE,41.0,26.0,No
ENE,86.36,Yes,17.4,92.0,11.0,NW,72.0,76.1,79.16,1005.8,7.0,7.0,87.98,3.2,Cairns,7.0,2008-12-27,1009.3,S,37.0,11.0,Yes
N,83.84,Yes,26.8,94.0,,WSW,79.0,75.38,75.74000000000001,1005.2,7.0,13.0,86.36,1.0,Cairns,8.0,2008-12-28,1008.4,NE,26.0,13.0,Yes
N,85.1,No,35.0,78.0,2.6,,73.0,75.56,82.94,1004.6,7.0,0.0,88.52,5.3,Cairns,8.0,2008-12-29,1007.7,NNE,28.0,17.0,Yes
N,84.56,Yes,0.0,65.0,5.0,WNW,75.0,78.25999999999999,86.72,1004.1,7.0,6.0,89.41999999999999,6.0,Cairns,3.0,2008-12-30,1007.2,N,28.0,13.0,No
NW,78.8,Yes,54.8,88.0,8.2,WNW,94.0,73.75999999999999,78.98,1005.5,8.0,9.0,86.18,2.3,Cairns,7.0,2008-12-31,1007.3,N,37.0,17.0,Yes
N,86.18,Yes,15.8,77.0,4.6,E,70.0,74.48,82.4,1005.6,6.0,4.0,88.52,3.4,Cairns,7.0,2009-01-01,1008.1,NNE,28.0,19.0,Yes
NNE,86.9,No,1.2,68.0,5.6,SE,70.0,74.3,86.18,1006.8,6.0,9.0,88.88000000000001,10.6,Cairns,3.0,2009-01-02,1008.8,NNE,28.0,11.0,Yes
NE,86.36,No,0.0,68.0,5.6,SE,70.0,77.0,87.44,1007.0,7.0,9.0,88.88000000000001,8.7,Cairns,7.0,2009-01-03,1009.4,NE,30.0,13.0,No
S,83.3,No,0.4,81.0,5.4,S,76.0,77.72,82.04,1006.6,7.0,13.0,90.86,8.0,Cairns,7.0,2009-01-04,1009.3,ENE,28.0,19.0,No
S,80.6,Yes,0.8,78.0,5.4,SSE,87.0,77.18,82.04,1005.7,7.0,13.0,88.88000000000001,2.9,Cairns,7.0,2009-01-05,1008.4,SE,33.0,13.0,No
SE,87.98,No,7.4,80.0,4.0,ESE,63.0,75.74000000000001,82.58,1004.4,8.0,2.0,90.32,8.8,Cairns,8.0,2009-01-06,1008.8,SE,35.0,24.0,Yes
S,86.53999999999999,No,0.0,71.0,6.2,W,68.0,77.72,83.12,1004.2,7.0,9.0,90.32,3.0,Cairns,7.0,2009-01-07,1007.8,S,30.0,7.0,No
