rain_today,cloud_9_am,wind_dir_3_pm,wind_gust_dir,wind_speed_9_am,max_temp_f,humidity_3_pm,min_temp_f,location,evaporation,temp_9_am_f,rain_tomorrow,date,temp_3_pm_f,wind_speed_3_pm,pressure_9_am,rainfall,wind_dir_9_am,sunshine,wind_gust_speed,humidity_9_am,cloud_3_pm,pressure_3_pm
No,7.0,NW,NW,6.0,75.74000000000001,29.0,46.4,Canberra,3.4,57.92,Yes,2007-11-01,74.48,20.0,1019.7,0.0,SW,6.3,30.0,68.0,7.0,1015.0
Yes,5.0,W,ENE,4.0,80.42,36.0,57.2,Canberra,4.4,63.5,Yes,2007-11-02,78.25999999999999,17.0,1012.4,3.6,E,9.7,39.0,80.0,3.0,1008.4
Yes,8.0,NNE,NW,6.0,74.12,69.0,56.66,Canberra,5.8,59.72,Yes,2007-11-03,68.36,6.0,1009.5,3.6,N,3.3,85.0,82.0,7.0,1007.2
Yes,2.0,W,NW,30.0,59.9,56.0,55.94,Canberra,7.2,56.3,Yes,2007-11-04,57.379999999999995,24.0,1005.5,39.8,WNW,9.1,54.0,62.0,7.0,1007.0
Yes,7.0,ESE,SSE,20.0,60.980000000000004,49.0,45.68,Canberra,5.6,51.98,No,2007-11-05,59.72,28.0,1018.3,2.8,SSE,10.6,50.0,68.0,7.0,1018.5
No,7.0,E,SE,20.0,62.42,57.0,43.16,Canberra,5.8,51.620000000000005,No,2007-11-06,58.64,24.0,1023.8,0.0,SE,8.2,44.0,70.0,5.0,1021.7
No,4.0,ESE,SE,19.0,64.75999999999999,47.0,42.980000000000004,Canberra,4.2,54.32,No,2007-11-07,63.14,26.0,1024.6,0.2,SE,8.4,43.0,63.0,6.0,1022.2
No,6.0,E,E,11.0,62.6,57.0,46.94,Canberra,5.6,53.78,No,2007-11-08,59.9,24.0,1026.2,0.0,SE,4.6,41.0,65.0,7.0,1024.2
No,7.0,ENE,S,19.0,67.1,48.0,47.84,Canberra,4.0,57.379999999999995,Yes,2007-11-09,66.02,17.0,1026.1,0.0,E,4.1,48.0,70.0,7.0,1022.7
Yes,7.0,ESE,E,7.0,73.04,32.0,47.120000000000005,Canberra,5.4,55.94,No,2007-11-10,71.06,6.0,1024.1,16.2,S,7.7,31.0,82.0,1.0,1020.7
No,1.0,NW,N,6.0,77.36,34.0,48.379999999999995,Canberra,4.2,58.28,No,2007-11-11,75.2,9.0,1024.4,0.0,SE,11.9,30.0,74.0,2.0,1021.1
No,0.0,NW,E,2.0,81.14,35.0,47.3,Canberra,7.2,62.24,No,2007-11-12,78.8,15.0,1023.8,0.2,E,12.5,41.0,54.0,3.0,1019.9
No,0.0,NW,WNW,6.0,82.22,29.0,50.18,Canberra,7.2,62.6,No,2007-11-13,80.78,7.0,1022.0,0.0,S,13.0,30.0,62.0,1.0,1017.1
No,1.0,W,NW,7.0,87.61999999999999,20.0,53.78,Canberra,6.2,67.46,No,2007-11-14,87.26,20.0,1017.3,0.0,WNW,12.4,44.0,67.0,4.0,1013.1
No,0.0,W,NW,6.0,88.16,16.0,50.18,Canberra,8.8,65.66,No,2007-11-15,86.72,20.0,1018.2,0.0,S,13.1,41.0,45.0,1.0,1013.7
No,0.0,WSW,E,7.0,89.78,22.0,54.32,Canberra,8.4,66.38,No,2007-11-16,87.26,9.0,1017.9,0.0,SE,11.1,46.0,70.0,3.0,1012.8
No,7.0,W,ESE,6.0,88.16,23.0,56.84,Canberra,7.2,68.36,Yes,2007-11-17,85.64,19.0,1014.4,0.0,WSW,8.4,44.0,72.0,6.0,1009.8
Yes,1.0,NE,S,6.0,86.0,26.0,53.06,Canberra,7.2,68.18,No,2007-11-18,83.48,11.0,1016.4,1.2,SW,10.1,52.0,59.0,5.0,1013.0
No,1.0,W,E,4.0,90.14,25.0,54.32,Canberra,7.4,68.36,No,2007-11-19,88.16,17.0,1017.1,0.6,NNE,13.0,39.0,60.0,3.0,1013.3
No,0.0,NNW,NE,2.0,92.11999999999999,27.0,60.08,Canberra,8.0,73.04,No,2007-11-20,89.6,13.0,1018.5,0.0,NNW,10.4,33.0,61.0,1.0,1013.7
No,1.0,NW,WNW,2.0,92.11999999999999,26.0,59.540000000000006,Canberra,8.8,71.96,No,2007-11-21,91.03999999999999,31.0,1012.4,0.0,N,9.5,59.0,60.0,5.0,1006.5
No,8.0,E,E,6.0,66.92,72.0,61.519999999999996,Canberra,9.2,61.7,Yes,2007-11-22,64.94,11.0,1010.7,0.4,ENE,0.0,26.0,88.0,8.0,1008.9
Yes,8.0,SE,ESE,13.0,65.3,79.0,55.04,Canberra,2.8,57.2,No,2007-11-23,62.24,13.0,1014.0,25.8,S,0.6,28.0,91.0,8.0,1014.9
No,7.0,NE,NNE,6.0,75.74000000000001,57.0,53.6,Canberra,1.2,64.04,No,2007-11-24,73.04,9.0,1020.7,0.4,WSW,7.5,26.0,74.0,5.0,1019.2
No,8.0,NE,ENE,9.0,83.12,31.0,59.72,Canberra,4.4,62.24,No,2007-11-25,81.14,15.0,1022.4,0.0,SSE,8.1,33.0,85.0,2.0,1018.6
No,2.0,E,E,6.0,80.42,48.0,60.08,Canberra,6.8,67.64,No,2007-11-26,77.18,22.0,1019.7,0.0,E,8.9,41.0,65.0,4.0,1016.5
No,7.0,E,ENE,20.0,71.96,55.0,55.94,Canberra,6.6,61.7,No,2007-11-27,70.16,17.0,1021.0,0.2,E,2.3,39.0,70.0,7.0,1018.6
No,5.0,NNE,S,6.0,82.4,31.0,55.22,Canberra,4.4,65.84,No,2007-11-28,80.06,11.0,1019.2,0.0,S,10.7,52.0,61.0,7.0,1014.8
No,7.0,SE,SE,7.0,75.74000000000001,80.0,59.18,Canberra,7.0,66.02,No,2007-11-29,67.46,17.0,1019.0,0.0,SE,0.4,39.0,69.0,7.0,1017.1
No,8.0,S,NNW,6.0,75.38,49.0,56.48,Canberra,2.6,63.14,Yes,2007-11-30,73.75999999999999,6.0,1017.2,0.4,SSW,0.5,30.0,83.0,7.0,1013.3
Yes,8.0,S,SSE,6.0,68.72,90.0,59.18,Canberra,2.4,62.6,Yes,2007-12-01,61.34,20.0,1015.0,22.6,E,0.2,41.0,82.0,8.0,1014.1
Yes,2.0,SW,NNE,6.0,79.34,46.0,52.879999999999995,Canberra,1.6,62.059999999999995,No,2007-12-02,77.36,9.0,1013.9,4.2,E,12.0,41.0,66.0,2.0,1009.5
No,7.0,NW,NW,13.0,75.56,60.0,61.88,Canberra,6.6,68.9,Yes,2007-12-03,67.82,35.0,1007.9,0.2,WNW,4.7,50.0,72.0,7.0,1004.6
Yes,5.0,WNW,NW,20.0,79.7,40.0,55.94,Canberra,3.8,65.84,No,2007-12-04,77.18,26.0,1007.3,6.6,NW,11.8,50.0,74.0,2.0,1006.3
No,7.0,E,ENE,11.0,71.24000000000001,63.0,58.1,Canberra,8.4,65.48,No,2007-12-05,68.9,30.0,1015.0,0.0,ESE,9.8,43.0,69.0,1.0,1015.3
No,8.0,ESE,ENE,13.0,80.24000000000001,54.0,61.34,Canberra,6.0,65.48,No,2007-12-06,76.1,9.0,1018.8,0.0,ESE,6.3,39.0,78.0,7.0,1016.1
No,6.0,N,SW,6.0,78.44,74.0,62.959999999999994,Canberra,4.2,70.7,Yes,2007-12-07,72.68,6.0,1014.5,0.0,NW,8.8,41.0,70.0,7.0,1011.5
Yes,8.0,N,NE,7.0,82.75999999999999,42.0,61.7,Canberra,4.2,64.4,No,2007-12-08,79.34,13.0,1014.8,4.0,E,8.8,39.0,76.0,1.0,1011.4
No,7.0,W,NW,9.0,84.91999999999999,24.0,59.0,Canberra,6.6,69.08,No,2007-12-09,83.48,24.0,1010.8,0.0,N,11.1,43.0,78.0,7.0,1008.5
No,7.0,WNW,NNW,11.0,76.64,37.0,58.82,Canberra,10.4,66.74000000000001,No,2007-12-10,73.22,6.0,1011.7,0.0,NNE,10.0,35.0,58.0,7.0,1010.4
No,8.0,E,ENE,9.0,65.3,63.0,53.24,Canberra,4.8,56.84,No,2007-12-11,61.519999999999996,15.0,1018.0,0.6,ESE,2.3,35.0,60.0,6.0,1017.4
No,7.0,E,ENE,15.0,70.7,51.0,53.06,Canberra,4.2,60.26,No,2007-12-12,66.92,24.0,1021.1,0.0,ESE,7.3,41.0,66.0,5.0,1019.6
No,7.0,E,SE,22.0,68.54,49.0,49.28,Canberra,5.0,60.440000000000005,No,2007-12-13,66.56,20.0,1021.9,0.0,ESE,3.6,39.0,70.0,7.0,1019.3
No,1.0,N,E,6.0,80.78,37.0,48.02,Canberra,4.4,60.440000000000005,No,2007-12-14,77.0,11.0,1018.1,0.0,NNW,12.7,35.0,63.0,2.0,1012.5
No,1.0,WNW,E,2.0,85.82,36.0,50.18,Canberra,6.8,63.32,Yes,2007-12-15,84.38000000000001,13.0,1012.6,0.0,SE,8.8,41.0,63.0,8.0,1010.2
Yes,8.0,NE,S,6.0,69.98,86.0,59.9,Canberra,6.4,61.88,Yes,2007-12-16,68.0,7.0,1010.1,5.4,SSE,0.9,31.0,93.0,8.0,1008.6
Yes,1.0,ESE,ESE,13.0,71.06,40.0,51.44,Canberra,2.8,59.540000000000006,No,2007-12-17,69.44,20.0,1017.6,1.4,SSE,10.6,48.0,59.0,4.0,1016.8
No,6.0,E,ENE,13.0,69.62,43.0,45.5,Canberra,6.6,59.540000000000006,No,2007-12-18,67.64,20.0,1020.6,0.0,SE,8.7,39.0,61.0,7.0,1018.3
No,8.0,ENE,NE,7.0,69.8,54.0,55.04,Canberra,6.4,60.980000000000004,Yes,2007-12-19,68.0,6.0,1018.0,0.0,NE,0.8,22.0,72.0,8.0,1015.6
Yes,8.0,NW,NNW,4.0,73.58,74.0,54.68,Canberra,1.6,59.540000000000006,Yes,2007-12-20,68.72,13.0,1015.8,3.4,N,2.3,30.0,97.0,7.0,1014.1
Yes,2.0,NW,N,6.0,85.1,48.0,58.64,Canberra,1.8,69.8,Yes,2007-12-21,82.75999999999999,22.0,1012.9,6.4,NW,8.1,41.0,81.0,7.0,1008.3
Yes,8.0,WNW,NNW,41.0,71.6,62.0,67.82,Canberra,4.4,69.08,Yes,2007-12-22,67.28,30.0,996.5,11.0,N,5.9,76.0,92.0,3.0,996.8
Yes,1.0,N,ENE,9.0,68.72,49.0,48.56,Canberra,7.8,58.82,No,2007-12-23,65.84,20.0,1009.5,17.4,N,10.2,39.0,59.0,7.0,1009.1
