Pressure_3_pm,Min_Temp_F,Max_Temp_F,Rain_Tomorrow,Wind_Dir_3_pm,Temp_3_pm_F,Location,Wind_Gust_Dir,Wind_Speed_9_am,Humidity_9_am,Wind_Gust_Speed,Date,Wind_Dir_9_am,Temp_9_am_F,Wind_Speed_3_pm,Cloud_9_am,Humidity_3_pm,Cloud_3_pm,Sunshine,Pressure_9_am,Rain_Today,Rainfall,Evaporation
1004.4,64.22,95.36,No,SW,92.11999999999999,Cobar,SSW,6.0,20.0,48.0,2009-01-01,ENE,79.88,20.0,2.0,13.0,5.0,12.3,1006.3,No,0.0,12.0
1012.1,65.12,84.02,No,SSE,80.6,Cobar,S,19.0,30.0,37.0,2009-01-02,SSE,68.54,19.0,1.0,8.0,1.0,13.0,1012.9,No,0.0,14.8
1011.6,59.9,93.38000000000001,No,N,90.86,Cobar,SE,,,30.0,2009-01-03,,,7.0,,7.0,1.0,13.3,,No,0.0,12.6
1009.2,66.92,99.68,No,NNW,94.82,Cobar,NNE,30.0,42.0,46.0,2009-01-04,NNE,83.66,15.0,1.0,22.0,6.0,10.6,1012.3,No,0.0,10.8
1009.1,71.42,101.11999999999999,No,WSW,96.08000000000001,Cobar,WNW,6.0,37.0,31.0,2009-01-05,WNW,84.38000000000001,6.0,1.0,22.0,5.0,12.2,1012.7,No,0.0,11.4
1007.4,75.56,105.8,No,WNW,99.68,Cobar,WNW,17.0,19.0,35.0,2009-01-06,NW,92.48,13.0,1.0,15.0,6.0,8.4,1010.7,No,0.0,11.2
1007.4,80.78,96.98,No,WNW,93.74,Cobar,N,7.0,26.0,43.0,2009-01-07,N,87.26,20.0,8.0,19.0,8.0,0.0,1007.7,No,0.0,13.0
1009.9,73.94,93.2,No,SSE,88.7,Cobar,SSW,17.0,33.0,41.0,2009-01-08,S,77.0,19.0,3.0,15.0,1.0,12.6,1011.3,No,0.0,9.8
1009.2,60.980000000000004,93.56,No,S,91.03999999999999,Cobar,SE,15.0,25.0,37.0,2009-01-09,SE,69.25999999999999,6.0,1.0,9.0,1.0,13.2,1013.3,No,0.0,14.6
1004.0,66.2,95.9,No,WSW,91.94,Cobar,ENE,30.0,46.0,48.0,2009-01-10,ENE,74.12,9.0,1.0,28.0,5.0,12.3,1008.3,No,0.0,12.0
1005.8,67.46,95.9,No,WSW,92.48,Cobar,NE,15.0,61.0,41.0,2009-01-11,NNE,75.2,17.0,1.0,14.0,5.0,12.7,1007.9,No,0.0,11.0
1010.1,69.62,100.03999999999999,No,ENE,97.52,Cobar,E,11.0,27.0,30.0,2009-01-12,SE,85.64,7.0,0.0,9.0,1.0,13.2,1012.6,No,0.0,12.8
1010.4,75.02,102.38000000000001,No,N,98.6,Cobar,ENE,24.0,40.0,39.0,2009-01-13,NE,84.38000000000001,9.0,0.0,15.0,2.0,12.1,1013.6,No,0.0,13.8
