pressure_9_am,min_temp_c,wind_speed_3_pm,humidity_3_pm,wind_gust_speed,wind_dir_3_pm,location,temp_3_pm_c,cloud_3_pm,max_temp_c,pressure_3_pm,sunshine,humidity_9_am,evaporation,rain_tomorrow,rainfall,cloud_9_am,rain_today,temp_9_am_c,wind_gust_dir,wind_dir_9_am,date,wind_speed_9_am
1005.9,16.1,37.0,58.0,54.0,NNE,CoffsHarbour,28.4,5.0,31.4,1002.3,11.4,51.0,7.4,No,0.0,1.0,No,26.5,NNE,N,2009-01-01,7.0
1010.9,22.8,15.0,67.0,56.0,S,CoffsHarbour,24.4,7.0,24.7,1011.4,0.2,68.0,8.0,Yes,0.0,7.0,No,23.4,SSW,SSW,2009-01-02,35.0
1019.3,20.0,19.0,59.0,35.0,E,CoffsHarbour,23.7,7.0,24.1,1018.8,0.2,70.0,3.4,No,4.6,8.0,Yes,21.7,SE,SE,2009-01-03,20.0
1019.5,14.8,17.0,45.0,24.0,ESE,CoffsHarbour,24.8,2.0,25.0,1017.0,12.6,62.0,3.0,No,0.8,5.0,No,22.5,E,SSE,2009-01-04,7.0
1015.7,15.5,30.0,62.0,41.0,NE,CoffsHarbour,26.1,6.0,27.3,1012.7,13.1,54.0,6.6,No,0.0,1.0,No,24.6,NE,NW,2009-01-05,7.0
1012.9,19.8,39.0,58.0,54.0,NE,CoffsHarbour,27.3,1.0,30.2,1011.0,13.4,55.0,5.4,No,0.0,0.0,No,27.1,NNE,NW,2009-01-06,24.0
1012.3,22.7,37.0,66.0,56.0,NNE,CoffsHarbour,27.1,5.0,29.6,1009.7,9.8,60.0,8.0,No,0.0,5.0,No,26.7,NNE,NNW,2009-01-07,20.0
1009.4,22.7,20.0,71.0,44.0,NNE,CoffsHarbour,26.4,8.0,29.2,1008.8,1.9,70.0,6.4,Yes,0.0,7.0,No,25.8,SSW,NW,2009-01-08,9.0
1015.7,19.5,28.0,73.0,56.0,SSE,CoffsHarbour,21.1,8.0,21.4,1015.9,0.2,85.0,4.2,Yes,7.8,8.0,Yes,20.0,S,SSW,2009-01-09,26.0
1015.5,16.9,15.0,47.0,30.0,SE,CoffsHarbour,23.3,2.0,24.2,1013.5,12.0,59.0,2.6,No,3.2,2.0,Yes,21.2,SW,SW,2009-01-10,20.0
1013.7,13.7,15.0,63.0,26.0,ESE,CoffsHarbour,24.5,2.0,25.5,1012.0,12.2,55.0,6.2,No,0.0,2.0,No,23.2,E,SW,2009-01-11,13.0
1014.5,17.5,19.0,63.0,31.0,E,CoffsHarbour,26.0,3.0,27.4,1014.3,12.0,67.0,5.6,No,0.0,5.0,No,24.8,E,E,2009-01-12,11.0
1019.1,17.7,20.0,62.0,28.0,E,CoffsHarbour,26.1,1.0,27.0,1017.2,10.8,64.0,5.6,No,0.0,3.0,No,24.2,E,SSW,2009-01-13,15.0
1017.8,16.9,30.0,49.0,43.0,NNE,CoffsHarbour,26.1,1.0,27.4,1015.9,13.2,58.0,6.6,No,0.0,3.0,No,24.9,N,NNW,2009-01-14,13.0
1013.9,19.1,46.0,57.0,61.0,NNE,CoffsHarbour,27.6,1.0,32.2,1010.4,13.2,50.0,7.6,No,0.0,0.0,No,25.1,NNE,NNW,2009-01-15,31.0
1011.0,21.0,15.0,74.0,39.0,E,CoffsHarbour,26.5,5.0,27.5,1008.8,10.8,68.0,7.8,Yes,0.0,3.0,No,26.3,SSW,SSE,2009-01-16,6.0
1016.6,19.0,30.0,84.0,50.0,S,CoffsHarbour,19.3,8.0,21.3,1017.8,0.3,93.0,4.8,Yes,6.4,8.0,Yes,19.1,S,SSW,2009-01-17,19.0
1021.2,14.8,9.0,57.0,28.0,SE,CoffsHarbour,21.7,7.0,23.1,1020.1,2.8,69.0,1.6,No,7.2,6.0,Yes,20.9,SW,SW,2009-01-18,17.0
1019.9,14.3,31.0,55.0,44.0,NE,CoffsHarbour,23.9,7.0,25.9,1016.8,11.2,59.0,4.0,No,0.0,5.0,No,22.3,NNE,NNW,2009-01-19,7.0
1016.9,20.2,39.0,60.0,59.0,NNE,CoffsHarbour,26.4,5.0,28.5,1014.0,8.0,64.0,5.4,No,0.0,7.0,No,23.4,NNE,NNW,2009-01-20,17.0
1014.9,22.2,31.0,61.0,48.0,NNE,CoffsHarbour,26.7,7.0,30.8,1012.0,3.6,58.0,6.8,No,0.0,6.0,No,26.8,NNE,NNW,2009-01-21,17.0
1013.2,22.6,20.0,68.0,48.0,NNW,CoffsHarbour,26.1,8.0,28.2,1010.6,0.7,76.0,3.8,No,0.2,7.0,No,24.7,NNW,NNW,2009-01-22,24.0
1011.7,22.2,31.0,71.0,50.0,NNE,CoffsHarbour,28.6,4.0,29.4,1009.1,9.9,70.0,1.6,No,0.0,5.0,No,27.3,NNE,NNW,2009-01-23,17.0
1008.6,23.6,35.0,70.0,56.0,NNE,CoffsHarbour,28.0,4.0,30.6,1006.2,11.4,68.0,6.0,No,0.0,2.0,No,29.3,NNE,N,2009-01-24,24.0
1014.9,22.1,17.0,76.0,41.0,S,CoffsHarbour,24.4,8.0,25.6,1015.3,0.0,94.0,7.0,Yes,0.0,8.0,No,22.3,S,S,2009-01-25,19.0
