WindGustSpeed,Location,Pressure3pm,WindDir9am,RainToday,Temp3pmF,Temp9amF,WindGustDir,Humidity3pm,RainTomorrow,MinTempF,Evaporation,Date,WindDir3pm,WindSpeed3pm,Pressure9am,Rainfall,MaxTempF,Humidity9am,WindSpeed9am,Sunshine
,Dartmoor,,,,,,,,,,4.8,2009-01-01,,,,,,,,6.5
,Dartmoor,,,,,,,,,,4.8,2009-01-02,,,,,,,,11.7
,Dartmoor,,,,,,,,,,4.6,2009-01-03,,,,,,,,11.9
,Dartmoor,,,,,,,,,,4.8,2009-01-04,,,,,,,,13.8
,Dartmoor,,,,,,,,,,5.6,2009-01-05,,,,,,,,13.6
,Dartmoor,,,,,,,,,,5.4,2009-01-06,,,,,,,,8.5
,Dartmoor,,,,,,,,,,4.8,2009-01-07,,,,,,,,8.0
,Dartmoor,,,,,,,,,,5.8,2009-01-08,,,,,,,,11.7
,Dartmoor,,,,,,,,,,5.2,2009-01-09,,,,,,,,9.9
,Dartmoor,,,,,,,,,,5.2,2009-01-10,,,,,,,,13.8
,Dartmoor,,,,,,,,,,6.4,2009-01-11,,,,,,,,11.2
,Dartmoor,,,,,,,,,,4.8,2009-01-12,,,,,,,,11.6
,Dartmoor,,,,,,,,,,6.0,2009-01-13,,,,,,,,13.0
,Dartmoor,,,,,,,,,,15.2,2009-01-14,,,,,,,,5.8
,Dartmoor,,,,,,,,,,5.0,2009-01-15,,,,,,,,12.1
,Dartmoor,,,,,,,,,,6.6,2009-01-16,,,,,,,,12.0
,Dartmoor,,,,,,,,,,5.4,2009-01-17,,,,,,,,13.4
,Dartmoor,,,,,,,,,,5.4,2009-01-18,,,,,,,,13.8
,Dartmoor,,,,,,,,,,7.2,2009-01-19,,,,,,,,13.4
,Dartmoor,,,,,,,,,,8.4,2009-01-20,,,,,,,,12.0
,Dartmoor,,,,,,,,,,7.0,2009-01-21,,,,,,,,10.8
,Dartmoor,,,,,,,,,,8.2,2009-01-22,,,,,,,,5.2
,Dartmoor,,,,,,,,,,6.6,2009-01-23,,,,,,,,7.4
,Dartmoor,,,,,,,,,,5.6,2009-01-24,,,,,,,,11.6
,Dartmoor,,,,,,,,,,5.2,2009-01-25,,,,,,,,13.3
,Dartmoor,,,,,,,,,,5.2,2009-01-26,,,,,,,,13.4
,Dartmoor,,,,,,,,,,6.6,2009-01-27,,,,,,,,13.3
,Dartmoor,,,,,,,,,,10.8,2009-01-28,,,,,,,,13.2
,Dartmoor,,,,,,,,,,13.8,2009-01-29,,,,,,,,11.4
,Dartmoor,,,,,,,,,,14.2,2009-01-30,,,,,,,,12.6
,Dartmoor,,,,,,,,,,8.6,2009-01-31,,,,,,,,9.7
,Dartmoor,,,,,,,,,,6.4,2009-02-01,,,,,,,,10.6
,Dartmoor,,,,,,,,,,7.8,2009-02-02,,,,,,,,7.4
,Dartmoor,,,,,,,,,,4.4,2009-02-03,,,,,,,,9.5
,Dartmoor,,,,,,,,,,5.6,2009-02-04,,,,,,,,13.2
