Location,Rainfall,Evaporation,Wind.Dir.3.pm,Temp.3.pm.C,Wind.Speed.9.am,Date,Pressure.9.am,Cloud.9.am,Cloud.3.pm,Wind.Gust.Dir,Temp.9.am.C,Min.Temp.C,Rain.Tomorrow,Humidity.9.am,Sunshine,Humidity.3.pm,Pressure.3.pm,Rain.Today,Wind.Speed.3.pm,Wind.Dir.9.am,Wind.Gust.Speed,Max.Temp.C
Darwin,0.0,4.4,SSE,32.3,13.0,2008-07-01,1016.0,1.0,2.0,E,25.4,20.0,No,81.0,11.0,32.0,1012.1,No,17.0,ENE,41.0,33.1
Darwin,0.0,6.0,E,31.9,15.0,2008-07-02,1016.8,1.0,1.0,ENE,24.3,19.4,No,81.0,10.4,17.0,1012.4,No,28.0,SE,50.0,32.4
Darwin,0.0,8.0,ENE,31.2,22.0,2008-07-03,1017.2,0.0,1.0,E,24.3,18.2,No,38.0,11.0,24.0,1013.0,No,19.0,ESE,46.0,31.8
Darwin,0.0,7.0,E,29.8,22.0,2008-07-04,1017.3,2.0,6.0,E,21.3,17.3,No,55.0,10.4,16.0,1013.6,No,13.0,SE,44.0,30.7
Darwin,0.0,7.0,E,29.6,20.0,2008-07-05,1016.3,1.0,1.0,ESE,22.2,15.5,No,37.0,10.8,16.0,1012.6,No,19.0,E,46.0,30.8
Darwin,0.0,7.2,SE,30.5,11.0,2008-07-06,1015.8,0.0,0.0,E,22.8,16.2,No,62.0,10.7,18.0,1012.2,No,13.0,ESE,41.0,31.9
Darwin,0.0,5.2,ESE,31.5,11.0,2008-07-07,1016.7,5.0,2.0,E,23.3,17.0,No,54.0,7.8,18.0,1013.1,No,22.0,SE,48.0,32.7
Darwin,0.0,9.2,ESE,30.2,20.0,2008-07-08,1018.2,1.0,0.0,ESE,22.3,19.6,No,36.0,10.6,12.0,1014.6,No,33.0,SE,54.0,30.8
Darwin,0.0,9.6,ESE,28.6,31.0,2008-07-09,1019.1,1.0,0.0,ESE,20.3,17.3,No,26.0,10.6,15.0,1015.2,No,24.0,SE,50.0,29.2
Darwin,0.0,9.2,ESE,28.8,17.0,2008-07-10,1018.3,1.0,1.0,ESE,19.5,17.1,No,33.0,11.1,14.0,1013.2,No,13.0,SE,48.0,30.3
Darwin,0.0,8.0,NE,30.0,20.0,2008-07-11,1015.7,1.0,0.0,E,22.4,17.7,No,21.0,10.9,11.0,1011.0,No,11.0,ESE,41.0,30.6
Darwin,0.0,7.0,WSW,29.0,13.0,2008-07-12,1014.5,0.0,1.0,NE,22.2,14.7,No,43.0,11.0,40.0,1010.6,No,15.0,E,35.0,30.9
Darwin,0.0,4.8,NW,29.9,13.0,2008-07-13,1015.8,0.0,1.0,WNW,22.7,18.7,No,75.0,10.4,42.0,1012.1,No,22.0,SSE,28.0,31.3
Darwin,0.0,4.8,NNW,28.7,7.0,2008-07-14,1015.8,5.0,6.0,ENE,25.3,18.8,No,69.0,8.9,56.0,1012.1,No,20.0,ESE,33.0,31.0
Darwin,0.0,4.0,NNW,30.2,9.0,2008-07-15,1014.9,1.0,1.0,ESE,26.5,21.4,No,64.0,11.0,45.0,1010.5,No,20.0,SE,41.0,33.1
Darwin,0.0,7.4,ESE,32.3,15.0,2008-07-16,1014.0,0.0,0.0,ESE,25.1,18.7,No,71.0,11.0,32.0,1009.7,No,22.0,SSE,41.0,33.5
Darwin,0.0,6.6,ENE,32.7,15.0,2008-07-17,1013.7,0.0,0.0,E,24.8,17.2,No,41.0,11.3,15.0,1009.4,No,20.0,SE,43.0,33.4
Darwin,0.0,7.6,NNE,31.3,13.0,2008-07-18,1013.4,0.0,3.0,N,25.5,17.6,No,44.0,11.0,41.0,1010.1,No,24.0,ESE,41.0,32.3
Darwin,0.0,5.4,NW,29.9,9.0,2008-07-19,1013.3,2.0,2.0,WNW,26.9,21.4,No,61.0,8.1,57.0,1009.8,No,15.0,E,26.0,29.9
Darwin,0.0,4.8,NW,28.3,7.0,2008-07-20,1013.6,5.0,3.0,NW,25.2,21.9,No,83.0,8.4,72.0,1010.0,No,22.0,S,35.0,31.4
Darwin,0.0,5.4,NW,30.9,22.0,2008-07-21,1012.2,0.0,1.0,SE,24.0,21.4,No,70.0,10.9,36.0,1009.0,No,22.0,SE,41.0,32.7
Darwin,0.0,7.2,SSE,31.8,26.0,2008-07-22,1012.8,1.0,1.0,ESE,24.8,22.5,No,30.0,10.0,28.0,1009.1,No,19.0,SE,52.0,32.5
Darwin,0.0,7.6,SE,30.3,31.0,2008-07-23,1014.4,0.0,0.0,SE,22.9,21.4,No,30.0,11.0,20.0,1010.7,No,26.0,SE,52.0,30.9
Darwin,0.0,10.8,S,28.3,28.0,2008-07-24,1014.5,0.0,0.0,SE,20.5,17.3,No,27.0,10.5,19.0,1010.3,No,15.0,SE,44.0,29.1
Darwin,0.0,6.6,SSE,28.4,24.0,2008-07-25,1015.0,0.0,0.0,ESE,19.5,15.9,No,24.0,11.0,13.0,1010.8,No,17.0,SE,43.0,29.3
Darwin,0.0,6.8,SE,29.7,17.0,2008-07-26,1014.4,0.0,0.0,E,19.8,14.6,No,32.0,11.1,8.0,1010.7,No,15.0,ESE,41.0,30.2
Darwin,0.0,5.6,NNW,27.4,4.0,2008-07-27,1014.9,1.0,0.0,NNW,21.7,12.5,No,60.0,10.9,37.0,1011.2,No,19.0,S,28.0,31.3
Darwin,0.0,5.0,NW,27.9,2.0,2008-07-28,1014.6,0.0,1.0,N,23.9,15.5,No,70.0,10.8,56.0,1011.3,No,20.0,E,33.0,30.0
Darwin,0.0,5.6,NNW,29.5,11.0,2008-07-29,1015.0,0.0,0.0,E,24.9,17.4,No,68.0,10.7,33.0,1010.6,No,19.0,SSE,33.0,31.6
Darwin,0.0,7.6,NW,27.6,7.0,2008-07-30,1015.8,6.0,1.0,NW,20.6,18.9,No,95.0,9.4,54.0,1011.7,No,22.0,S,35.0,28.7
Darwin,0.0,5.4,NNW,27.1,17.0,2008-07-31,1016.7,2.0,6.0,E,22.9,17.4,No,66.0,8.7,54.0,1012.6,No,22.0,ENE,33.0,30.3
Darwin,0.0,5.0,N,29.5,13.0,2008-08-01,1015.5,7.0,3.0,SSE,23.4,17.3,No,67.0,10.1,50.0,1011.8,No,28.0,SE,33.0,32.0
Darwin,0.0,5.6,ESE,32.0,15.0,2008-08-02,1015.5,5.0,5.0,E,23.7,18.1,No,78.0,9.4,23.0,1011.2,No,24.0,E,44.0,32.2
Darwin,0.0,6.2,E,33.5,17.0,2008-08-03,1015.6,1.0,3.0,ESE,23.1,18.8,No,64.0,11.4,11.0,1010.9,No,33.0,ESE,54.0,34.1
Darwin,0.0,8.6,WNW,29.3,11.0,2008-08-04,1016.2,6.0,5.0,ESE,23.3,17.5,No,77.0,10.3,45.0,1011.8,No,28.0,S,52.0,34.7
Darwin,0.0,6.2,NW,28.3,0.0,2008-08-05,1015.2,3.0,1.0,ESE,25.2,18.0,No,74.0,10.2,62.0,1011.3,No,24.0,,44.0,33.8
Darwin,0.0,6.8,ENE,31.8,15.0,2008-08-06,1015.7,0.0,0.0,E,23.1,17.6,No,84.0,11.0,21.0,1011.9,No,24.0,SE,46.0,32.6
Darwin,0.0,6.4,E,31.3,24.0,2008-08-07,1016.3,0.0,0.0,ESE,22.7,18.4,No,33.0,11.2,18.0,1012.0,No,24.0,ESE,50.0,32.3
Darwin,0.0,7.6,E,31.9,19.0,2008-08-08,1015.5,0.0,0.0,ESE,21.4,15.9,No,,11.1,13.0,1012.0,No,19.0,SE,52.0,32.1
Darwin,0.0,8.0,NW,30.7,15.0,2008-08-09,1016.0,3.0,6.0,E,21.2,16.6,No,32.0,10.1,18.0,1011.7,No,24.0,ESE,41.0,31.7
Darwin,0.0,8.0,E,30.9,15.0,2008-08-10,1016.1,6.0,7.0,E,22.6,18.1,No,36.0,8.7,25.0,1011.9,No,17.0,SE,37.0,32.4
Darwin,0.0,6.4,WNW,31.0,26.0,2008-08-11,1015.2,3.0,3.0,ESE,22.4,19.2,No,21.0,10.1,15.0,1011.6,No,20.0,SE,46.0,32.2
Darwin,0.0,7.8,WNW,30.1,20.0,2008-08-12,1015.9,4.0,5.0,ESE,22.8,19.0,No,21.0,10.9,24.0,1012.1,No,19.0,SE,37.0,31.7
