Location,Rainfall,Temp.3.pm.F,Wind.Dir.9.am,Wind.Speed.3.pm,Wind.Gust.Dir,Pressure.3.pm,Humidity.9.am,Rain.Today,Wind.Dir.3.pm,Max.Temp.F,Humidity.3.pm,Min.Temp.F,Pressure.9.am,Date,Temp.9.am.F,Wind.Speed.9.am,Wind.Gust.Speed,Rain.Tomorrow
GoldCoast,0.0,83.3,NNW,22.0,NNW,1010.7,52.0,No,NE,86.72,61.0,62.6,1013.5,2008-12-01,79.16,17.0,31.0,No
GoldCoast,0.0,79.16,NNW,31.0,NNE,1010.2,55.0,No,NNE,85.46000000000001,70.0,66.2,1013.1,2008-12-02,82.04,19.0,37.0,No
GoldCoast,0.0,76.28,N,31.0,NNE,1009.8,61.0,No,N,83.48,74.0,70.34,1013.4,2008-12-03,82.04,24.0,52.0,No
GoldCoast,0.8,74.48,ENE,39.0,SE,1014.5,65.0,No,SE,83.66,75.0,69.62,1014.7,2008-12-04,81.5,15.0,52.0,No
GoldCoast,0.2,74.84,E,11.0,NW,1015.2,67.0,No,SE,85.1,83.0,67.46,1017.5,2008-12-05,78.8,11.0,43.0,Yes
GoldCoast,3.6,89.41999999999999,NW,17.0,NW,1006.7,52.0,Yes,NW,94.1,50.0,73.04,1011.2,2008-12-06,84.91999999999999,22.0,48.0,Yes
GoldCoast,15.4,74.48,NNW,39.0,SSE,1006.2,82.0,Yes,SSE,84.38000000000001,75.0,71.78,1007.2,2008-12-07,78.8,17.0,54.0,No
GoldCoast,0.2,77.9,S,26.0,SE,1011.0,64.0,No,SE,81.86,62.0,68.36,1013.4,2008-12-08,77.18,26.0,41.0,Yes
GoldCoast,1.2,83.12,SSE,26.0,,1011.4,71.0,Yes,ENE,84.2,61.0,67.82,1013.5,2008-12-09,78.08,19.0,,
GoldCoast,,79.7,N,31.0,NNE,1007.5,58.0,,NNE,86.53999999999999,70.0,,1011.3,2008-12-10,81.14,19.0,41.0,No
GoldCoast,0.0,77.9,SE,30.0,SSE,1006.7,70.0,No,NNE,87.8,80.0,74.12,1011.1,2008-12-11,80.06,20.0,50.0,Yes
GoldCoast,13.2,72.14,S,22.0,S,1010.9,99.0,Yes,S,81.5,100.0,70.7,1014.4,2008-12-12,70.88,28.0,39.0,Yes
GoldCoast,6.2,79.7,NNW,30.0,N,1000.7,63.0,Yes,N,89.6,77.0,70.7,1006.4,2008-12-13,81.5,22.0,41.0,No
GoldCoast,0.0,88.34,NW,33.0,WNW,999.4,40.0,No,W,91.22,27.0,73.58,1001.2,2008-12-14,85.82,35.0,61.0,No
GoldCoast,0.0,78.44,W,31.0,SSE,1007.0,29.0,No,SSE,86.53999999999999,48.0,63.86,1006.2,2008-12-15,80.24000000000001,22.0,39.0,No
GoldCoast,0.0,83.3,E,26.0,NNE,1012.3,56.0,No,NE,85.28,53.0,63.32,1014.8,2008-12-16,77.9,11.0,33.0,No
GoldCoast,0.0,84.02,NW,31.0,NNE,1010.9,52.0,No,NNE,87.8,58.0,65.3,1014.3,2008-12-17,80.78,24.0,37.0,No
GoldCoast,0.0,78.25999999999999,NW,33.0,SSW,1005.0,49.0,No,N,86.18,69.0,70.16,1010.6,2008-12-18,82.04,20.0,56.0,Yes
GoldCoast,11.0,78.8,NNW,19.0,S,1002.4,60.0,Yes,N,87.26,71.0,69.44,1006.2,2008-12-19,82.94,28.0,56.0,No
GoldCoast,0.0,76.28,SSE,37.0,SSE,1013.6,61.0,No,SSE,78.98,58.0,69.08,1013.8,2008-12-20,77.72,37.0,54.0,No
GoldCoast,0.0,75.2,S,39.0,SE,1016.3,51.0,No,SSE,80.24000000000001,58.0,66.74000000000001,1017.9,2008-12-21,75.2,33.0,54.0,No
GoldCoast,0.0,78.44,S,30.0,ESE,1015.8,47.0,No,SE,82.22,54.0,65.66,1018.7,2008-12-22,75.38,24.0,39.0,No
GoldCoast,0.0,82.4,NNE,33.0,NNE,1011.6,51.0,No,NNE,85.64,49.0,63.32,1015.2,2008-12-23,79.16,15.0,43.0,No
GoldCoast,0.0,83.12,NNE,37.0,NNE,1008.1,57.0,No,NNE,86.53999999999999,58.0,69.25999999999999,1012.1,2008-12-24,82.22,19.0,46.0,Yes
GoldCoast,14.2,78.98,SE,11.0,NE,1011.7,87.0,Yes,E,83.66,74.0,69.08,1013.1,2008-12-25,76.1,19.0,31.0,Yes
GoldCoast,6.8,79.88,NE,17.0,NNE,1012.8,96.0,Yes,NNE,83.3,73.0,70.7,1014.9,2008-12-26,75.2,17.0,26.0,No
GoldCoast,0.0,81.5,NNE,26.0,NNE,1010.4,66.0,No,NNE,85.82,63.0,73.58,1014.0,2008-12-27,81.86,17.0,30.0,Yes
GoldCoast,20.0,81.32,NW,28.0,NNE,1005.9,84.0,Yes,NNE,84.02,66.0,70.34,1009.2,2008-12-28,73.94,17.0,50.0,Yes
GoldCoast,22.8,80.6,NE,28.0,WSW,1002.7,78.0,Yes,NNE,86.0,73.0,70.88,1006.4,2008-12-29,79.16,17.0,74.0,Yes
GoldCoast,8.2,80.6,NW,26.0,NW,999.8,53.0,Yes,NNE,88.7,74.0,66.38,1003.8,2008-12-30,83.66,24.0,35.0,No
GoldCoast,0.0,83.66,NNE,19.0,NW,1003.4,65.0,No,N,86.53999999999999,72.0,68.18,1005.0,2008-12-31,83.12,11.0,24.0,No
GoldCoast,0.0,80.42,NNE,22.0,WNW,1004.6,69.0,No,NNE,87.8,82.0,70.88,1006.9,2009-01-01,83.84,13.0,50.0,Yes
GoldCoast,5.0,76.64,WSW,31.0,SE,1010.0,73.0,Yes,SE,82.4,81.0,72.32,1010.0,2009-01-02,76.1,13.0,46.0,Yes
GoldCoast,4.0,75.02,SSE,50.0,SSE,1015.0,81.0,Yes,SE,78.62,72.0,70.7,1015.2,2009-01-03,75.2,46.0,70.0,Yes
GoldCoast,2.4,79.34,SE,33.0,SE,1014.9,54.0,Yes,SSE,81.5,49.0,71.42,1017.3,2009-01-04,78.62,41.0,56.0,No
GoldCoast,0.0,80.42,SSE,30.0,SE,1012.4,64.0,No,SE,83.84,64.0,71.06,1014.4,2009-01-05,80.78,28.0,41.0,No
GoldCoast,0.0,81.5,SE,24.0,ESE,1011.5,61.0,No,ESE,85.46000000000001,59.0,71.96,1013.7,2009-01-06,83.3,22.0,30.0,No
GoldCoast,0.0,84.2,ESE,17.0,E,1010.5,62.0,No,E,87.26,57.0,74.84,1013.1,2009-01-07,83.48,19.0,28.0,Yes
GoldCoast,1.4,81.5,WSW,15.0,N,1008.4,93.0,Yes,NNE,81.68,75.0,72.5,1010.3,2009-01-08,75.2,11.0,22.0,No
GoldCoast,0.2,81.86,S,54.0,SSE,1010.7,64.0,No,S,85.1,55.0,71.78,1011.8,2009-01-09,77.54,43.0,74.0,No
GoldCoast,0.0,80.24000000000001,SSE,39.0,S,1010.8,53.0,No,SSE,83.12,53.0,68.9,1012.5,2009-01-10,78.62,46.0,56.0,No
GoldCoast,0.8,80.42,SSE,24.0,SSE,1010.9,60.0,No,SE,84.02,60.0,68.18,1012.5,2009-01-11,78.08,24.0,33.0,No
GoldCoast,0.0,81.68,SSE,22.0,SE,1013.5,59.0,No,SE,84.74,56.0,68.36,1014.6,2009-01-12,80.78,17.0,39.0,No
GoldCoast,0.0,79.52,SE,35.0,SE,1015.9,61.0,No,ESE,84.74,61.0,73.58,1017.5,2009-01-13,81.14,33.0,52.0,No
GoldCoast,0.0,81.5,ESE,24.0,SE,1015.9,60.0,No,ESE,83.3,51.0,70.88,1017.4,2009-01-14,77.18,26.0,41.0,No
GoldCoast,0.0,84.74,NE,33.0,NE,1013.0,56.0,No,NE,87.8,54.0,65.66,1016.1,2009-01-15,82.58,9.0,39.0,No
GoldCoast,0.0,84.38000000000001,NNW,35.0,N,1009.5,53.0,No,NNE,89.78,62.0,70.88,1013.1,2009-01-16,82.94,24.0,50.0,No
GoldCoast,0.0,73.94,SSE,44.0,SSE,1015.0,73.0,No,SSE,83.84,74.0,75.74000000000001,1012.9,2009-01-17,79.88,41.0,70.0,No
GoldCoast,0.2,77.54,SSE,31.0,S,1018.4,56.0,No,SSE,81.86,52.0,67.1,1019.6,2009-01-18,77.72,31.0,52.0,No
GoldCoast,0.0,83.12,SSE,15.0,SSE,1016.9,50.0,No,E,84.56,47.0,65.12,1019.4,2009-01-19,79.16,24.0,31.0,No
GoldCoast,0.0,85.46000000000001,SE,20.0,NE,1015.7,46.0,No,NE,87.61999999999999,47.0,67.82,1017.6,2009-01-20,81.32,7.0,30.0,No
GoldCoast,0.0,85.46000000000001,NE,33.0,NNE,1013.6,62.0,No,NNE,88.88000000000001,64.0,72.14,1016.3,2009-01-21,84.02,15.0,41.0,No
GoldCoast,0.0,89.06,NNE,28.0,NNE,1010.9,64.0,No,NNE,90.68,61.0,75.38,1014.5,2009-01-22,83.66,17.0,35.0,Yes
GoldCoast,48.2,84.02,NNW,28.0,NNW,1009.0,98.0,Yes,NNE,87.61999999999999,74.0,75.02,1012.7,2009-01-23,76.64,15.0,39.0,Yes
GoldCoast,10.8,82.94,NW,28.0,NNE,1007.5,74.0,Yes,NNE,88.34,80.0,75.38,1011.1,2009-01-24,82.75999999999999,13.0,37.0,No
GoldCoast,0.0,77.54,NNE,19.0,ENE,1013.5,79.0,No,NE,86.9,96.0,76.64,1013.1,2009-01-25,83.12,13.0,37.0,Yes
