Wind Speed 3 pm,Temp 9 am F,Wind Gust Dir,Pressure 9 am,Humidity 3 pm,Humidity 9 am,Wind Dir 3 pm,Rainfall,Rain Tomorrow,Cloud 9 am,Max Temp F,Wind Speed 9 am,Temp 3 pm F,Date,Cloud 3 pm,Rain Today,Location,Pressure 3 pm,Wind Gust Speed,Wind Dir 9 am,Min Temp F,Sunshine,Evaporation
24.0,43.7,WSW,988.3,42.0,72.0,NW,3.0,Yes,6.0,53.96,17.0,53.78,2008-07-01,5.0,Yes,Hobart,992.3,81.0,NNE,40.28,6.0,3.4
26.0,42.8,W,991.7,60.0,78.0,SW,16.2,Yes,8.0,51.44,24.0,47.3,2008-07-02,6.0,Yes,Hobart,1002.5,83.0,NW,41.18,3.2,3.6
39.0,50.18,SW,1008.7,53.0,55.0,SW,3.0,No,4.0,54.32,37.0,48.74,2008-07-03,1.0,Yes,Hobart,1015.1,100.0,WNW,41.9,4.3,2.0
9.0,37.76,NNW,1028.9,54.0,76.0,N,1.0,No,1.0,50.72,17.0,49.28,2008-07-04,1.0,No,Hobart,1028.1,28.0,NW,33.62,8.3,0.2
15.0,37.22,NNW,1028.2,53.0,79.0,NW,0.0,No,1.0,50.0,13.0,49.46,2008-07-05,7.0,No,Hobart,1025.4,28.0,NNW,32.9,8.1,1.4
7.0,39.56,NNW,1021.6,70.0,77.0,N,0.0,No,7.0,50.0,19.0,48.379999999999995,2008-07-06,7.0,No,Hobart,1017.8,41.0,NNW,34.34,2.7,1.4
4.0,45.86,NNW,1017.2,61.0,82.0,WNW,0.0,Yes,3.0,60.440000000000005,13.0,56.84,2008-07-07,5.0,No,Hobart,1015.2,39.0,NNW,39.38,5.3,1.0
13.0,46.94,NNW,1017.6,72.0,96.0,NNW,8.4,No,7.0,57.56,7.0,57.2,2008-07-08,2.0,Yes,Hobart,1017.2,24.0,N,45.14,3.4,0.2
13.0,45.5,NW,1017.8,74.0,88.0,N,0.4,No,2.0,52.52,11.0,51.26,2008-07-09,7.0,No,Hobart,1012.4,35.0,NW,41.72,6.0,0.8
20.0,48.2,NNW,998.7,49.0,68.0,NW,0.6,Yes,7.0,55.22,19.0,50.54,2008-07-10,2.0,No,Hobart,996.5,44.0,NNW,41.36,5.2,4.6
28.0,44.78,SW,1002.3,52.0,66.0,SW,2.6,No,7.0,50.0,20.0,49.1,2008-07-11,2.0,Yes,Hobart,1007.4,52.0,NW,38.660000000000004,5.0,0.2
9.0,46.94,NW,1016.5,63.0,73.0,N,0.2,No,8.0,51.620000000000005,6.0,51.44,2008-07-12,7.0,No,Hobart,1014.8,43.0,SW,43.519999999999996,0.0,1.8
11.0,45.68,N,1016.2,56.0,77.0,NNW,0.0,No,7.0,55.4,17.0,53.96,2008-07-13,6.0,No,Hobart,1016.0,30.0,NW,43.7,4.4,3.0
9.0,42.44,NNW,1020.4,64.0,88.0,E,0.0,No,5.0,55.58,13.0,52.879999999999995,2008-07-14,5.0,No,Hobart,1019.6,28.0,NW,41.18,7.4,2.4
11.0,44.78,SSE,1023.3,69.0,88.0,SSE,0.8,No,7.0,54.32,11.0,52.879999999999995,2008-07-15,4.0,No,Hobart,1022.4,26.0,NNW,42.260000000000005,3.7,1.0
0.0,45.14,NNW,1023.8,87.0,88.0,,0.8,No,7.0,50.18,11.0,50.18,2008-07-16,7.0,No,Hobart,1021.5,17.0,NNW,42.980000000000004,0.0,1.0
7.0,43.16,NNE,1015.9,66.0,91.0,ENE,0.2,No,7.0,54.68,0.0,52.52,2008-07-17,7.0,No,Hobart,1010.0,20.0,,40.82,3.5,3.0
22.0,42.8,NNW,1001.7,53.0,85.0,NW,0.0,No,5.0,57.02,4.0,55.76,2008-07-18,3.0,No,Hobart,999.7,46.0,NNE,38.48,6.0,0.2
17.0,45.32,WNW,1005.0,50.0,66.0,NNW,0.0,No,5.0,53.78,11.0,51.44,2008-07-19,4.0,No,Hobart,1005.2,41.0,NE,39.02,7.0,0.8
7.0,38.3,NNW,1011.4,70.0,74.0,NNW,0.0,Yes,5.0,46.76,9.0,44.96,2008-07-20,7.0,No,Hobart,1008.5,28.0,N,34.34,1.2,4.0
28.0,41.18,SW,1000.6,74.0,80.0,SSW,3.2,Yes,7.0,46.4,30.0,40.28,2008-07-21,6.0,Yes,Hobart,1004.5,65.0,SSW,37.94,3.4,0.4
20.0,46.22,WSW,1020.3,54.0,59.0,SW,5.2,No,2.0,51.620000000000005,11.0,51.08,2008-07-22,2.0,Yes,Hobart,1022.2,52.0,N,37.94,6.2,1.6
15.0,45.32,WSW,1031.2,58.0,76.0,NW,0.0,No,3.0,54.5,13.0,52.16,2008-07-23,6.0,No,Hobart,1030.3,30.0,NW,40.28,7.1,5.0
11.0,41.54,NW,1032.2,45.0,75.0,NNW,0.0,No,2.0,55.04,17.0,53.78,2008-07-24,2.0,No,Hobart,1028.9,30.0,NW,36.86,7.1,1.2
13.0,39.56,NNW,1024.9,43.0,74.0,NNW,0.0,No,2.0,55.4,19.0,54.68,2008-07-25,1.0,No,Hobart,1021.0,30.0,NW,36.86,8.9,1.6
7.0,38.48,NW,1017.3,60.0,78.0,SE,0.0,No,3.0,52.52,19.0,49.82,2008-07-26,3.0,No,Hobart,1014.5,30.0,NW,34.7,8.0,0.0
24.0,40.64,S,1017.6,62.0,96.0,SSE,0.6,Yes,7.0,51.44,9.0,49.28,2008-07-27,7.0,No,Hobart,1017.9,37.0,WNW,38.48,4.4,2.0
