Temp3pmC,Humidity9am,MaxTempC,Rainfall,Date,Evaporation,Humidity3pm,Temp9amC,Pressure3pm,Cloud3pm,Location,RainToday,Cloud9am,RainTomorrow,MinTempC,WindGustDir,Pressure9am,WindDir9am,WindSpeed9am,WindGustSpeed,WindDir3pm,WindSpeed3pm
34.1,74.0,34.6,0.0,2013-03-01,4.0,49.0,28.7,1005.0,3.0,Katherine,No,7.0,No,24.7,WNW,1008.5,NW,17.0,43.0,W,19.0
29.0,88.0,31.1,0.8,2013-03-02,6.4,77.0,27.0,1004.1,8.0,Katherine,No,8.0,No,25.2,WNW,1008.6,WNW,11.0,26.0,SW,7.0
35.1,82.0,35.9,0.0,2013-03-03,3.8,55.0,29.2,999.6,6.0,Katherine,No,6.0,Yes,25.4,S,1004.1,WSW,13.0,48.0,SW,15.0
31.2,95.0,33.0,81.0,2013-03-04,,64.0,25.1,1002.0,5.0,Katherine,Yes,8.0,No,21.6,W,1005.1,NW,13.0,37.0,WNW,20.0
33.6,89.0,,0.0,2013-03-05,4.0,61.0,26.9,1003.8,3.0,Katherine,No,7.0,No,24.9,NW,1007.1,WNW,13.0,30.0,WNW,13.0
35.0,,35.9,0.0,2013-03-06,,49.0,,1004.3,2.0,Katherine,No,,No,,NNE,1008.0,NNW,19.0,46.0,WNW,13.0
35.0,81.0,35.7,0.0,2013-03-07,12.0,49.0,28.0,1004.8,5.0,Katherine,No,3.0,No,24.5,NW,1008.4,WNW,17.0,26.0,W,11.0
35.2,77.0,36.5,0.0,2013-03-08,6.0,50.0,28.5,1004.3,5.0,Katherine,No,7.0,Yes,25.2,NNW,1009.3,W,9.0,39.0,N,9.0
31.4,93.0,32.8,6.6,2013-03-09,6.6,63.0,22.6,1003.9,3.0,Katherine,Yes,8.0,No,21.7,SSE,1009.8,ESE,22.0,61.0,WNW,13.0
34.8,85.0,35.9,0.4,2013-03-10,4.2,53.0,28.5,1002.3,5.0,Katherine,No,7.0,Yes,21.7,SSW,1007.7,W,9.0,46.0,S,9.0
34.5,83.0,34.6,6.6,2013-03-11,6.0,54.0,27.7,1003.0,8.0,Katherine,Yes,6.0,No,23.4,SSE,1007.1,S,4.0,31.0,SSE,15.0
34.0,87.0,34.8,0.0,2013-03-12,6.4,47.0,26.8,1003.6,3.0,Katherine,No,6.0,No,23.9,SSW,1008.2,,0.0,20.0,S,9.0
35.8,78.0,37.3,0.0,2013-03-13,4.0,48.0,28.0,1004.2,2.0,Katherine,No,1.0,No,23.2,NE,1007.8,WNW,13.0,59.0,WNW,15.0
35.2,76.0,37.0,0.0,2013-03-14,5.4,55.0,27.0,1004.9,2.0,Katherine,No,7.0,No,22.9,NW,1008.5,NNW,13.0,30.0,WSW,13.0
36.2,77.0,37.5,0.0,2013-03-15,6.0,47.0,29.5,1007.2,2.0,Katherine,No,6.0,No,25.1,E,1011.2,WNW,20.0,74.0,W,11.0
36.1,68.0,37.4,1.0,2013-03-16,9.0,,29.0,1008.1,2.0,Katherine,No,0.0,Yes,23.4,SE,1012.1,WNW,11.0,63.0,S,9.0
36.0,75.0,36.8,3.2,2013-03-17,7.2,38.0,28.2,1007.7,5.0,Katherine,Yes,0.0,No,23.0,ENE,1011.4,NNW,9.0,24.0,E,9.0
36.3,74.0,37.0,0.0,2013-03-18,5.0,40.0,28.8,1007.1,2.0,Katherine,No,0.0,No,22.9,WNW,1011.1,NW,4.0,22.0,E,7.0
36.1,67.0,37.0,0.0,2013-03-19,7.4,41.0,30.0,1007.2,2.0,Katherine,No,0.0,No,22.6,NE,1011.2,N,11.0,35.0,WSW,9.0
36.8,65.0,37.5,0.0,2013-03-20,9.4,35.0,29.8,1007.7,2.0,Katherine,No,1.0,No,24.8,SE,1012.3,NW,15.0,22.0,NNW,6.0
37.3,67.0,38.1,0.0,2013-03-21,3.8,,30.1,1005.6,2.0,Katherine,No,1.0,No,24.0,ENE,1010.1,WNW,7.0,24.0,NW,9.0
,71.0,37.9,0.0,2013-03-22,6.0,,29.2,1007.2,,Katherine,No,2.0,No,24.4,W,1010.8,WNW,13.0,28.0,NNE,7.0
35.2,66.0,36.5,0.0,2013-03-23,10.0,43.0,30.0,1007.3,8.0,Katherine,No,1.0,No,23.8,NE,1011.5,NE,11.0,28.0,E,17.0
30.0,69.0,32.5,0.0,2013-03-24,6.0,77.0,29.7,1006.5,8.0,Katherine,No,4.0,Yes,24.4,E,1010.4,SE,15.0,43.0,SE,11.0
,78.0,35.0,1.2,2013-03-25,7.2,,27.3,1005.0,,Katherine,Yes,7.0,No,23.2,SE,1009.8,S,9.0,54.0,E,13.0
32.0,82.0,32.7,0.8,2013-03-26,5.6,57.0,26.7,1003.8,4.0,Katherine,No,7.0,Yes,23.5,ENE,1008.0,ESE,13.0,43.0,ESE,20.0
28.1,87.0,33.8,3.4,2013-03-27,5.2,88.0,26.0,1002.6,6.0,Katherine,Yes,6.0,Yes,24.8,ESE,1006.7,E,19.0,43.0,ESE,26.0
25.4,98.0,33.8,117.6,2013-03-28,,98.0,25.1,1003.1,8.0,Katherine,Yes,8.0,Yes,23.7,ESE,1006.4,E,15.0,35.0,ESE,15.0
27.0,91.0,29.6,79.4,2013-03-29,,92.0,26.0,1003.7,8.0,Katherine,Yes,8.0,Yes,23.2,NE,1006.5,ENE,19.0,43.0,ENE,15.0
,96.0,25.8,63.4,2013-03-30,,,24.7,1003.9,,Katherine,Yes,8.0,Yes,24.0,E,1006.4,NE,15.0,28.0,NE,13.0
25.6,96.0,,23.6,2013-03-31,,98.0,25.2,1005.1,8.0,Katherine,Yes,8.0,Yes,24.1,E,1007.5,ENE,15.0,31.0,ENE,11.0
30.5,,30.4,96.4,2013-04-01,,66.0,,1008.8,8.0,Katherine,Yes,,No,,E,1011.2,E,11.0,31.0,E,11.0
31.5,86.0,33.6,0.0,2013-04-02,,55.0,26.1,1008.1,5.0,Katherine,No,8.0,Yes,22.5,E,1011.9,E,9.0,37.0,ENE,13.0
32.5,87.0,33.5,6.0,2013-04-03,3.4,52.0,26.5,1007.7,3.0,Katherine,Yes,8.0,No,24.1,ESE,1010.9,SE,7.0,28.0,ESE,15.0
34.0,64.0,34.3,0.0,2013-04-04,8.0,48.0,27.8,1007.0,3.0,Katherine,No,2.0,No,22.9,NE,1011.2,ESE,13.0,59.0,E,19.0
33.9,78.0,34.6,0.8,2013-04-05,6.8,48.0,28.2,1007.9,5.0,Katherine,No,1.0,No,23.6,ENE,1010.9,ENE,15.0,33.0,E,13.0
31.9,81.0,33.0,0.0,2013-04-06,6.0,60.0,27.0,1007.8,8.0,Katherine,No,8.0,No,23.9,SE,1011.6,ESE,17.0,39.0,ESE,19.0
32.5,78.0,34.4,0.0,2013-04-07,5.4,53.0,27.3,1007.5,6.0,Katherine,No,1.0,No,22.6,E,1010.3,ESE,17.0,39.0,ESE,19.0
33.3,74.0,34.3,0.0,2013-04-08,6.2,43.0,27.0,1008.2,3.0,Katherine,No,5.0,No,21.6,E,1011.0,ESE,11.0,46.0,E,24.0
34.6,81.0,35.2,0.0,2013-04-09,6.8,36.0,27.5,1007.9,3.0,Katherine,No,3.0,No,21.8,E,1011.7,SSE,15.0,35.0,ESE,17.0
33.9,53.0,34.3,0.0,2013-04-10,7.2,30.0,26.8,1006.5,1.0,Katherine,No,1.0,No,20.6,ESE,1009.8,SE,19.0,44.0,SE,19.0
33.1,44.0,33.8,0.0,2013-04-11,8.0,32.0,26.2,1006.5,1.0,Katherine,No,0.0,No,18.2,SSE,1009.7,SE,19.0,37.0,SE,20.0
32.8,62.0,33.4,0.0,2013-04-12,6.0,31.0,24.8,1008.2,2.0,Katherine,No,0.0,No,17.2,SSE,1011.5,SE,13.0,41.0,SSE,15.0
32.2,66.0,33.4,0.0,2013-04-13,8.0,36.0,23.8,1008.4,3.0,Katherine,No,2.0,No,16.3,ESE,1012.3,,0.0,31.0,SSE,17.0
34.1,69.0,34.8,0.0,2013-04-14,6.0,36.0,25.6,1007.2,3.0,Katherine,No,0.0,No,19.3,E,1011.2,S,2.0,26.0,SSE,9.0
35.0,71.0,35.4,0.0,2013-04-15,5.0,37.0,27.7,1005.7,2.0,Katherine,No,1.0,No,21.2,S,1009.4,NE,4.0,30.0,SE,9.0
35.6,76.0,36.0,0.0,2013-04-16,7.6,29.0,26.9,1006.8,2.0,Katherine,No,1.0,No,20.4,SSE,1010.6,NW,9.0,24.0,SSE,7.0
35.0,58.0,35.8,0.0,2013-04-17,4.0,,28.7,1008.1,3.0,Katherine,No,3.0,No,20.6,ENE,1011.3,NE,13.0,35.0,ESE,20.0
35.4,71.0,36.2,0.0,2013-04-18,8.0,,26.2,1008.1,1.0,Katherine,No,0.0,No,19.6,ENE,1011.7,E,6.0,39.0,E,22.0
,67.0,36.0,0.0,2013-04-19,6.0,,25.8,1009.6,,Katherine,No,0.0,No,18.2,E,1013.1,S,6.0,33.0,E,19.0
35.6,,36.3,0.0,2013-04-20,6.0,25.0,27.6,1009.2,1.0,Katherine,No,0.0,No,19.0,SE,1013.0,SE,6.0,33.0,ESE,17.0
36.0,58.0,36.4,0.0,2013-04-21,8.0,27.0,27.7,1008.3,2.0,Katherine,No,2.0,No,18.8,E,1012.8,,0.0,24.0,E,13.0
35.5,70.0,36.7,0.0,2013-04-22,6.0,,26.0,1008.2,1.0,Katherine,No,0.0,No,18.2,NW,1011.5,NNW,7.0,22.0,SW,6.0
35.8,72.0,36.3,0.0,2013-04-23,6.0,34.0,26.9,1008.7,1.0,Katherine,No,1.0,No,19.5,,1012.5,NNW,6.0,,SSE,9.0
34.0,63.0,35.1,0.0,2013-04-24,6.0,,26.8,1010.4,1.0,Katherine,No,0.0,No,17.8,ESE,1015.0,ENE,13.0,37.0,E,24.0
34.7,69.0,35.4,0.0,2013-04-25,8.0,32.0,26.5,1011.4,1.0,Katherine,No,0.0,No,18.8,SE,1014.7,ESE,13.0,41.0,ESE,20.0
33.5,42.0,33.9,0.0,2013-04-26,8.0,,25.5,1012.3,8.0,Katherine,No,0.0,No,16.4,ESE,1015.5,SE,17.0,43.0,ESE,19.0
33.3,53.0,33.9,0.0,2013-04-27,8.8,,23.1,1010.5,4.0,Katherine,No,1.0,No,14.8,SE,1014.6,SE,11.0,31.0,E,19.0
