WindSpeed3pm,Humidity9am,Cloud9am,Pressure3pm,WindGustDir,Humidity3pm,RainToday,RainTomorrow,Date,MinTempF,MaxTempF,Rainfall,WindSpeed9am,WindDir3pm,Temp9amF,Pressure9am,Location,Cloud3pm,WindDir9am,Temp3pmF,Evaporation,WindGustSpeed
28.0,53.0,,1000.7,WNW,61.0,Yes,Yes,2008-12-01,49.1,64.22,3.4,19.0,NW,55.22,1000.6,Launceston,,WNW,57.379999999999995,15.2,57.0
28.0,60.0,,1000.5,WNW,46.0,Yes,No,2008-12-02,48.92,64.94,4.0,24.0,NW,58.28,1001.4,Launceston,,NW,63.14,6.0,46.0
24.0,62.0,,1004.2,WSW,37.0,No,No,2008-12-03,48.379999999999995,65.12,1.0,17.0,WNW,56.66,1002.4,Launceston,,NW,61.7,5.8,50.0
19.0,56.0,,1014.6,NW,41.0,No,Yes,2008-12-04,35.96,66.92,0.0,7.0,NW,51.44,1017.8,Launceston,,N,64.58,6.8,39.0
11.0,91.0,,1004.2,NNW,89.0,Yes,No,2008-12-05,49.28,67.64,4.6,7.0,NNW,52.16,1008.7,Launceston,,SE,60.62,5.6,39.0
26.0,71.0,,1001.1,N,70.0,No,No,2008-12-06,51.08,66.74000000000001,1.0,24.0,NNW,60.980000000000004,1003.8,Launceston,,NNW,62.24,,54.0
17.0,59.0,,1005.3,W,37.0,No,No,2008-12-07,44.06,68.72,0.4,17.0,WNW,56.120000000000005,1005.5,Launceston,,NNW,66.38,,37.0
24.0,63.0,,1008.8,NW,52.0,No,No,2008-12-08,39.74,65.84,0.0,9.0,NNW,53.6,1011.8,Launceston,,NW,62.42,12.6,43.0
24.0,93.0,,1002.8,NNW,63.0,No,No,2008-12-09,51.26,63.5,0.8,13.0,N,54.68,1005.4,Launceston,,NNW,61.34,6.0,39.0
11.0,46.0,,1012.0,NNW,27.0,No,No,2008-12-10,41.0,67.46,0.0,15.0,NW,55.22,1013.3,Launceston,,SSE,65.48,3.6,37.0
19.0,63.0,,1014.9,NW,41.0,No,No,2008-12-11,44.6,71.24000000000001,0.0,7.0,NNW,58.459999999999994,1017.0,Launceston,,SE,69.8,6.2,37.0
19.0,55.0,,1008.7,SE,44.0,No,Yes,2008-12-12,46.94,73.04,0.0,7.0,NNE,62.059999999999995,1014.0,Launceston,,SE,71.96,7.0,65.0
39.0,85.0,,996.0,SSE,80.0,Yes,Yes,2008-12-13,58.82,59.72,13.6,22.0,SSE,59.540000000000006,997.7,Launceston,,SSE,58.1,,74.0
28.0,65.0,,1005.3,S,58.0,Yes,No,2008-12-14,54.86,65.48,15.0,30.0,SSE,58.82,1003.6,Launceston,,SSE,64.22,,56.0
28.0,67.0,,1005.3,NW,62.0,No,No,2008-12-15,41.9,67.64,0.0,4.0,NNW,54.68,1008.4,Launceston,,W,65.12,12.3,44.0
22.0,62.0,,1006.3,NNW,77.0,No,No,2008-12-16,52.52,67.64,0.0,15.0,NNW,62.24,1006.9,Launceston,,NNW,60.980000000000004,5.2,43.0
20.0,61.0,,1008.2,NNW,49.0,No,No,2008-12-17,43.16,68.72,0.2,11.0,NW,58.64,1010.5,Launceston,,ESE,66.74000000000001,5.2,33.0
20.0,58.0,,1001.3,NNW,51.0,No,Yes,2008-12-18,49.28,66.38,0.0,9.0,NW,58.28,1005.6,Launceston,,WNW,64.04,5.6,37.0
19.0,46.0,,1011.1,S,37.0,Yes,No,2008-12-19,50.18,69.8,2.0,30.0,S,56.66,1008.5,Launceston,,SSE,67.46,6.6,46.0
17.0,75.0,,1016.8,NNW,54.0,No,No,2008-12-20,43.879999999999995,72.68,0.0,9.0,NW,59.36,1018.9,Launceston,,NNW,71.24000000000001,,35.0
22.0,80.0,,1016.3,NW,51.0,No,No,2008-12-21,52.52,74.12,0.0,11.0,NW,60.62,1019.5,Launceston,,NW,72.14,,35.0
17.0,64.0,,1003.9,NW,62.0,No,No,2008-12-22,55.58,79.34,0.0,4.0,NW,65.66,1009.5,Launceston,,NE,70.52,18.6,46.0
11.0,63.0,,1008.6,N,24.0,No,No,2008-12-23,51.98,81.86,0.2,7.0,S,66.74000000000001,1009.2,Launceston,,SE,79.52,5.2,48.0
17.0,75.0,,1011.5,NW,52.0,No,Yes,2008-12-24,55.58,71.42,0.0,6.0,NW,59.0,1015.3,Launceston,,W,67.28,9.8,41.0
17.0,71.0,,1011.2,N,33.0,Yes,No,2008-12-25,54.14,75.74000000000001,1.2,7.0,N,59.540000000000006,1013.4,Launceston,,S,74.66,4.0,39.0
24.0,76.0,,1009.2,NW,67.0,No,No,2008-12-26,50.72,70.52,0.0,11.0,NW,59.72,1011.1,Launceston,,WNW,63.32,7.2,41.0
28.0,75.0,,999.6,NW,50.0,No,No,2008-12-27,48.92,77.54,0.2,6.0,NNW,59.72,1004.6,Launceston,,SE,75.56,,50.0
30.0,74.0,,996.0,NNW,81.0,No,No,2008-12-28,59.540000000000006,71.24000000000001,0.0,28.0,NNW,63.14,998.1,Launceston,,NNW,64.04,,52.0
26.0,52.0,,1000.6,WNW,47.0,No,Yes,2008-12-29,50.9,68.0,0.2,19.0,NNW,58.64,1001.1,Launceston,,NW,66.56,15.2,43.0
26.0,92.0,,991.5,NNW,45.0,Yes,No,2008-12-30,52.34,72.5,6.6,13.0,W,57.74,992.8,Launceston,,NNW,67.28,7.8,48.0
24.0,53.0,,996.6,WNW,37.0,No,No,2008-12-31,48.56,68.18,0.2,13.0,WNW,55.04,997.2,Launceston,,NW,65.12,7.4,44.0
24.0,48.0,,997.1,WNW,33.0,No,No,2009-01-01,54.68,67.28,0.0,20.0,WNW,60.8,994.3,Launceston,,WNW,65.3,6.2,54.0
19.0,51.0,,1012.7,S,36.0,No,No,2009-01-02,42.44,67.82,0.0,6.0,SSW,54.86,1010.7,Launceston,,SW,64.4,8.0,39.0
20.0,64.0,,1015.5,NNW,50.0,No,No,2009-01-03,41.9,68.54,0.0,2.0,NW,51.08,1018.6,Launceston,,ENE,65.3,,35.0
28.0,66.0,,1011.8,NW,51.0,No,No,2009-01-04,48.92,71.6,0.0,9.0,NNW,60.62,1015.2,Launceston,,WNW,69.44,,43.0
28.0,62.0,,1004.9,N,58.0,No,No,2009-01-05,54.5,70.7,0.0,22.0,N,60.980000000000004,1008.5,Launceston,,NNW,67.46,20.6,50.0
33.0,68.0,,1002.4,NNW,63.0,No,No,2009-01-06,60.8,74.84,0.0,28.0,NNW,66.74000000000001,1004.7,Launceston,,NNW,73.04,7.2,54.0
28.0,72.0,,1004.1,NNW,48.0,No,No,2009-01-07,50.54,71.78,0.0,17.0,NNW,59.18,1006.7,Launceston,,NNW,68.9,7.4,54.0
22.0,45.0,,1013.1,WSW,29.0,No,No,2009-01-08,47.3,70.88,0.0,17.0,WSW,56.84,1011.5,Launceston,,WSW,68.18,8.0,43.0
13.0,48.0,,1018.3,NW,38.0,No,No,2009-01-09,41.36,71.96,0.0,11.0,NNW,56.66,1021.0,Launceston,,SSE,68.36,8.0,33.0
22.0,69.0,,1011.2,N,48.0,No,No,2009-01-10,53.42,74.84,0.0,7.0,N,61.34,1015.0,Launceston,,NW,71.42,,39.0
24.0,81.0,,1007.3,WNW,36.0,No,No,2009-01-11,52.16,73.94,0.0,6.0,NW,60.8,1010.0,Launceston,,NNW,71.6,,44.0
20.0,67.0,,1015.3,NW,31.0,No,No,2009-01-12,51.08,78.8,0.0,11.0,NW,60.8,1015.8,Launceston,,NW,76.28,18.6,39.0
24.0,70.0,,1011.9,NW,58.0,No,No,2009-01-13,53.6,76.28,0.0,11.0,NW,63.14,1016.2,Launceston,,NW,71.96,8.0,43.0
26.0,67.0,,1003.4,NNW,38.0,No,No,2009-01-14,56.48,90.86,0.0,9.0,NW,70.88,1003.8,Launceston,,N,86.18,8.0,41.0
24.0,73.0,,1006.9,NNW,34.0,No,No,2009-01-15,59.9,75.2,0.0,15.0,WNW,63.14,1006.5,Launceston,,NW,73.04,10.8,56.0
26.0,47.0,,1009.4,W,36.0,No,No,2009-01-16,51.620000000000005,67.28,0.0,20.0,W,57.74,1006.7,Launceston,,WNW,66.2,9.2,54.0
22.0,56.0,,1019.6,N,40.0,No,No,2009-01-17,43.879999999999995,72.14,0.0,6.0,NNW,56.3,1021.7,Launceston,,WSW,67.46,,41.0
15.0,74.0,,1015.4,NNW,43.0,No,No,2009-01-18,48.02,77.72,0.0,9.0,NW,60.08,1018.5,Launceston,,NNW,77.72,,37.0
22.0,73.0,,1010.7,NW,39.0,No,No,2009-01-19,56.48,80.42,0.0,15.0,NNW,62.78,1013.8,Launceston,,NNW,79.52,23.8,33.0
22.0,65.0,,1002.3,NNW,30.0,No,No,2009-01-20,58.459999999999994,85.1,0.0,9.0,NNW,64.22,1006.4,Launceston,,ENE,84.38000000000001,5.6,50.0
24.0,68.0,,1005.4,NNW,44.0,No,No,2009-01-21,55.04,74.3,0.0,19.0,NNW,62.6,1008.3,Launceston,,NNW,72.86,9.6,46.0
37.0,71.0,,991.2,NNW,83.0,No,Yes,2009-01-22,57.379999999999995,78.8,0.0,20.0,NNW,65.3,993.6,Launceston,,NW,63.5,9.0,83.0
31.0,68.0,,1003.1,NNW,51.0,Yes,No,2009-01-23,51.08,68.36,7.2,13.0,NNW,58.82,1004.8,Launceston,,NNW,66.38,6.2,52.0
22.0,76.0,,1004.6,SW,40.0,No,No,2009-01-24,55.76,70.34,0.0,20.0,WNW,60.440000000000005,998.1,Launceston,,NW,68.0,,57.0
26.0,68.0,,1015.0,NNW,55.0,No,No,2009-01-25,49.1,70.7,0.0,15.0,NNW,57.74,1016.7,Launceston,,NNW,70.34,,44.0
7.0,76.0,,1019.8,N,28.0,No,No,2009-01-26,52.52,83.66,0.0,11.0,SW,62.42,1019.8,Launceston,,NNW,80.78,22.6,46.0
20.0,59.0,,1017.2,NW,48.0,No,No,2009-01-27,54.14,78.62,0.0,7.0,NW,64.4,1022.1,Launceston,,E,75.92,7.2,37.0
