WindDir9am,Rainfall,RainTomorrow,Date,WindSpeed9am,Pressure9am,Temp9amF,MaxTempF,RainToday,Humidity3pm,WindDir3pm,Sunshine,Temp3pmF,WindGustDir,Humidity9am,Evaporation,MinTempF,Cloud9am,Cloud3pm,Pressure3pm,Location,WindGustSpeed,WindSpeed3pm
W,2.0,No,2008-07-01,37.0,1006.8,51.8,59.72,Yes,38.0,W,7.0,58.28,W,60.0,2.8,49.1,1.0,7.0,1010.3,Melbourne,63.0,35.0
W,0.6,Yes,2008-07-02,30.0,1013.4,53.24,58.1,No,52.0,WSW,4.0,56.66,W,66.0,5.2,51.8,7.0,4.0,1016.2,Melbourne,63.0,35.0
W,1.4,No,2008-07-03,17.0,1024.8,51.08,57.379999999999995,Yes,58.0,W,0.8,57.02,W,72.0,2.0,47.120000000000005,7.0,7.0,1024.3,Melbourne,39.0,24.0
NNW,0.6,No,2008-07-04,9.0,1030.2,50.36,58.1,No,49.0,N,4.2,55.58,E,87.0,1.8,48.379999999999995,7.0,6.0,1029.0,Melbourne,19.0,7.0
N,0.0,No,2008-07-05,24.0,1028.9,41.9,59.9,No,52.0,NNE,8.4,58.28,N,81.0,0.8,39.74,2.0,5.0,1024.9,Melbourne,52.0,30.0
N,0.0,No,2008-07-06,31.0,1023.1,52.879999999999995,59.72,No,48.0,NNW,3.0,58.28,N,68.0,2.8,41.9,6.0,6.0,1020.1,Melbourne,74.0,44.0
N,0.0,Yes,2008-07-07,28.0,1016.3,53.96,57.74,No,63.0,N,1.0,55.94,NNE,73.0,3.0,52.7,8.0,7.0,1012.9,Melbourne,57.0,22.0
N,5.0,Yes,2008-07-08,13.0,1017.1,45.14,50.72,Yes,71.0,N,0.3,50.54,N,80.0,1.2,44.42,8.0,7.0,1017.0,Melbourne,37.0,11.0
N,1.2,Yes,2008-07-09,11.0,1023.1,39.56,58.64,Yes,61.0,WSW,6.5,55.58,N,95.0,0.4,38.48,1.0,7.0,1019.6,Melbourne,35.0,17.0
N,3.0,No,2008-07-10,15.0,1009.4,48.2,56.3,Yes,33.0,WNW,7.0,53.96,WNW,87.0,2.2,39.56,6.0,3.0,1006.7,Melbourne,69.0,46.0
W,0.2,No,2008-07-11,26.0,1016.3,48.56,56.3,No,56.0,WSW,5.6,55.4,WSW,71.0,1.8,45.32,3.0,6.0,1018.5,Melbourne,52.0,26.0
