Humidity3pm,WindGustDir,MaxTempF,Pressure9am,Date,WindDir3pm,Cloud3pm,Temp3pmF,WindSpeed9am,RainTomorrow,Rainfall,Pressure3pm,WindGustSpeed,Location,Sunshine,MinTempF,Evaporation,Cloud9am,Temp9amF,WindDir9am,Humidity9am,WindSpeed3pm,RainToday
37.0,SW,67.82,1005.1,2009-01-01,SW,7.0,64.58,33.0,Yes,0.0,1006.4,69.0,MelbourneAirport,8.8,52.16,5.6,7.0,60.62,W,55.0,43.0,No
43.0,SSE,64.04,1018.0,2009-01-02,SSE,7.0,60.440000000000005,31.0,No,1.2,1019.3,56.0,MelbourneAirport,12.9,46.04,7.2,6.0,54.5,SW,50.0,26.0,Yes
35.0,SSE,69.98,1020.8,2009-01-03,S,7.0,67.28,13.0,No,0.0,1017.6,31.0,MelbourneAirport,10.5,43.34,6.2,1.0,56.120000000000005,E,51.0,19.0,No
23.0,SSE,84.56,1016.2,2009-01-04,SSE,4.0,82.75999999999999,2.0,No,0.0,1012.8,35.0,MelbourneAirport,12.5,46.58,6.4,5.0,60.8,NE,67.0,20.0,No
31.0,SE,84.2,1011.9,2009-01-05,SSE,2.0,80.78,9.0,No,0.0,1010.3,33.0,MelbourneAirport,12.3,49.46,7.4,6.0,66.92,SW,51.0,20.0,No
34.0,SSE,89.06,1010.7,2009-01-06,S,1.0,85.64,11.0,No,0.0,1007.7,50.0,MelbourneAirport,13.7,56.3,7.2,0.0,70.34,NNE,50.0,28.0,No
67.0,S,70.52,1010.0,2009-01-07,SSE,7.0,67.82,17.0,No,0.2,1009.9,46.0,MelbourneAirport,4.4,60.440000000000005,8.8,8.0,60.8,SSW,98.0,28.0,No
42.0,SE,65.12,1017.4,2009-01-08,SSE,5.0,63.86,28.0,No,0.2,1018.9,56.0,MelbourneAirport,11.5,49.46,5.2,2.0,58.1,SSW,51.0,35.0,No
42.0,S,67.46,1021.4,2009-01-09,S,7.0,66.74000000000001,19.0,No,0.0,1018.0,43.0,MelbourneAirport,12.6,50.36,5.6,2.0,57.56,SSE,51.0,28.0,No
46.0,S,74.48,1013.8,2009-01-10,S,1.0,71.24000000000001,7.0,No,0.0,1010.3,43.0,MelbourneAirport,10.2,51.26,7.2,7.0,58.1,WSW,76.0,24.0,No
52.0,S,74.3,1012.0,2009-01-11,SSE,1.0,73.4,9.0,No,0.0,1009.7,41.0,MelbourneAirport,10.2,51.26,6.6,8.0,58.64,SW,77.0,17.0,No
47.0,SSE,77.18,1018.6,2009-01-12,SE,5.0,72.32,11.0,No,0.0,1017.4,26.0,MelbourneAirport,7.8,50.72,5.2,8.0,59.540000000000006,SSW,73.0,17.0,No
12.0,N,98.78,1013.8,2009-01-13,NNW,0.0,95.18,35.0,No,0.0,1010.0,52.0,MelbourneAirport,13.5,52.7,6.8,0.0,77.0,N,39.0,22.0,No
45.0,N,92.3,1007.5,2009-01-14,S,4.0,76.64,35.0,No,0.0,1009.4,57.0,MelbourneAirport,12.3,76.82,18.6,3.0,88.16,N,12.0,24.0,No
44.0,SW,73.58,1015.8,2009-01-15,SE,5.0,70.52,28.0,No,0.0,1014.5,44.0,MelbourneAirport,10.1,56.84,9.2,7.0,61.7,SW,56.0,22.0,No
