Date,WindDir9am,WindDir3pm,MaxTempF,MinTempF,WindGustSpeed,Humidity3pm,Rainfall,Pressure9am,Cloud9am,WindSpeed3pm,Sunshine,Cloud3pm,RainTomorrow,Pressure3pm,Location,Evaporation,Humidity9am,WindSpeed9am,Temp3pmF,Temp9amF,WindGustDir,RainToday
2009-01-01,SW,WSW,81.32,56.84,56.0,24.0,0.0,1009.8,6.0,31.0,12.6,1.0,No,1008.5,Mildura,9.6,51.0,17.0,78.8,66.56,SSW,No
2009-01-02,SSE,SSE,76.64,48.02,39.0,21.0,0.0,1019.8,0.0,15.0,13.3,,No,1017.7,Mildura,12.4,39.0,24.0,73.94,57.379999999999995,S,No
2009-01-03,E,SW,83.48,51.08,30.0,18.0,0.0,1019.2,0.0,9.0,13.6,1.0,No,1016.0,Mildura,9.2,39.0,20.0,80.78,62.6,ESE,No
2009-01-04,E,NW,94.1,55.76,26.0,9.0,0.0,1014.2,2.0,17.0,13.5,2.0,No,1012.1,Mildura,8.8,24.0,9.0,91.03999999999999,75.38,NNW,No
2009-01-05,SSE,WNW,99.14,61.7,37.0,7.0,0.0,1013.7,1.0,13.0,13.4,1.0,No,1010.8,Mildura,10.4,37.0,11.0,96.08000000000001,74.66,WSW,No
2009-01-06,SSE,W,102.56,60.26,37.0,6.0,0.0,1011.8,0.0,15.0,13.4,0.0,No,1007.7,Mildura,13.4,34.0,9.0,100.03999999999999,73.94,W,No
2009-01-07,SSW,SW,90.14,62.6,48.0,22.0,0.0,1010.0,3.0,26.0,13.1,1.0,No,1008.7,Mildura,12.6,67.0,11.0,88.7,67.82,WSW,No
2009-01-08,SSE,SSW,81.14,55.22,46.0,20.0,0.0,1018.3,0.0,17.0,12.5,1.0,No,1017.0,Mildura,13.6,50.0,24.0,76.46,60.980000000000004,SSE,No
2009-01-09,SE,ESE,82.04,54.14,35.0,14.0,0.0,1019.1,2.0,17.0,7.8,7.0,No,1014.8,Mildura,11.2,43.0,20.0,79.52,60.26,SE,No
2009-01-10,SSE,SE,89.96000000000001,54.86,52.0,11.0,0.0,1010.9,7.0,11.0,11.6,1.0,No,1008.0,Mildura,8.4,35.0,13.0,86.72,66.38,SW,No
2009-01-11,SW,SW,92.11999999999999,59.72,56.0,14.0,0.0,1010.0,7.0,17.0,11.8,1.0,No,1008.9,Mildura,11.6,53.0,11.0,89.6,65.3,WSW,No
2009-01-12,SSE,S,93.91999999999999,59.540000000000006,50.0,9.0,0.0,1016.6,0.0,20.0,13.3,0.0,No,1013.9,Mildura,12.4,40.0,17.0,91.4,67.46,SSE,No
2009-01-13,NE,N,104.72,63.86,35.0,9.0,0.0,1012.7,0.0,6.0,13.7,0.0,No,1009.4,Mildura,10.4,22.0,13.0,101.66,82.4,N,No
2009-01-14,N,WNW,108.32,72.14,41.0,7.0,0.0,1009.1,0.0,20.0,13.0,0.0,No,1007.6,Mildura,11.2,13.0,11.0,106.52,88.52,W,No
2009-01-15,S,SSW,85.46000000000001,61.519999999999996,52.0,23.0,0.0,1016.8,4.0,20.0,11.8,4.0,No,1015.8,Mildura,21.0,51.0,24.0,78.62,65.12,S,No
2009-01-16,S,SSW,85.64,55.04,48.0,21.0,0.0,1021.3,0.0,20.0,12.9,0.0,No,1018.3,Mildura,10.0,53.0,24.0,81.68,62.24,SSW,No
2009-01-17,SE,SSE,83.48,53.6,43.0,15.0,0.0,1022.8,1.0,20.0,13.1,3.0,No,1019.5,Mildura,12.0,45.0,17.0,78.25999999999999,59.9,SSE,No
2009-01-18,SE,SE,90.86,59.72,28.0,12.0,0.0,1019.0,7.0,13.0,11.7,6.0,No,1016.0,Mildura,10.2,30.0,15.0,86.0,67.28,SE,No
2009-01-19,NNE,N,102.2,62.959999999999994,26.0,8.0,0.0,1012.5,1.0,9.0,13.3,0.0,No,1008.8,Mildura,8.0,24.0,9.0,98.24,80.96,WNW,No
2009-01-20,NNE,NW,108.14,68.18,46.0,4.0,0.0,1007.1,0.0,20.0,12.9,5.0,No,1005.2,Mildura,11.8,19.0,9.0,106.34,83.66,NW,No
2009-01-21,SSE,WNW,98.06,66.56,54.0,18.0,0.0,1010.7,2.0,11.0,12.7,1.0,No,1007.0,Mildura,18.2,44.0,4.0,94.1,73.75999999999999,WNW,No
2009-01-22,NW,WNW,100.94,73.22,78.0,8.0,0.8,1002.8,7.0,31.0,10.3,2.0,No,1000.8,Mildura,10.4,63.0,28.0,98.78,81.68,W,No
2009-01-23,S,WNW,97.52,58.64,41.0,24.0,0.0,1008.3,0.0,15.0,12.8,0.0,No,1003.8,Mildura,18.4,41.0,13.0,91.94,67.46,WNW,No
2009-01-24,SSW,SSW,86.53999999999999,65.48,39.0,24.0,0.0,1011.5,7.0,13.0,12.2,3.0,No,1011.9,Mildura,11.6,53.0,22.0,80.78,67.82,SW,No
2009-01-25,SE,SSE,94.46000000000001,58.459999999999994,30.0,12.0,0.0,1017.3,0.0,9.0,13.4,0.0,No,1015.8,Mildura,10.6,36.0,11.0,90.32,67.64,ESE,No
2009-01-26,SE,ESE,100.4,63.86,35.0,9.0,0.0,1018.6,0.0,17.0,13.4,0.0,No,1016.1,Mildura,10.6,38.0,19.0,96.26,71.96,SE,No
2009-01-27,E,E,106.7,67.28,26.0,8.0,0.0,1014.9,1.0,11.0,12.3,3.0,No,1011.9,Mildura,12.0,28.0,15.0,104.0,78.62,SE,No
2009-01-28,N,NNW,110.66,77.54,50.0,14.0,0.0,1011.0,1.0,13.0,13.2,3.0,No,1008.4,Mildura,12.0,23.0,24.0,108.32,94.28,NNW,No
2009-01-29,N,N,109.03999999999999,78.08,44.0,11.0,0.0,1011.9,1.0,19.0,13.2,1.0,No,1009.7,Mildura,18.0,22.0,19.0,108.14,93.56,NNE,No
2009-01-30,N,SSW,109.94,76.64,35.0,12.0,0.0,1011.5,0.0,11.0,13.1,1.0,No,1008.7,Mildura,16.0,18.0,17.0,107.41999999999999,93.02,N,No
2009-01-31,N,NNE,111.38000000000001,80.06,33.0,9.0,0.0,1011.8,6.0,9.0,9.8,5.0,No,1009.2,Mildura,14.4,20.0,11.0,108.32,90.68,NNE,No
2009-02-01,ESE,NNW,109.22,76.28,33.0,11.0,0.0,1012.3,1.0,13.0,10.2,4.0,No,1009.3,Mildura,14.4,42.0,15.0,106.7,82.58,SSE,No
2009-02-02,S,S,108.68,76.28,24.0,13.0,0.0,1009.8,5.0,20.0,9.1,4.0,No,1007.0,Mildura,13.2,50.0,9.0,106.88000000000001,79.7,SSE,No
2009-02-03,SSE,SE,104.18,76.64,31.0,22.0,0.0,1009.5,1.0,11.0,12.1,1.0,No,1006.1,Mildura,15.6,46.0,17.0,100.76,81.5,SSW,No
2009-02-04,S,NW,105.61999999999999,72.5,35.0,13.0,0.0,1007.0,1.0,19.0,13.0,0.0,No,1003.7,Mildura,11.8,37.0,9.0,103.28,81.86,NNW,No
2009-02-05,SSW,S,105.98,68.18,44.0,12.0,0.0,1006.4,0.0,19.0,13.0,0.0,No,1004.5,Mildura,13.2,41.0,13.0,103.1,77.72,S,No
2009-02-06,ENE,NNW,109.58000000000001,72.5,33.0,12.0,0.0,1008.4,0.0,15.0,12.9,0.0,No,1005.2,Mildura,14.4,38.0,11.0,106.52,81.5,S,No
2009-02-07,NNE,NW,116.06,78.98,56.0,10.0,0.0,1004.4,0.0,31.0,11.7,2.0,No,1002.9,Mildura,13.2,11.0,24.0,114.98,97.52,NNW,No
2009-02-08,S,S,94.28,71.96,44.0,22.0,0.0,1011.0,1.0,17.0,12.4,1.0,No,1010.3,Mildura,20.4,44.0,19.0,92.3,73.94,SSW,No
2009-02-09,SSE,S,79.88,58.64,46.0,19.0,0.0,1016.7,1.0,24.0,12.2,3.0,No,1014.5,Mildura,14.8,49.0,30.0,75.38,61.34,SSE,No
2009-02-10,SSE,S,76.1,53.6,48.0,19.0,0.0,1018.7,1.0,24.0,12.8,1.0,No,1016.4,Mildura,11.8,49.0,22.0,71.96,57.92,SSE,No
