Wind.Speed.3.pm,Max.Temp.C,Humidity.3.pm,Rain.Tomorrow,Pressure.9.am,Date,Wind.Gust.Dir,Temp.9.am.C,Wind.Speed.9.am,Wind.Dir.9.am,Wind.Dir.3.pm,Rainfall,Sunshine,Min.Temp.C,Rain.Today,Wind.Gust.Speed,Location,Humidity.9.am,Pressure.3.pm,Cloud.9.am,Temp.3.pm.C,Evaporation,Cloud.3.pm
28.0,38.7,11.0,No,1005.5,2009-01-01,NW,28.9,15.0,N,WNW,0.0,9.3,16.4,No,54.0,Moree,27.0,1003.3,6.0,37.4,12.2,8.0
15.0,30.3,40.0,No,1009.5,2009-01-02,NNE,25.2,19.0,NNE,N,0.0,3.0,22.3,No,30.0,Moree,68.0,1009.0,6.0,29.4,11.2,7.0
22.0,33.3,31.0,No,1014.9,2009-01-03,ENE,24.5,22.0,ENE,ENE,0.0,11.7,21.2,No,46.0,Moree,57.0,1012.2,6.0,32.7,6.2,5.0
20.0,33.5,28.0,No,1016.9,2009-01-04,ENE,22.9,20.0,NE,ENE,0.0,13.3,16.4,No,39.0,Moree,51.0,1012.2,1.0,31.9,11.2,3.0
11.0,34.5,22.0,No,1015.1,2009-01-05,SE,24.2,19.0,ENE,S,0.0,13.4,19.2,No,35.0,Moree,44.0,1010.6,1.0,32.9,12.6,6.0
9.0,36.8,26.0,No,1013.6,2009-01-06,SSE,25.4,24.0,NNE,NE,0.0,12.4,21.3,No,33.0,Moree,54.0,1009.1,1.0,34.6,10.8,5.0
7.0,34.5,23.0,No,1012.7,2009-01-07,NNE,25.2,26.0,NNE,N,0.0,7.6,22.2,No,39.0,Moree,56.0,1008.5,7.0,32.5,10.0,7.0
9.0,36.4,31.0,No,1009.6,2009-01-08,ENE,26.3,24.0,NNE,ENE,0.0,7.7,23.7,No,46.0,Moree,46.0,1007.0,7.0,34.3,8.6,5.0
7.0,34.3,31.0,Yes,1011.2,2009-01-09,SSW,26.3,26.0,E,SE,0.0,6.8,20.4,No,69.0,Moree,53.0,1008.0,5.0,32.1,12.0,5.0
9.0,32.1,29.0,Yes,1012.0,2009-01-10,SW,21.1,,,N,9.2,9.6,16.0,Yes,76.0,Moree,51.0,1007.3,2.0,30.4,9.8,5.0
13.0,33.0,37.0,No,1011.2,2009-01-11,SW,22.5,24.0,NNE,NNE,3.4,11.8,18.2,Yes,76.0,Moree,56.0,1008.0,1.0,30.3,8.6,5.0
11.0,34.6,26.0,No,1013.3,2009-01-12,ENE,25.5,26.0,NNE,NE,0.0,9.8,21.5,No,41.0,Moree,55.0,1010.1,5.0,33.7,8.0,5.0
15.0,35.9,19.0,No,1016.3,2009-01-13,ENE,25.4,19.0,ENE,E,0.0,13.1,21.2,No,43.0,Moree,47.0,1012.3,1.0,34.3,10.4,3.0
11.0,35.0,24.0,No,1016.8,2009-01-14,NE,24.3,24.0,NE,NE,0.0,13.2,19.5,No,39.0,Moree,47.0,1012.7,1.0,33.0,13.4,1.0
11.0,36.1,24.0,No,1015.5,2009-01-15,NNE,24.4,30.0,NNE,NNE,0.0,13.2,20.5,No,43.0,Moree,48.0,1011.4,0.0,33.2,12.2,1.0
17.0,40.1,15.0,No,1011.5,2009-01-16,WSW,28.1,22.0,N,NW,0.0,12.9,21.1,No,48.0,Moree,32.0,1007.6,2.0,38.2,12.8,3.0
24.0,35.6,11.0,No,1011.7,2009-01-17,E,25.6,9.0,SSE,WSW,0.0,13.3,15.0,No,57.0,Moree,32.0,1009.4,0.0,34.2,16.8,1.0
11.0,33.3,36.0,No,1018.1,2009-01-18,ENE,22.4,24.0,NE,E,0.0,12.2,18.5,No,48.0,Moree,51.0,1014.4,5.0,30.7,13.8,4.0
17.0,31.6,35.0,No,1017.8,2009-01-19,NE,22.5,30.0,NE,N,0.0,3.7,19.7,No,52.0,Moree,52.0,1013.4,8.0,30.7,12.2,8.0
11.0,33.6,29.0,No,1016.6,2009-01-20,NNE,24.6,30.0,NNE,N,0.0,5.2,22.1,No,44.0,Moree,48.0,1012.7,7.0,32.2,10.4,6.0
11.0,32.5,36.0,Yes,1014.8,2009-01-21,SSW,25.1,28.0,NE,N,0.0,0.7,23.8,No,76.0,Moree,54.0,1011.7,8.0,31.3,8.8,8.0
31.0,24.5,95.0,Yes,1012.4,2009-01-22,NNE,21.1,26.0,NE,NNE,47.6,0.0,20.5,Yes,48.0,Moree,97.0,1009.3,8.0,22.5,9.2,8.0
9.0,32.1,54.0,No,1011.4,2009-01-23,NE,24.3,13.0,NNE,N,23.0,6.8,21.1,Yes,22.0,Moree,86.0,1008.7,7.0,31.2,1.6,5.0
11.0,35.5,47.0,No,1010.1,2009-01-24,NNE,27.0,15.0,N,WNW,0.0,10.9,23.2,No,28.0,Moree,79.0,1007.4,5.0,34.2,5.2,7.0
37.0,36.0,48.0,Yes,1011.1,2009-01-25,SW,28.8,13.0,NNE,NNE,0.0,9.0,24.4,No,57.0,Moree,68.0,1009.5,5.0,32.7,8.0,5.0
9.0,34.4,46.0,No,1015.7,2009-01-26,SE,27.0,22.0,NE,ESE,5.4,13.1,22.7,Yes,43.0,Moree,69.0,1012.8,2.0,33.3,7.2,5.0
13.0,33.4,38.0,No,1017.3,2009-01-27,ENE,26.7,20.0,E,E,0.0,13.2,21.3,No,44.0,Moree,53.0,1014.2,1.0,31.1,8.8,4.0
15.0,33.7,36.0,No,1016.2,2009-01-28,NE,25.9,13.0,ENE,ESE,0.0,13.1,20.3,No,41.0,Moree,58.0,1013.0,1.0,31.5,10.2,3.0
13.0,33.6,28.0,No,1016.9,2009-01-29,E,24.9,17.0,E,ENE,0.0,13.2,19.1,No,61.0,Moree,56.0,1013.1,0.0,32.4,10.0,1.0
20.0,33.6,33.0,No,1017.0,2009-01-30,NE,24.5,24.0,ENE,NNE,0.0,13.0,20.2,No,48.0,Moree,54.0,1012.7,0.0,31.5,10.0,4.0
17.0,33.7,28.0,No,1017.4,2009-01-31,E,25.1,19.0,ENE,E,0.0,13.0,19.6,No,44.0,Moree,59.0,1013.2,1.0,32.9,10.8,2.0
17.0,35.1,32.0,No,1015.0,2009-02-01,ENE,25.4,17.0,NE,ESE,0.0,11.8,19.5,No,48.0,Moree,56.0,1010.9,7.0,33.2,9.8,6.0
9.0,33.4,40.0,No,1012.9,2009-02-02,NE,26.5,22.0,E,NE,0.0,11.3,21.1,No,33.0,Moree,54.0,1008.9,7.0,31.4,12.6,7.0
15.0,34.7,32.0,No,1010.4,2009-02-03,ENE,24.8,17.0,NNE,ESE,0.0,11.4,20.4,No,52.0,Moree,57.0,1006.7,2.0,33.0,8.0,3.0
7.0,35.0,36.0,No,1008.9,2009-02-04,NNE,26.0,24.0,NE,ESE,0.0,12.3,20.3,No,37.0,Moree,61.0,1005.8,1.0,32.8,8.4,2.0
17.0,36.8,29.0,No,1008.9,2009-02-05,NNE,25.4,17.0,NNE,SSE,0.0,12.6,22.1,No,35.0,Moree,60.0,1005.5,0.0,34.3,9.6,1.0
13.0,37.4,22.0,No,1010.4,2009-02-06,NNE,25.9,17.0,N,SSE,0.0,12.3,22.8,No,33.0,Moree,63.0,1008.1,1.0,35.1,10.2,1.0
15.0,36.1,22.0,No,1014.4,2009-02-07,ENE,24.8,20.0,NE,ENE,0.0,12.8,19.7,No,44.0,Moree,55.0,1010.4,1.0,34.3,11.6,0.0
7.0,36.1,25.0,No,1012.4,2009-02-08,N,24.0,19.0,N,NE,0.0,12.9,19.8,No,30.0,Moree,63.0,1008.4,0.0,34.0,11.2,0.0
9.0,40.5,13.0,No,1008.9,2009-02-09,W,28.0,11.0,ENE,W,0.0,12.7,20.0,No,31.0,Moree,33.0,1005.4,0.0,38.2,10.6,1.0
22.0,37.6,24.0,Yes,1007.1,2009-02-10,N,29.5,28.0,NNE,NNW,0.0,1.9,27.3,No,59.0,Moree,42.0,1003.5,7.0,36.9,12.8,7.0
24.0,31.9,23.0,No,1006.1,2009-02-11,WSW,23.2,11.0,WSW,WSW,7.0,12.1,20.8,Yes,48.0,Moree,47.0,1005.1,1.0,30.8,9.8,0.0
11.0,33.4,22.0,No,1010.5,2009-02-12,NE,23.0,26.0,E,N,0.0,12.3,16.1,No,54.0,Moree,53.0,1007.6,1.0,32.1,10.2,7.0
39.0,25.5,57.0,Yes,1014.9,2009-02-13,E,22.3,30.0,E,E,0.0,3.8,19.4,No,69.0,Moree,59.0,1013.0,4.0,22.1,9.8,7.0
39.0,20.0,85.0,Yes,1011.9,2009-02-14,E,17.8,24.0,SE,ESE,29.2,0.4,16.6,Yes,56.0,Moree,93.0,1009.2,8.0,19.8,8.2,6.0
13.0,25.5,67.0,No,1007.8,2009-02-15,SE,18.0,15.0,E,WSW,51.4,3.8,16.9,Yes,37.0,Moree,93.0,1006.9,7.0,23.7,7.4,6.0
