Rainfall,Pressure9am,Cloud3pm,Humidity3pm,Sunshine,Temp9amC,MinTempC,WindSpeed3pm,Date,Temp3pmC,Cloud9am,WindDir9am,Humidity9am,Pressure3pm,MaxTempC,WindSpeed9am,WindDir3pm,RainToday,RainTomorrow,Evaporation,WindGustSpeed,WindGustDir,Location
4.0,1009.4,3.0,39.0,10.6,13.4,6.6,30.0,2008-12-01,17.8,3.0,WNW,73.0,1008.9,18.7,20.0,WNW,Yes,No,5.0,61.0,WNW,MountGambier
0.0,1009.8,8.0,49.0,3.6,14.4,8.9,31.0,2008-12-02,16.2,8.0,NW,74.0,1008.9,18.1,17.0,WNW,No,No,5.4,50.0,W,MountGambier
1.0,1011.9,6.0,47.0,12.0,13.6,10.1,24.0,2008-12-03,18.2,5.0,WSW,73.0,1013.9,19.3,20.0,SW,No,No,3.2,43.0,WSW,MountGambier
0.0,1014.8,8.0,39.0,1.6,13.7,5.9,26.0,2008-12-04,20.5,8.0,ENE,69.0,1009.5,21.2,17.0,NNE,No,Yes,4.4,50.0,NNE,MountGambier
12.8,1005.7,7.0,65.0,1.8,16.1,13.6,39.0,2008-12-05,18.7,8.0,NW,86.0,1006.9,19.3,24.0,WNW,Yes,No,3.8,63.0,WNW,MountGambier
0.6,1008.9,5.0,46.0,8.6,15.7,12.7,39.0,2008-12-06,18.5,7.0,NW,81.0,1008.7,19.6,26.0,W,No,No,2.4,57.0,W,MountGambier
0.0,1015.3,7.0,46.0,2.3,12.6,10.2,26.0,2008-12-07,16.4,7.0,WSW,65.0,1014.6,16.8,11.0,SSW,No,No,5.8,39.0,SW,MountGambier
0.0,1015.3,6.0,42.0,9.4,13.9,11.1,26.0,2008-12-08,20.4,7.0,WNW,51.0,1011.0,21.0,15.0,SSW,No,No,4.0,35.0,SSW,MountGambier
0.4,1006.9,7.0,91.0,3.9,11.1,6.9,15.0,2008-12-09,13.1,8.0,S,87.0,1007.8,16.5,22.0,N,No,Yes,3.4,33.0,SSE,MountGambier
4.2,1014.2,3.0,43.0,14.0,14.9,7.5,35.0,2008-12-10,19.3,4.0,SE,58.0,1012.2,19.9,20.0,SSE,Yes,No,2.0,50.0,SSE,MountGambier
0.0,1014.8,1.0,25.0,10.8,14.7,6.2,15.0,2008-12-11,24.7,1.0,ESE,56.0,1010.3,25.8,26.0,E,No,No,5.0,35.0,ESE,MountGambier
0.8,1005.2,8.0,93.0,0.0,15.2,13.6,22.0,2008-12-12,13.5,8.0,NNE,85.0,1000.3,15.4,7.0,E,No,Yes,6.8,59.0,SSE,MountGambier
78.8,1002.3,8.0,74.0,0.0,11.9,11.4,33.0,2008-12-13,13.6,8.0,S,86.0,1005.8,14.9,37.0,SSW,Yes,Yes,,63.0,SSE,MountGambier
