wind dir 9 am,rainfall,wind gust speed,max temp f,humidity 9 am,wind speed 3 pm,rain today,temp 3 pm f,wind speed 9 am,temp 9 am f,location,humidity 3 pm,date,min temp f,wind gust dir,wind dir 3 pm,rain tomorrow
,0.4,,55.4,,,No,,,,MountGinini,,2008-12-01,41.36,,,No
W,0.4,,59.0,66.0,24.0,No,57.56,26.0,44.78,MountGinini,51.0,2008-12-02,37.4,,WNW,No
W,0.0,,59.0,58.0,30.0,No,57.56,33.0,49.64,MountGinini,50.0,2008-12-03,42.8,,W,No
NNE,0.0,,59.0,82.0,15.0,No,56.120000000000005,11.0,44.42,MountGinini,52.0,2008-12-04,35.6,,N,Yes
,3.0,,64.04,,,Yes,,,,MountGinini,,2008-12-05,46.4,,,No
,0.4,,62.6,,30.0,No,58.64,,,MountGinini,45.0,2008-12-06,48.92,,W,No
WSW,0.0,,60.8,72.0,24.0,No,59.9,30.0,49.1,MountGinini,30.0,2008-12-07,42.8,,W,No
,0.0,,60.8,,22.0,No,57.56,,,MountGinini,45.0,2008-12-08,35.06,,W,No
W,0.0,,64.22,43.0,17.0,No,62.959999999999994,22.0,51.8,MountGinini,33.0,2008-12-09,42.8,,W,Yes
,2.0,,64.04,,13.0,Yes,59.0,,,MountGinini,64.0,2008-12-10,43.7,,NW,No
,0.6,,55.58,,,No,,,,MountGinini,,2008-12-11,42.08,,,Yes
,5.0,,57.2,,26.0,Yes,46.22,,,MountGinini,,2008-12-12,40.82,,ENE,Yes
WNW,46.0,,56.84,100.0,,Yes,,37.0,48.379999999999995,MountGinini,,2008-12-13,42.8,,,Yes
,9.0,,46.4,,24.0,Yes,41.9,,,MountGinini,100.0,2008-12-14,37.04,,WSW,No
S,0.0,,59.0,94.0,20.0,No,56.3,11.0,41.9,MountGinini,68.0,2008-12-15,33.8,,WSW,No
WSW,0.0,,59.0,61.0,22.0,No,54.68,20.0,46.94,MountGinini,70.0,2008-12-16,35.6,,WSW,No
W,0.0,,59.0,84.0,24.0,No,46.04,17.0,53.24,MountGinini,100.0,2008-12-17,44.6,,SW,Yes
,12.0,,57.2,,,Yes,,,,MountGinini,,2008-12-18,43.519999999999996,,,Yes
WSW,4.0,,53.24,89.0,19.0,Yes,50.0,20.0,40.64,MountGinini,58.0,2008-12-19,35.6,,WSW,No
,0.0,,55.4,,11.0,No,53.06,,,MountGinini,65.0,2008-12-20,30.2,,NE,No
ENE,0.0,,59.72,61.0,11.0,No,58.82,13.0,49.28,MountGinini,57.0,2008-12-21,37.4,,ENE,No
,0.0,,68.0,,19.0,No,64.4,,,MountGinini,56.0,2008-12-22,44.06,,WNW,No
NW,1.0,,66.2,100.0,17.0,No,59.72,28.0,51.8,MountGinini,100.0,2008-12-23,51.8,,WNW,No
NNE,0.4,,58.459999999999994,100.0,11.0,No,57.92,11.0,50.0,MountGinini,99.0,2008-12-24,46.4,,N,No
,0.0,,68.0,,17.0,No,66.38,,,MountGinini,42.0,2008-12-25,46.76,,W,No
W,0.2,,71.6,53.0,20.0,No,69.08,15.0,57.92,MountGinini,36.0,2008-12-26,51.8,,WNW,No
NNW,0.0,,64.4,72.0,17.0,No,54.5,24.0,59.540000000000006,MountGinini,100.0,2008-12-27,55.4,,WNW,Yes
W,11.0,,68.0,100.0,,Yes,,26.0,53.42,MountGinini,,2008-12-28,50.0,,,No
W,0.4,,62.6,74.0,,No,,20.0,55.94,MountGinini,,2008-12-29,50.0,,,No
W,0.0,,50.0,65.0,31.0,No,41.9,37.0,47.120000000000005,MountGinini,100.0,2008-12-30,41.0,,W,Yes
WSW,2.0,,57.2,78.0,22.0,Yes,55.58,20.0,42.980000000000004,MountGinini,53.0,2008-12-31,37.4,,W,No
W,0.0,,60.8,76.0,39.0,No,59.540000000000006,31.0,49.46,MountGinini,53.0,2009-01-01,41.0,,W,No
SW,0.0,,60.980000000000004,32.0,15.0,No,59.36,13.0,44.78,MountGinini,32.0,2009-01-02,33.8,,SW,No
,0.0,,64.4,,15.0,No,60.440000000000005,,,MountGinini,54.0,2009-01-03,35.6,,WNW,No
NW,0.0,,71.6,88.0,13.0,No,67.46,20.0,53.06,MountGinini,56.0,2009-01-04,39.2,,WNW,No
W,0.0,,71.6,29.0,20.0,No,70.16,24.0,60.26,MountGinini,30.0,2009-01-05,51.8,,W,No
W,0.0,,76.28,26.0,24.0,No,75.38,20.0,64.94,MountGinini,24.0,2009-01-06,57.2,,W,No
,0.0,,80.42,,26.0,No,80.42,,,MountGinini,26.0,2009-01-07,61.519999999999996,,WNW,No
,0.0,,69.8,,,No,,,,MountGinini,,2009-01-08,52.52,,,No
E,0.2,,57.2,99.0,17.0,No,55.22,15.0,39.56,MountGinini,59.0,2009-01-09,37.4,,ENE,No
ENE,0.0,,62.6,99.0,,No,,17.0,40.82,MountGinini,,2009-01-10,35.6,,,No
WNW,0.2,,68.0,83.0,22.0,No,65.48,11.0,54.68,MountGinini,54.0,2009-01-11,39.2,,WNW,Yes
WNW,7.0,,71.6,79.0,13.0,Yes,65.48,9.0,57.56,MountGinini,51.0,2009-01-12,48.2,,NW,No
NW,0.2,,75.2,87.0,20.0,No,72.68,20.0,59.9,MountGinini,48.0,2009-01-13,48.2,,WNW,No
WNW,0.0,,80.06,60.0,,No,,28.0,64.04,MountGinini,,2009-01-14,59.0,,,No
,0.0,,79.52,,20.0,No,78.8,,,MountGinini,36.0,2009-01-15,62.959999999999994,,WNW,No
,0.0,,66.2,,26.0,No,63.86,,,MountGinini,27.0,2009-01-16,46.4,,W,No
E,0.0,,62.6,46.0,,No,,17.0,43.34,MountGinini,,2009-01-17,37.4,,,No
WSW,0.0,,69.8,48.0,,No,,20.0,52.879999999999995,MountGinini,,2009-01-18,41.0,,,No
WNW,0.0,,72.68,50.0,,No,,15.0,58.64,MountGinini,,2009-01-19,48.2,,,No
,0.0,,77.0,,19.0,No,66.38,,,MountGinini,61.0,2009-01-20,56.48,,NW,Yes
WNW,15.0,,74.66,90.0,17.0,Yes,73.58,22.0,59.0,MountGinini,52.0,2009-01-21,53.6,,WNW,No
,1.0,,62.42,,33.0,No,56.84,,,MountGinini,100.0,2009-01-22,53.96,,NNW,Yes
,33.0,,68.0,,26.0,Yes,62.6,,,MountGinini,100.0,2009-01-23,54.32,,NNW,Yes
W,22.0,,66.2,100.0,20.0,Yes,62.78,31.0,54.86,MountGinini,61.0,2009-01-24,53.6,,W,No
W,0.2,,70.34,63.0,9.0,No,68.0,13.0,58.1,MountGinini,64.0,2009-01-25,44.6,,WSW,No
,0.0,,77.0,,11.0,No,73.94,,,MountGinini,55.0,2009-01-26,54.68,,N,No
NNW,0.0,,74.84,49.0,17.0,No,73.75999999999999,11.0,66.56,MountGinini,61.0,2009-01-27,50.0,,NW,No
,0.0,,77.36,,11.0,No,76.1,,,MountGinini,50.0,2009-01-28,59.0,,W,No
,0.0,,82.4,,6.0,No,80.24000000000001,,,MountGinini,33.0,2009-01-29,62.42,,E,No
W,0.0,,84.2,29.0,,No,,13.0,70.34,MountGinini,,2009-01-30,64.4,,,No
SW,0.0,,84.2,34.0,,No,,22.0,70.34,MountGinini,,2009-01-31,62.6,,,No
E,0.0,,77.0,22.0,17.0,No,76.64,19.0,69.98,MountGinini,36.0,2009-02-01,64.4,,ENE,No
NNW,0.0,,77.0,21.0,,No,,19.0,68.36,MountGinini,,2009-02-02,48.2,,,No
WSW,0.2,,80.06,60.0,24.0,No,70.16,13.0,64.58,MountGinini,72.0,2009-02-03,55.4,,ENE,Yes
,3.0,,73.94,,15.0,Yes,72.68,,,MountGinini,65.0,2009-02-04,51.620000000000005,,WNW,No
,0.0,,80.6,,,No,,,,MountGinini,,2009-02-05,60.08,,,No
NNW,0.0,,84.2,59.0,,No,,13.0,69.44,MountGinini,,2009-02-06,60.8,,,No
NNW,0.0,,84.02,55.0,,No,,26.0,69.98,MountGinini,,2009-02-07,62.6,,,No
,0.0,,84.2,,,No,,,,MountGinini,,2009-02-08,68.36,,,No
,0.0,,69.8,,15.0,No,68.0,,,MountGinini,73.0,2009-02-09,52.34,,NW,No
,0.0,,64.4,,11.0,No,57.2,,,MountGinini,71.0,2009-02-10,45.68,,N,No
ESE,0.2,,55.4,99.0,,No,,15.0,39.02,MountGinini,,2009-02-11,37.4,,,No
E,0.0,,42.8,99.0,,No,,19.0,39.02,MountGinini,,2009-02-12,37.4,,,Yes
E,3.0,,46.4,99.0,28.0,Yes,42.620000000000005,35.0,39.02,MountGinini,99.0,2009-02-13,33.8,,E,No
ESE,0.0,,53.6,99.0,19.0,No,50.54,19.0,38.660000000000004,MountGinini,75.0,2009-02-14,35.6,,E,No
E,0.4,,51.8,100.0,,No,,20.0,44.6,MountGinini,,2009-02-15,39.2,,,Yes
E,9.0,,50.72,100.0,,Yes,,35.0,43.879999999999995,MountGinini,,2009-02-16,41.0,,,No
,0.2,,55.4,,20.0,No,52.16,,,MountGinini,84.0,2009-02-17,38.48,,ENE,No
ESE,0.0,,62.6,100.0,,No,,19.0,46.22,MountGinini,,2009-02-18,41.0,,,No
W,0.0,,68.0,99.0,20.0,No,66.38,24.0,48.92,MountGinini,45.0,2009-02-19,46.4,,W,No
WNW,0.2,,69.8,48.0,19.0,No,66.74000000000001,11.0,60.980000000000004,MountGinini,49.0,2009-02-20,48.2,,WSW,No
N,0.0,,68.0,87.0,19.0,No,63.32,6.0,52.879999999999995,MountGinini,56.0,2009-02-21,48.2,,WNW,No
NE,0.2,,66.2,100.0,15.0,No,61.34,13.0,48.379999999999995,MountGinini,64.0,2009-02-22,44.6,,NW,No
NW,0.2,,67.1,99.0,24.0,No,63.68,24.0,54.86,MountGinini,65.0,2009-02-23,48.2,,W,No
,0.4,,69.8,,33.0,No,68.0,,,MountGinini,33.0,2009-02-24,49.46,,WNW,No
WSW,0.0,,72.14,20.0,19.0,No,70.88,22.0,55.4,MountGinini,16.0,2009-02-25,48.2,,SW,No
,0.0,,66.2,,11.0,No,63.86,,,MountGinini,47.0,2009-02-26,42.260000000000005,,ENE,No
SW,0.0,,69.8,66.0,20.0,No,69.44,11.0,56.120000000000005,MountGinini,36.0,2009-02-27,44.6,,SW,No
W,0.0,,75.2,56.0,24.0,No,73.94,17.0,58.64,MountGinini,34.0,2009-02-28,53.6,,W,No
NE,0.0,,68.0,99.0,15.0,No,65.84,15.0,48.74,MountGinini,48.0,2009-03-01,44.6,,NW,No
ENE,0.0,,66.2,99.0,11.0,No,63.5,19.0,47.84,MountGinini,59.0,2009-03-02,46.4,,N,No
N,0.2,,60.980000000000004,100.0,13.0,No,60.62,20.0,51.08,MountGinini,81.0,2009-03-03,48.2,,NNW,No
,0.8,,52.7,,22.0,No,51.8,,,MountGinini,45.0,2009-03-04,38.48,,W,No
,0.0,,51.98,,20.0,No,51.620000000000005,,,MountGinini,50.0,2009-03-05,33.44,,WSW,No
,0.0,,60.8,,13.0,No,58.82,,,MountGinini,51.0,2009-03-06,35.24,,W,No
WSW,0.0,,65.48,55.0,15.0,No,65.48,15.0,47.3,MountGinini,30.0,2009-03-07,41.0,,WSW,No
,0.0,,64.4,,13.0,No,62.959999999999994,,,MountGinini,56.0,2009-03-08,42.260000000000005,,N,No
NE,0.2,,63.86,100.0,15.0,No,60.08,13.0,46.94,MountGinini,76.0,2009-03-09,44.6,,N,No
,0.4,,66.2,,17.0,No,63.32,,,MountGinini,57.0,2009-03-10,46.4,,ENE,No
ENE,0.0,,59.72,100.0,,No,,28.0,45.68,MountGinini,,2009-03-11,42.8,,,No
,0.6,,68.0,,15.0,No,67.28,,,MountGinini,57.0,2009-03-12,46.04,,NW,No
W,0.2,,62.6,99.0,15.0,No,54.32,13.0,51.8,MountGinini,98.0,2009-03-13,48.2,,NNW,Yes
WNW,4.0,,55.4,100.0,19.0,Yes,55.22,19.0,51.26,MountGinini,100.0,2009-03-14,48.2,,WNW,Yes
W,9.0,,50.0,80.0,28.0,Yes,50.0,17.0,37.4,MountGinini,54.0,2009-03-15,35.6,,W,No
,0.0,,53.6,,,No,,,,MountGinini,,2009-03-16,33.44,,,No
SSW,0.0,,62.6,93.0,13.0,No,60.980000000000004,31.0,38.48,MountGinini,50.0,2009-03-17,33.8,,W,No
WNW,0.0,,66.2,77.0,,No,,20.0,48.2,MountGinini,,2009-03-18,39.2,,,No
W,0.0,,66.56,61.0,,No,,24.0,51.44,MountGinini,,2009-03-19,48.2,,,No
,0.0,,68.0,,15.0,No,67.1,,,MountGinini,27.0,2009-03-20,51.44,,ENE,No
NE,0.0,,69.8,31.0,13.0,No,63.68,6.0,59.36,MountGinini,35.0,2009-03-21,50.0,,E,No
WNW,0.0,,68.54,69.0,,No,,19.0,55.4,MountGinini,,2009-03-22,50.0,,,No
,0.0,,68.9,,19.0,No,66.92,,,MountGinini,46.0,2009-03-23,50.72,,WNW,No
