MinTempF,Location,MaxTempF,Temp3pmF,Temp9amF,WindDir3pm,Humidity9am,Cloud3pm,Rainfall,WindSpeed3pm,Cloud9am,WindSpeed9am,RainToday,Date,WindDir9am,RainTomorrow,Humidity3pm
55.76,Newcastle,,87.08000000000001,71.24000000000001,NW,50.0,4.0,0.0,19.0,3.0,6.0,No,2008-12-01,NW,No,24.0
,Newcastle,89.96000000000001,77.72,,NE,,0.0,0.0,19.0,,,No,2008-12-02,,No,59.0
61.16,Newcastle,89.96000000000001,89.6,71.96,SE,74.0,4.0,0.0,2.0,4.0,2.0,No,2008-12-03,N,No,26.0
66.56,Newcastle,75.2,73.4,68.72,SE,66.0,5.0,0.0,22.0,7.0,22.0,No,2008-12-04,SE,No,61.0
65.84,Newcastle,86.36,,68.0,,85.0,,0.0,,8.0,4.0,No,2008-12-05,NE,No,
67.64,Newcastle,93.56,89.24,84.56,NW,56.0,7.0,0.0,7.0,6.0,4.0,No,2008-12-06,NW,No,39.0
66.92,Newcastle,82.04,80.6,69.44,SE,91.0,4.0,0.0,6.0,8.0,0.0,No,2008-12-07,,No,39.0
,Newcastle,79.16,71.96,,NE,,7.0,0.0,22.0,,,No,2008-12-08,,No,71.0
60.08,Newcastle,84.91999999999999,82.75999999999999,70.16,NW,78.0,3.0,0.0,19.0,1.0,4.0,No,2008-12-09,NE,No,53.0
66.56,Newcastle,79.52,,78.44,,63.0,,0.0,,0.0,22.0,No,2008-12-10,SE,No,
66.92,Newcastle,70.52,68.0,67.28,SE,83.0,8.0,0.0,9.0,8.0,2.0,No,2008-12-11,NE,No,72.0
64.4,Newcastle,72.32,65.84,65.84,NE,87.0,8.0,0.4,9.0,8.0,4.0,No,2008-12-12,NE,Yes,96.0
64.75999999999999,Newcastle,88.88000000000001,83.84,71.96,NW,95.0,7.0,29.8,50.0,8.0,0.0,Yes,2008-12-13,,No,51.0
64.75999999999999,Newcastle,80.96,77.72,71.6,NW,55.0,3.0,1.0,46.0,3.0,19.0,No,2008-12-14,SW,No,39.0
61.88,Newcastle,73.04,71.24000000000001,68.72,SE,42.0,1.0,0.0,28.0,4.0,9.0,No,2008-12-15,S,No,49.0
52.879999999999995,Newcastle,80.6,78.8,65.84,NE,72.0,1.0,0.0,4.0,0.0,0.0,No,2008-12-16,,No,51.0
57.92,Newcastle,84.2,82.75999999999999,73.75999999999999,SE,51.0,1.0,0.0,7.0,2.0,0.0,No,2008-12-17,,No,44.0
63.68,Newcastle,93.2,87.8,68.0,SE,91.0,7.0,0.0,56.0,2.0,4.0,No,2008-12-18,SE,Yes,34.0
64.4,Newcastle,79.88,73.4,72.32,SE,71.0,2.0,1.2,46.0,1.0,0.0,Yes,2008-12-19,,No,98.0
63.68,Newcastle,70.88,69.44,66.92,SE,96.0,5.0,0.0,9.0,6.0,19.0,No,2008-12-20,S,No,96.0
54.68,Newcastle,75.56,74.48,68.0,SE,96.0,2.0,0.0,19.0,3.0,4.0,No,2008-12-21,SE,No,98.0
59.36,Newcastle,79.52,77.72,69.08,NE,100.0,1.0,0.0,19.0,1.0,7.0,No,2008-12-22,NE,No,49.0
60.8,Newcastle,87.8,84.2,70.88,,62.0,8.0,0.0,0.0,6.0,4.0,No,2008-12-23,NW,Yes,42.0
65.84,Newcastle,,69.8,68.36,SE,81.0,8.0,2.0,9.0,8.0,9.0,Yes,2008-12-24,SE,No,73.0
,Newcastle,78.08,,,,,,0.0,,,,No,2008-12-25,,No,
66.56,Newcastle,84.91999999999999,84.2,71.24000000000001,SE,87.0,1.0,0.0,11.0,6.0,4.0,No,2008-12-26,NE,No,63.0
66.56,Newcastle,87.08000000000001,86.72,74.12,NE,88.0,8.0,0.0,19.0,8.0,4.0,No,2008-12-27,NE,No,51.0
65.48,Newcastle,88.16,,74.84,,74.0,,0.0,,1.0,4.0,No,2008-12-28,NW,No,
68.36,Newcastle,83.84,70.88,82.4,SW,57.0,6.0,0.0,19.0,7.0,2.0,No,2008-12-29,NW,Yes,80.0
66.56,Newcastle,92.11999999999999,87.44,71.6,NW,77.0,4.0,10.6,7.0,5.0,0.0,Yes,2008-12-30,,No,36.0
59.72,Newcastle,92.11999999999999,89.96000000000001,74.84,NW,50.0,0.0,0.0,15.0,0.0,0.0,No,2008-12-31,,No,23.0
59.36,Newcastle,91.03999999999999,82.4,73.04,NW,71.0,6.0,0.0,9.0,1.0,4.0,No,2009-01-01,N,No,47.0
66.56,Newcastle,78.08,76.64,70.16,SE,65.0,1.0,0.0,11.0,4.0,0.0,No,2009-01-02,,No,52.0
61.519999999999996,Newcastle,72.68,71.96,67.28,NE,64.0,8.0,0.8,4.0,8.0,4.0,No,2009-01-03,SE,No,60.0
64.04,Newcastle,83.84,80.6,70.88,SE,67.0,0.0,0.0,37.0,0.0,4.0,No,2009-01-04,NE,No,53.0
62.24,Newcastle,96.8,93.91999999999999,71.96,SE,69.0,2.0,0.0,4.0,1.0,7.0,No,2009-01-05,NE,No,40.0
67.28,Newcastle,89.24,80.24000000000001,82.4,SE,55.0,1.0,0.0,4.0,0.0,4.0,No,2009-01-06,SE,No,65.0
70.16,Newcastle,94.64,87.08000000000001,75.56,,77.0,8.0,0.0,0.0,2.0,0.0,No,2009-01-07,,No,57.0
70.16,Newcastle,74.84,70.88,72.32,SE,74.0,8.0,0.0,15.0,8.0,11.0,No,2009-01-08,SE,Yes,77.0
62.24,Newcastle,72.68,71.96,66.2,SE,61.0,6.0,2.4,28.0,8.0,19.0,Yes,2009-01-09,SE,No,48.0
59.72,Newcastle,77.72,75.92,70.88,N,58.0,5.0,0.2,28.0,7.0,7.0,No,2009-01-10,SE,No,45.0
63.32,Newcastle,81.68,72.68,72.68,SE,59.0,1.0,0.0,46.0,1.0,6.0,No,2009-01-11,NE,No,74.0
65.12,Newcastle,82.75999999999999,81.68,74.12,SE,70.0,1.0,0.0,19.0,0.0,0.0,No,2009-01-12,,No,46.0
66.56,Newcastle,83.12,81.68,76.28,SE,65.0,5.0,0.0,28.0,2.0,4.0,No,2009-01-13,NE,No,56.0
65.48,Newcastle,95.36,93.91999999999999,73.4,NE,74.0,0.0,0.0,22.0,0.0,4.0,No,2009-01-14,NE,No,35.0
66.2,Newcastle,105.08000000000001,104.36,79.88,NW,54.0,1.0,0.0,7.0,0.0,4.0,No,2009-01-15,N,Yes,17.0
67.28,Newcastle,80.6,78.44,69.08,SE,80.0,1.0,6.6,7.0,8.0,4.0,Yes,2009-01-16,NE,Yes,60.0
63.32,Newcastle,71.6,68.0,66.2,SE,61.0,7.0,1.6,22.0,7.0,19.0,Yes,2009-01-17,SE,No,53.0
53.96,Newcastle,77.0,74.84,67.28,SE,69.0,1.0,0.0,11.0,1.0,0.0,No,2009-01-18,,No,47.0
59.72,Newcastle,83.48,80.24000000000001,69.08,SE,66.0,6.0,0.0,19.0,5.0,4.0,No,2009-01-19,NE,No,48.0
59.9,Newcastle,95.0,91.76,72.32,NW,69.0,2.0,0.0,4.0,0.0,4.0,No,2009-01-20,NW,No,35.0
71.6,Newcastle,100.76,100.03999999999999,79.52,NW,63.0,6.0,0.0,28.0,5.0,0.0,No,2009-01-21,,No,26.0
71.96,Newcastle,83.84,79.88,77.72,NW,72.0,8.0,0.0,19.0,8.0,4.0,No,2009-01-22,NE,Yes,71.0
71.24000000000001,Newcastle,95.72,92.48,82.4,NE,63.0,5.0,2.0,11.0,1.0,4.0,Yes,2009-01-23,NW,No,46.0
74.48,Newcastle,104.0,100.76,87.08000000000001,NW,53.0,6.0,0.0,9.0,0.0,9.0,No,2009-01-24,NW,Yes,35.0
65.84,Newcastle,75.2,73.75999999999999,70.52,SE,65.0,8.0,2.4,22.0,8.0,11.0,Yes,2009-01-25,SE,No,65.0
66.56,Newcastle,79.52,77.72,69.08,SE,92.0,8.0,0.0,9.0,8.0,0.0,No,2009-01-26,,No,81.0
69.08,Newcastle,84.2,81.32,75.92,SE,83.0,6.0,0.0,28.0,7.0,7.0,No,2009-01-27,NE,No,70.0
