WindGustSpeed,Pressure9am,Temp3pmF,WindGustDir,MaxTempF,MinTempF,Humidity3pm,Date,RainTomorrow,RainToday,Temp9amF,WindDir3pm,Humidity9am,Rainfall,WindSpeed3pm,WindDir9am,Pressure3pm,Location,WindSpeed9am
63.0,1005.3,78.62,SSW,82.58,64.22,69.0,2009-01-01,No,No,74.66,NE,69.0,0.0,24.0,NW,1001.7,NorahHead,9.0
69.0,1012.5,73.4,S,74.84,66.38,62.0,2009-01-02,No,No,72.68,SE,62.0,0.0,28.0,SSE,1012.8,NorahHead,15.0
52.0,1021.1,71.78,NNE,73.4,62.78,62.0,2009-01-03,No,No,68.0,NE,61.0,0.0,19.0,E,1019.1,NorahHead,19.0
61.0,1018.4,74.66,NE,77.0,67.46,68.0,2009-01-04,No,No,73.04,NE,70.0,0.0,46.0,NNE,1015.2,NorahHead,39.0
48.0,1013.4,74.66,NNE,78.62,65.3,73.0,2009-01-05,No,No,73.04,NE,73.0,0.0,35.0,NNE,1009.0,NorahHead,20.0
43.0,1011.8,75.74000000000001,N,79.7,67.64,80.0,2009-01-06,No,No,68.18,NE,92.0,0.0,20.0,S,1008.7,NorahHead,28.0
44.0,1010.1,74.66,S,81.86,68.0,82.0,2009-01-07,No,No,71.42,NNE,85.0,0.0,15.0,S,1006.3,NorahHead,24.0
57.0,1011.3,69.08,SSE,72.14,68.72,81.0,2009-01-08,Yes,No,69.8,SSE,86.0,0.0,41.0,S,1012.3,NorahHead,35.0
59.0,1019.0,69.62,SSE,73.04,63.5,59.0,2009-01-09,No,Yes,66.74000000000001,SE,64.0,2.8,30.0,SSE,1018.3,NorahHead,43.0
50.0,1016.8,74.12,NE,78.08,65.12,51.0,2009-01-10,No,No,69.62,ENE,62.0,0.0,22.0,NNE,1013.8,NorahHead,19.0
43.0,1013.8,75.2,NE,81.14,67.28,66.0,2009-01-11,No,No,73.4,ENE,69.0,0.0,30.0,NNE,1011.6,NorahHead,19.0
31.0,1015.2,,ENE,79.16,66.2,,2009-01-12,No,No,71.78,,84.0,1.0,,SSW,,NorahHead,13.0
