humidity_9_am,min_temp_f,wind_speed_9_am,max_temp_f,wind_dir_9_am,cloud_9_am,wind_dir_3_pm,wind_gust_speed,rain_tomorrow,pressure_9_am,pressure_3_pm,rain_today,wind_gust_dir,rainfall,wind_speed_3_pm,location,humidity_3_pm,sunshine,temp_9_am_f,cloud_3_pm,date,temp_3_pm_f,evaporation
66.0,55.94,22.0,72.86,SW,7.0,W,61.0,No,1010.4,1011.4,No,WSW,0.0,28.0,Nuriootpa,37.0,12.2,62.059999999999995,2.0,2009-01-01,69.98,
47.0,44.6,20.0,72.32,ESE,3.0,ESE,41.0,No,1020.1,1017.8,No,SE,0.0,17.0,Nuriootpa,25.0,12.8,56.66,2.0,2009-01-02,69.44,8.0
35.0,50.9,19.0,84.02,ENE,4.0,ESE,41.0,No,1018.0,1014.5,No,SE,0.0,7.0,Nuriootpa,13.0,12.9,62.24,5.0,2009-01-03,79.52,8.0
23.0,49.64,15.0,91.58000000000001,ENE,6.0,WNW,37.0,No,1014.1,1011.8,No,WSW,0.0,22.0,Nuriootpa,7.0,11.7,74.3,5.0,2009-01-04,91.03999999999999,8.0
26.0,54.5,9.0,90.68,ESE,0.0,W,35.0,No,1015.0,1012.4,No,W,0.0,17.0,Nuriootpa,12.0,13.3,71.6,1.0,2009-01-05,87.8,11.2
23.0,53.78,7.0,92.84,NE,0.0,WSW,50.0,No,1012.1,1008.9,No,SW,0.0,22.0,Nuriootpa,14.0,13.7,75.74000000000001,0.0,2009-01-06,90.5,10.0
,53.06,11.0,78.8,SW,4.0,SW,43.0,No,1012.7,1012.4,No,WSW,0.0,17.0,Nuriootpa,44.0,11.8,64.75999999999999,3.0,2009-01-07,76.46,11.6
49.0,48.2,17.0,73.94,SSE,4.0,SSE,43.0,No,1019.3,1018.4,No,SE,0.0,20.0,Nuriootpa,29.0,13.2,60.8,6.0,2009-01-08,71.24000000000001,8.0
43.0,49.64,22.0,76.82,E,7.0,ENE,46.0,No,1018.6,1014.7,No,SE,0.0,13.0,Nuriootpa,22.0,8.7,57.74,7.0,2009-01-09,72.14,9.0
43.0,53.6,13.0,84.91999999999999,ESE,1.0,NNE,41.0,No,1012.1,1008.9,No,SSE,0.0,9.0,Nuriootpa,15.0,13.1,65.12,,2009-01-10,82.04,7.6
61.0,52.16,11.0,82.94,SE,2.0,SW,52.0,No,1012.1,1010.3,No,SE,0.0,20.0,Nuriootpa,20.0,12.2,63.32,1.0,2009-01-11,81.68,7.6
47.0,55.4,20.0,90.32,E,1.0,N,44.0,No,1016.9,1014.1,No,SE,0.0,7.0,Nuriootpa,19.0,13.2,66.2,0.0,2009-01-12,86.0,8.8
11.0,64.22,20.0,104.53999999999999,N,0.0,NW,48.0,No,1011.3,1008.2,No,NNW,0.0,33.0,Nuriootpa,4.0,13.7,87.8,0.0,2009-01-13,101.66,10.6
