Humidity_3_pm,Humidity_9_am,Pressure_3_pm,Cloud_3_pm,Max_Temp_C,Rainfall,Wind_Dir_9_am,Sunshine,Wind_Dir_3_pm,Wind_Speed_9_am,Date,Temp_3_pm_C,Pressure_9_am,Temp_9_am_C,Wind_Gust_Speed,Location,Rain_Tomorrow,Cloud_9_am,Rain_Today,Min_Temp_C,Wind_Gust_Dir,Wind_Speed_3_pm
20.0,46.0,1007.2,,38.4,0.0,ESE,13.1,SE,22.0,2009-01-01,35.6,1010.4,23.1,50.0,PearceRAAF,No,,No,18.8,E,13.0
23.0,38.0,1007.4,,39.1,0.0,NW,13.2,SW,4.0,2009-01-02,36.0,1008.3,27.1,52.0,PearceRAAF,No,,No,22.0,E,31.0
29.0,58.0,1010.2,,35.6,0.0,S,12.7,SSW,13.0,2009-01-03,34.8,1012.1,24.0,,PearceRAAF,No,,No,15.9,,28.0
19.0,45.0,1012.6,,37.0,0.0,SE,13.3,ESE,24.0,2009-01-04,35.2,1016.6,22.7,43.0,PearceRAAF,No,,No,,SE,20.0
15.0,35.0,1010.1,,38.6,0.0,ESE,13.2,SSE,15.0,2009-01-05,37.3,1014.1,26.8,59.0,PearceRAAF,No,,No,21.8,E,15.0
20.0,50.0,1009.1,,38.0,0.0,SE,13.2,SSE,24.0,2009-01-06,37.1,1013.5,24.9,43.0,PearceRAAF,No,,No,19.9,SSW,20.0
23.0,49.0,1010.5,,36.6,0.0,E,13.2,ESE,26.0,2009-01-07,34.3,1013.8,23.2,69.0,PearceRAAF,No,,No,18.8,E,22.0
22.0,49.0,1010.7,,38.1,0.0,ESE,13.2,S,19.0,2009-01-08,36.6,1014.1,23.9,44.0,PearceRAAF,No,,No,19.6,SE,26.0
23.0,49.0,1010.8,,38.3,0.0,SE,13.3,SSW,11.0,2009-01-09,37.3,1015.0,24.1,,PearceRAAF,No,,No,19.4,,22.0
22.0,41.0,1009.7,,37.4,0.0,SE,13.1,SSW,17.0,2009-01-10,35.9,1012.7,26.0,50.0,PearceRAAF,No,,No,,SSE,30.0
12.0,31.0,1004.9,,40.6,0.0,ENE,13.1,WSW,31.0,2009-01-11,39.0,1008.6,26.6,61.0,PearceRAAF,No,,No,19.8,E,13.0
49.0,64.0,1008.6,5.0,28.8,0.0,SSW,11.3,SW,11.0,2009-01-12,27.2,1007.3,22.1,59.0,PearceRAAF,No,0.0,No,13.3,SSW,31.0
27.0,50.0,1014.5,1.0,27.8,0.0,S,11.2,S,11.0,2009-01-13,26.5,1017.4,19.8,48.0,PearceRAAF,No,2.0,No,9.1,SSW,17.0
19.0,49.0,1013.7,3.0,32.7,0.0,SE,10.2,SE,15.0,2009-01-14,31.9,1016.8,21.0,41.0,PearceRAAF,No,3.0,No,12.0,W,13.0
15.0,41.0,1011.5,0.0,39.5,0.0,E,13.1,E,31.0,2009-01-15,37.8,1015.4,23.2,,PearceRAAF,No,0.0,No,,,17.0
23.0,13.0,1010.0,0.0,43.7,0.0,NE,13.1,WNW,24.0,2009-01-16,34.4,1010.5,32.8,,PearceRAAF,No,0.0,No,23.2,,15.0
28.0,59.0,1013.4,,33.7,0.0,S,7.2,SSW,11.0,2009-01-17,33.2,1015.1,21.9,44.0,PearceRAAF,No,,No,17.0,SSE,19.0
31.0,48.0,1011.5,,33.2,0.0,S,4.8,SSW,11.0,2009-01-18,31.4,1015.3,23.1,59.0,PearceRAAF,No,,No,21.7,ESE,20.0
35.0,60.0,1013.3,1.0,30.8,0.0,S,13.2,SSE,20.0,2009-01-19,28.4,1016.0,20.2,72.0,PearceRAAF,No,1.0,No,16.8,ESE,13.0
24.0,50.0,1014.2,1.0,31.8,0.0,ESE,13.0,SSW,24.0,2009-01-20,31.2,1018.0,18.8,46.0,PearceRAAF,No,0.0,No,15.7,SW,20.0
34.0,68.0,1012.4,2.0,30.3,0.0,S,13.0,WSW,17.0,2009-01-21,28.4,1015.7,19.4,52.0,PearceRAAF,No,0.0,No,13.6,S,28.0
41.0,75.0,1011.1,0.0,30.6,0.0,S,11.1,SW,17.0,2009-01-22,29.7,1013.4,20.4,46.0,PearceRAAF,No,8.0,No,17.1,SW,22.0
45.0,71.0,1011.1,1.0,29.8,0.0,SSE,10.7,SSW,17.0,2009-01-23,28.8,1013.6,21.3,39.0,PearceRAAF,No,8.0,No,19.5,SW,24.0
