Date,Humidity_3_pm,Max_Temp_C,Wind_Speed_9_am,Min_Temp_C,Humidity_9_am,Wind_Dir_9_am,Rain_Today,Rain_Tomorrow,Wind_Gust_Speed,Temp_3_pm_C,Wind_Gust_Dir,Wind_Dir_3_pm,Temp_9_am_C,Wind_Speed_3_pm,Rainfall,Location
2008-12-01,23.0,32.6,13.0,15.2,35.0,NNE,No,No,59.0,31.3,WNW,W,24.4,22.0,0.0,Penrith
2008-12-02,38.0,31.7,13.0,15.0,64.0,NNE,No,No,28.0,30.1,ENE,N,20.4,15.0,0.0,Penrith
2008-12-03,16.0,33.4,9.0,15.9,63.0,N,No,No,52.0,31.4,NW,NW,21.0,30.0,0.0,Penrith
2008-12-04,55.0,24.8,9.0,17.2,71.0,SSE,No,No,35.0,22.7,E,E,19.5,19.0,0.0,Penrith
2008-12-05,48.0,32.2,7.0,17.8,97.0,NE,No,No,28.0,29.6,ENE,ENE,19.8,15.0,0.0,Penrith
2008-12-06,26.0,36.2,7.0,18.1,75.0,NW,No,No,46.0,35.7,W,W,25.9,24.0,0.2,Penrith
2008-12-07,89.0,27.8,4.0,19.3,99.0,NE,No,Yes,50.0,21.7,S,SE,20.3,24.0,0.0,Penrith
2008-12-08,99.0,26.9,6.0,17.2,84.0,W,Yes,Yes,37.0,19.6,NNE,NNE,20.5,11.0,12.0,Penrith
2008-12-09,21.0,33.0,7.0,15.9,89.0,NNE,Yes,No,35.0,32.2,NNW,WNW,20.0,15.0,4.8,Penrith
2008-12-10,,,15.0,19.5,60.0,SSE,No,,,,,,23.5,,0.0,Penrith
2008-12-11,84.0,18.7,13.0,,100.0,S,,Yes,31.0,18.6,ESE,ESE,17.4,11.0,,Penrith
2008-12-12,,21.1,7.0,15.5,100.0,E,Yes,Yes,17.0,16.7,SSW,SSW,15.8,9.0,6.8,Penrith
2008-12-13,35.0,32.7,9.0,15.8,100.0,NNW,Yes,No,76.0,32.0,NW,WNW,21.1,31.0,42.2,Penrith
2008-12-14,37.0,25.5,26.0,19.1,42.0,W,No,No,61.0,23.3,WSW,WSW,21.8,30.0,0.0,Penrith
2008-12-15,34.0,27.3,19.0,15.1,42.0,SSW,No,No,43.0,25.8,S,SE,20.0,9.0,0.0,Penrith
2008-12-16,32.0,30.5,2.0,12.9,70.0,SSE,No,No,24.0,29.2,E,E,18.4,13.0,0.0,Penrith
2008-12-17,30.0,31.6,4.0,14.8,69.0,N,No,No,50.0,30.4,SE,N,21.9,13.0,0.0,Penrith
2008-12-18,26.0,33.5,7.0,18.6,60.0,NNE,No,No,56.0,32.1,NW,NW,23.3,30.0,0.0,Penrith
2008-12-19,27.0,28.5,6.0,15.8,44.0,SE,No,No,54.0,28.0,SE,SE,23.0,20.0,0.0,Penrith
2008-12-20,55.0,24.1,19.0,14.2,52.0,S,No,No,39.0,20.6,SSE,SE,18.3,20.0,0.0,Penrith
2008-12-21,40.0,25.8,6.0,10.7,66.0,SSW,No,No,30.0,24.1,ENE,E,18.6,13.0,0.0,Penrith
2008-12-22,33.0,30.1,7.0,13.3,72.0,N,No,No,33.0,29.0,ENE,NE,19.5,17.0,0.0,Penrith
2008-12-23,47.0,29.4,17.0,16.3,82.0,S,No,No,35.0,29.4,SE,ESE,21.2,7.0,0.0,Penrith
2008-12-24,99.0,19.9,9.0,18.3,86.0,SSE,No,No,24.0,19.1,S,WSW,18.9,7.0,0.0,Penrith
2008-12-25,56.0,27.8,7.0,17.6,99.0,NNE,No,No,33.0,26.4,NE,NNE,19.0,15.0,0.6,Penrith
2008-12-26,35.0,34.7,6.0,19.0,81.0,NW,No,No,37.0,32.7,E,NE,23.0,22.0,0.0,Penrith
2008-12-27,48.0,33.0,4.0,18.9,93.0,NW,No,Yes,59.0,30.2,W,NNE,23.7,28.0,0.0,Penrith
2008-12-28,34.0,34.9,7.0,17.2,79.0,E,Yes,No,35.0,33.2,NE,NNE,23.1,13.0,1.8,Penrith
2008-12-29,68.0,29.3,7.0,18.9,79.0,S,No,Yes,35.0,24.3,ESE,ESE,25.0,19.0,0.0,Penrith
2008-12-30,21.0,32.9,11.0,17.5,99.0,NNW,Yes,No,57.0,31.6,WNW,W,19.9,28.0,1.4,Penrith
2008-12-31,13.0,33.2,26.0,17.8,31.0,W,No,No,46.0,32.6,WNW,WNW,25.7,24.0,0.2,Penrith
2009-01-01,17.0,35.4,9.0,14.8,65.0,NNE,No,No,59.0,34.4,NW,WNW,21.9,28.0,0.0,Penrith
2009-01-02,50.0,28.5,7.0,16.9,65.0,SE,No,No,43.0,23.5,SE,SE,20.4,28.0,0.0,Penrith
2009-01-03,51.0,23.2,7.0,14.1,60.0,SSW,No,No,28.0,22.6,ENE,NNE,18.1,11.0,0.0,Penrith
2009-01-04,43.0,31.7,11.0,18.1,74.0,NW,No,No,39.0,29.6,NE,NNE,21.2,17.0,0.0,Penrith
2009-01-05,20.0,39.3,6.0,17.5,71.0,SSE,No,No,48.0,39.0,NW,W,23.6,26.0,0.0,Penrith
2009-01-06,9.0,41.6,6.0,16.5,71.0,NNW,No,No,46.0,40.0,NW,NE,24.2,11.0,0.0,Penrith
2009-01-07,22.0,40.2,7.0,18.7,76.0,N,No,,,39.5,,WNW,24.3,26.0,0.0,Penrith
2009-01-08,99.0,22.6,11.0,20.4,82.0,S,,Yes,35.0,19.3,SE,SE,21.6,24.0,,Penrith
2009-01-09,45.0,21.8,19.0,15.3,71.0,S,Yes,No,30.0,21.3,E,ENE,18.1,11.0,1.4,Penrith
2009-01-10,39.0,26.8,4.0,14.3,58.0,SSE,No,No,35.0,25.4,NE,E,18.7,13.0,0.0,Penrith
2009-01-11,37.0,30.9,6.0,14.3,61.0,NE,No,Yes,37.0,29.8,ENE,E,21.4,13.0,0.0,Penrith
2009-01-12,55.0,29.9,6.0,17.4,100.0,NNW,Yes,No,37.0,27.3,SE,SE,20.2,24.0,8.4,Penrith
2009-01-13,39.0,32.9,7.0,19.9,89.0,ENE,No,No,37.0,31.1,NNW,NE,22.1,15.0,0.0,Penrith
2009-01-14,19.0,40.0,6.0,18.1,70.0,SE,No,No,37.0,39.6,NE,NE,24.0,13.0,0.0,Penrith
2009-01-15,17.0,43.3,6.0,20.3,49.0,S,No,No,54.0,42.2,SE,W,28.4,22.0,0.0,Penrith
2009-01-16,30.0,37.2,2.0,17.1,55.0,SE,No,No,54.0,32.4,SSE,NNE,21.5,9.0,1.0,Penrith
2009-01-17,42.0,23.2,11.0,16.6,62.0,S,No,No,31.0,21.7,ESE,ENE,17.9,13.0,0.2,Penrith
2009-01-18,30.0,29.3,4.0,12.9,56.0,NNE,No,No,35.0,28.3,ENE,ENE,19.5,9.0,0.0,Penrith
2009-01-19,23.0,33.6,7.0,13.8,65.0,N,No,No,39.0,32.5,ENE,NE,19.8,17.0,0.0,Penrith
2009-01-20,18.0,39.5,6.0,17.1,59.0,SSE,No,No,44.0,39.2,NE,NW,23.8,17.0,0.0,Penrith
2009-01-21,25.0,39.8,9.0,22.8,64.0,N,No,Yes,57.0,37.5,S,WNW,26.0,9.0,0.0,Penrith
2009-01-22,41.0,33.5,17.0,21.7,67.0,N,Yes,No,54.0,32.2,N,N,26.4,35.0,2.2,Penrith
2009-01-23,35.0,36.8,6.0,22.2,61.0,SE,No,No,43.0,36.6,NNE,ENE,28.8,20.0,0.2,Penrith
2009-01-24,14.0,42.1,2.0,23.1,61.0,NNW,No,No,67.0,40.4,WNW,W,29.1,35.0,0.0,Penrith
2009-01-25,38.0,29.4,9.0,19.7,59.0,SSE,No,No,31.0,28.1,SSE,SE,21.4,13.0,0.0,Penrith
2009-01-26,53.0,31.4,7.0,20.7,64.0,S,No,Yes,39.0,29.6,SE,ESE,23.0,17.0,0.0,Penrith
2009-01-27,66.0,29.5,13.0,19.7,98.0,SSW,Yes,No,35.0,27.0,ENE,SSE,20.4,7.0,5.6,Penrith
2009-01-28,38.0,35.8,4.0,18.6,94.0,NE,No,No,31.0,33.5,ENE,NE,20.9,15.0,0.2,Penrith
2009-01-29,21.0,36.0,4.0,18.6,72.0,WNW,No,No,37.0,34.6,ESE,NNE,24.4,15.0,0.0,Penrith
2009-01-30,29.0,35.4,9.0,19.8,70.0,SSE,No,No,33.0,34.2,E,NNE,24.0,13.0,0.0,Penrith
2009-01-31,28.0,38.6,7.0,18.9,68.0,SE,No,No,33.0,37.5,ENE,SE,24.3,17.0,0.0,Penrith
2009-02-01,46.0,33.0,15.0,20.5,70.0,SSE,No,No,37.0,31.2,SE,SE,25.5,22.0,0.0,Penrith
2009-02-02,36.0,35.4,4.0,21.2,71.0,NE,No,No,39.0,34.1,ENE,NE,25.4,13.0,0.0,Penrith
2009-02-03,34.0,34.8,9.0,21.8,68.0,SSE,No,No,39.0,32.6,SE,ESE,24.7,28.0,0.2,Penrith
2009-02-04,41.0,33.4,7.0,22.3,70.0,E,No,No,37.0,32.3,N,NE,25.5,9.0,0.0,Penrith
2009-02-05,27.0,39.5,7.0,21.0,74.0,SE,No,No,31.0,38.5,NE,ENE,25.3,13.0,0.0,Penrith
2009-02-06,21.0,41.4,9.0,22.8,68.0,SE,No,No,37.0,40.0,NE,ENE,26.8,19.0,0.0,Penrith
2009-02-07,17.0,42.3,4.0,22.3,54.0,SE,No,No,46.0,40.7,NE,NE,27.1,28.0,0.0,Penrith
2009-02-08,19.0,42.5,7.0,19.8,49.0,SE,No,No,41.0,40.6,SSE,NNE,25.6,7.0,0.0,Penrith
2009-02-09,70.0,23.6,17.0,22.2,80.0,S,No,Yes,31.0,23.0,S,ESE,22.4,11.0,0.0,Penrith
2009-02-10,96.0,20.2,9.0,17.4,93.0,S,Yes,Yes,22.0,19.3,S,SSE,18.5,7.0,3.2,Penrith
2009-02-11,68.0,22.0,15.0,16.2,80.0,SSW,Yes,Yes,33.0,20.9,S,SW,17.4,17.0,6.6,Penrith
2009-02-12,60.0,21.3,17.0,15.9,76.0,SSW,Yes,No,39.0,20.9,ESE,SSE,18.0,19.0,1.6,Penrith
2009-02-13,72.0,19.8,7.0,15.6,86.0,SSW,No,Yes,48.0,19.1,WSW,SE,16.6,26.0,0.8,Penrith
2009-02-14,97.0,18.2,19.0,15.1,94.0,SSW,Yes,Yes,30.0,17.5,SSW,S,15.8,13.0,28.0,Penrith
2009-02-15,90.0,20.8,15.0,15.8,89.0,SSW,Yes,Yes,35.0,20.5,SE,SSW,18.1,13.0,32.8,Penrith
2009-02-16,63.0,23.7,15.0,16.5,94.0,SSW,Yes,Yes,54.0,22.9,SSE,SSE,18.4,26.0,34.6,Penrith
2009-02-17,62.0,22.4,9.0,17.2,93.0,SSW,Yes,Yes,33.0,21.4,SE,SSE,18.8,17.0,3.8,Penrith
2009-02-18,60.0,27.5,20.0,17.7,80.0,SW,Yes,No,35.0,25.0,SW,SW,20.9,13.0,10.8,Penrith
2009-02-19,71.0,29.0,11.0,18.6,77.0,NNW,No,No,39.0,25.5,SSE,N,22.6,17.0,0.0,Penrith
2009-02-20,44.0,32.6,6.0,19.7,78.0,N,No,No,39.0,31.1,SSE,E,22.0,7.0,0.4,Penrith
2009-02-21,86.0,27.2,9.0,21.1,97.0,SSW,No,Yes,31.0,22.0,SE,ESE,21.5,17.0,0.0,Penrith
