pressure.9.am,location,temp.9.am.c,rainfall,pressure.3.pm,humidity.3.pm,evaporation,min.temp.c,wind.dir.3.pm,wind.speed.9.am,wind.dir.9.am,rain.today,cloud.3.pm,temp.3.pm.c,cloud.9.am,rain.tomorrow,humidity.9.am,sunshine,wind.speed.3.pm,wind.gust.dir,wind.gust.speed,max.temp.c,date
1027.6,Perth,8.5,0.0,1024.5,53.0,0.8,2.7,E,0.0,,No,3.0,18.1,2.0,No,97.0,9.1,7.0,ENE,20.0,18.8,2008-07-01
1024.1,Perth,11.1,0.0,1019.0,39.0,1.8,6.4,ENE,6.0,ESE,No,6.0,19.7,0.0,No,80.0,7.0,9.0,NE,22.0,20.7,2008-07-02
1016.8,Perth,12.1,0.4,1015.6,71.0,2.2,6.5,WNW,0.0,,No,3.0,17.7,1.0,Yes,84.0,7.3,4.0,NE,31.0,19.9,2008-07-03
1019.3,Perth,13.2,1.8,1018.4,73.0,1.2,9.5,NNW,11.0,NNE,Yes,6.0,17.7,6.0,Yes,93.0,4.7,6.0,W,26.0,19.2,2008-07-04
1020.4,Perth,15.9,1.8,1022.1,57.0,1.4,9.5,SW,13.0,W,Yes,5.0,16.0,7.0,Yes,69.0,4.9,17.0,WSW,44.0,16.4,2008-07-05
1032.0,Perth,6.9,6.8,1029.6,41.0,2.4,0.7,NE,4.0,ENE,Yes,1.0,15.5,0.0,No,86.0,9.3,7.0,NNE,24.0,15.9,2008-07-06
1028.9,Perth,8.7,0.0,1024.2,36.0,0.8,0.7,NNE,15.0,NE,No,5.0,17.9,1.0,No,72.0,9.3,13.0,N,37.0,18.3,2008-07-07
1023.9,Perth,10.2,0.0,1021.1,42.0,1.4,3.2,N,9.0,NE,No,5.0,19.3,6.0,Yes,58.0,6.9,13.0,NNW,24.0,20.4,2008-07-08
1026.4,Perth,12.1,8.0,1024.9,64.0,1.2,9.8,ESE,0.0,,Yes,6.0,18.7,7.0,Yes,97.0,2.5,9.0,ESE,31.0,19.5,2008-07-09
1020.2,Perth,13.4,4.6,1014.0,50.0,2.8,11.2,NNE,19.0,NE,Yes,7.0,19.0,7.0,Yes,79.0,1.7,11.0,NNW,46.0,20.4,2008-07-10
1014.7,Perth,15.4,2.6,1015.2,77.0,2.6,13.4,SW,26.0,SW,Yes,7.0,14.8,4.0,Yes,63.0,4.2,13.0,SW,54.0,17.1,2008-07-11
1019.0,Perth,9.6,4.4,1018.7,59.0,2.2,7.9,SSW,7.0,N,Yes,7.0,16.2,6.0,No,99.0,5.4,9.0,SSW,19.0,17.3,2008-07-12
1025.1,Perth,9.5,0.2,1024.1,63.0,1.0,5.3,W,7.0,NE,No,6.0,17.2,7.0,No,96.0,2.3,7.0,N,17.0,18.8,2008-07-13
1026.0,Perth,11.7,0.0,1021.9,41.0,0.2,7.9,N,11.0,NE,No,5.0,18.7,6.0,No,86.0,6.5,15.0,NE,31.0,19.7,2008-07-14
1010.4,Perth,15.8,0.0,1008.1,90.0,2.2,9.0,W,22.0,N,No,8.0,14.9,5.0,Yes,62.0,0.8,15.0,NNE,43.0,17.1,2008-07-15
1013.8,Perth,13.2,24.0,1014.8,54.0,1.8,10.2,WSW,19.0,SW,Yes,3.0,15.9,6.0,Yes,76.0,6.7,13.0,SW,44.0,17.1,2008-07-16
1015.1,Perth,10.5,2.6,1010.1,75.0,1.2,6.7,NNW,9.0,NE,Yes,7.0,14.4,2.0,Yes,87.0,3.9,9.0,WSW,46.0,16.9,2008-07-17
1002.3,Perth,16.8,20.6,1002.2,50.0,2.0,10.4,W,22.0,NW,Yes,6.0,13.9,5.0,Yes,57.0,3.2,30.0,NW,76.0,17.9,2008-07-18
1022.9,Perth,8.0,15.2,1023.1,49.0,1.8,3.3,S,0.0,,Yes,1.0,13.9,1.0,No,95.0,9.4,17.0,SSE,37.0,14.3,2008-07-19
1030.1,Perth,7.5,0.0,1028.5,52.0,1.8,1.2,SSE,7.0,NE,No,6.0,15.6,1.0,No,97.0,7.8,6.0,NE,20.0,17.0,2008-07-20
1031.1,Perth,9.1,0.0,1027.4,49.0,1.2,3.1,E,2.0,NE,No,5.0,16.6,6.0,No,94.0,4.7,6.0,NNE,28.0,17.1,2008-07-21
1024.8,Perth,8.9,0.0,1020.2,40.0,1.2,3.3,N,11.0,NE,No,7.0,17.9,7.0,No,80.0,7.5,15.0,NE,37.0,18.9,2008-07-22
1013.6,Perth,14.9,0.0,1013.2,97.0,2.8,8.9,NNW,15.0,N,No,8.0,14.9,7.0,Yes,68.0,0.0,7.0,N,43.0,17.4,2008-07-23
1018.0,Perth,15.6,19.2,1017.6,57.0,3.8,9.3,WSW,7.0,WNW,Yes,4.0,17.4,3.0,No,65.0,8.3,15.0,W,33.0,18.3,2008-07-24
1017.7,Perth,12.1,0.0,1014.1,88.0,2.6,7.4,SW,7.0,E,No,8.0,14.0,7.0,Yes,84.0,1.9,19.0,NE,28.0,17.0,2008-07-25
1017.8,Perth,9.0,12.6,1015.2,50.0,1.8,7.8,N,4.0,E,Yes,2.0,19.2,1.0,Yes,99.0,9.4,2.0,SE,52.0,19.3,2008-07-26
1009.7,Perth,13.4,4.0,1007.9,87.0,2.0,9.0,W,11.0,NE,Yes,7.0,18.3,8.0,Yes,94.0,1.3,11.0,NNE,39.0,20.8,2008-07-27
1008.2,Perth,14.6,5.4,1007.5,81.0,1.6,11.8,W,11.0,N,Yes,7.0,14.7,7.0,Yes,97.0,2.2,15.0,WSW,44.0,15.9,2008-07-28
1012.3,Perth,12.5,11.6,1008.4,86.0,2.0,9.7,WNW,7.0,NNE,Yes,7.0,15.3,5.0,Yes,93.0,3.7,11.0,WNW,39.0,18.0,2008-07-29
1005.1,Perth,14.4,30.6,1005.5,45.0,3.2,12.4,W,19.0,W,Yes,6.0,15.0,4.0,Yes,61.0,5.7,24.0,WSW,54.0,16.2,2008-07-30
1015.2,Perth,9.1,3.0,1017.0,76.0,4.2,6.7,SSW,4.0,NNE,Yes,6.0,13.2,2.0,Yes,97.0,0.0,9.0,SW,37.0,14.1,2008-07-31
1021.6,Perth,11.8,7.8,1018.3,86.0,1.0,7.8,N,11.0,NNE,Yes,7.0,15.0,7.0,Yes,82.0,2.0,11.0,N,30.0,18.1,2008-08-01
1017.3,Perth,14.7,18.2,1018.0,51.0,0.6,11.2,SSW,22.0,SW,Yes,3.0,15.6,1.0,No,57.0,8.2,20.0,SW,46.0,17.5,2008-08-02
1027.5,Perth,11.2,0.2,1026.5,50.0,2.6,4.7,S,6.0,NNE,No,3.0,16.4,3.0,No,70.0,9.7,15.0,S,24.0,17.1,2008-08-03
1033.2,Perth,9.7,0.0,1030.5,39.0,2.0,2.1,NE,6.0,ENE,No,1.0,19.2,1.0,No,78.0,9.8,6.0,NE,22.0,19.4,2008-08-04
1034.0,Perth,9.6,0.0,1030.5,40.0,2.6,2.2,SE,7.0,ENE,No,1.0,18.9,1.0,No,84.0,10.0,7.0,NE,20.0,20.3,2008-08-05
1030.7,Perth,10.7,0.0,1026.4,,2.2,2.3,WSW,0.0,,No,5.0,19.1,5.0,No,74.0,9.9,13.0,WSW,22.0,20.7,2008-08-06
1029.1,Perth,11.7,0.0,1027.6,58.0,2.2,4.3,ESE,11.0,SE,No,5.0,16.7,5.0,No,,3.9,9.0,ESE,24.0,17.3,2008-08-07
1031.7,Perth,11.4,0.0,1028.3,41.0,2.0,7.0,ENE,11.0,E,No,2.0,17.3,1.0,No,64.0,10.0,13.0,ENE,31.0,17.6,2008-08-08
1030.0,Perth,11.6,0.0,1026.4,42.0,4.2,8.1,E,17.0,E,No,3.0,17.7,1.0,No,63.0,9.9,15.0,ESE,46.0,18.0,2008-08-09
1028.6,Perth,12.6,0.0,1024.7,41.0,4.4,9.1,ENE,13.0,ENE,No,2.0,18.5,6.0,No,52.0,9.2,19.0,NNE,39.0,18.7,2008-08-10
1026.9,Perth,11.0,0.0,1023.5,33.0,4.2,7.6,SE,9.0,E,No,1.0,20.3,6.0,No,57.0,9.0,9.0,E,30.0,20.4,2008-08-11
1030.4,Perth,11.7,0.0,1027.9,34.0,4.0,4.9,ESE,11.0,E,No,5.0,16.9,3.0,No,57.0,7.2,15.0,SE,28.0,17.5,2008-08-12
1031.8,Perth,12.2,0.0,1028.7,27.0,3.0,5.8,E,7.0,E,No,1.0,18.9,1.0,No,59.0,9.9,11.0,NNE,31.0,19.7,2008-08-13
1030.1,Perth,13.3,0.0,1026.4,25.0,3.4,3.3,ENE,13.0,NE,No,1.0,20.3,0.0,No,49.0,10.0,13.0,NE,33.0,21.3,2008-08-14
1028.1,Perth,11.9,0.0,1025.1,21.0,4.4,3.3,SW,11.0,NE,No,2.0,22.2,6.0,No,53.0,10.2,9.0,NNW,30.0,23.1,2008-08-15
1029.5,Perth,14.9,0.0,1027.6,17.0,2.4,3.1,NW,13.0,NE,No,4.0,23.6,0.0,No,39.0,10.5,9.0,NNE,30.0,23.9,2008-08-16
1032.5,Perth,14.7,0.0,1029.9,21.0,3.4,2.5,WSW,15.0,NE,No,1.0,22.9,0.0,No,41.0,10.5,7.0,N,28.0,24.2,2008-08-17
1029.5,Perth,13.2,0.0,1025.8,11.0,3.8,1.8,WNW,13.0,NNE,No,3.0,22.1,0.0,No,44.0,10.4,17.0,NNW,39.0,22.5,2008-08-18
1025.9,Perth,11.7,0.0,1024.4,75.0,4.0,5.5,SSE,4.0,SSE,No,7.0,17.0,7.0,No,77.0,0.2,11.0,SE,30.0,18.2,2008-08-19
1034.0,Perth,10.9,0.2,1031.9,38.0,1.0,6.9,SE,19.0,SE,No,4.0,16.6,1.0,No,,10.2,19.0,E,37.0,17.4,2008-08-20
1038.0,Perth,12.3,0.0,1034.3,35.0,4.6,8.5,ESE,15.0,E,No,1.0,17.0,7.0,No,55.0,10.2,15.0,ESE,43.0,17.6,2008-08-21
1034.8,Perth,11.5,0.0,1029.3,33.0,3.0,5.5,ENE,7.0,E,No,2.0,18.7,2.0,No,58.0,10.5,17.0,NE,41.0,19.1,2008-08-22
1026.6,Perth,13.3,0.0,1021.8,28.0,4.4,3.4,NE,19.0,NE,No,1.0,21.0,1.0,No,44.0,10.5,9.0,NE,31.0,21.4,2008-08-23
1018.8,Perth,12.8,0.0,1016.6,55.0,3.4,3.8,SW,0.0,,No,7.0,18.6,7.0,No,51.0,6.0,9.0,SW,22.0,21.3,2008-08-24
1022.4,Perth,12.8,0.0,1020.8,59.0,1.6,5.0,SSW,6.0,E,No,4.0,18.8,3.0,No,79.0,10.3,15.0,SSW,30.0,20.1,2008-08-25
1024.8,Perth,12.1,0.0,1019.5,42.0,3.2,6.8,ESE,11.0,E,No,0.0,20.6,1.0,No,67.0,10.4,11.0,E,22.0,21.2,2008-08-26
1017.3,Perth,16.0,0.0,1013.1,37.0,5.4,8.7,ENE,9.0,ENE,No,3.0,23.2,1.0,No,53.0,9.2,9.0,NNE,30.0,24.1,2008-08-27
1014.9,Perth,12.6,0.0,1011.6,57.0,3.2,7.1,WSW,7.0,NNE,No,6.0,20.2,5.0,Yes,79.0,6.3,13.0,SSW,26.0,21.7,2008-08-28
1014.0,Perth,14.7,1.2,1013.3,54.0,2.0,9.5,SW,7.0,SSE,Yes,4.0,16.8,3.0,No,81.0,9.0,20.0,SSW,41.0,18.7,2008-08-29
1023.1,Perth,11.7,0.2,1022.4,41.0,3.6,3.8,SW,13.0,SE,No,4.0,15.9,1.0,No,52.0,9.9,19.0,SW,35.0,16.9,2008-08-30
1025.1,Perth,12.3,0.0,1022.7,51.0,3.2,8.7,W,7.0,N,No,7.0,16.9,7.0,Yes,68.0,1.0,15.0,WSW,30.0,18.5,2008-08-31
1024.8,Perth,12.5,3.4,1023.1,61.0,2.6,10.9,SW,7.0,NNE,Yes,6.0,18.9,7.0,No,97.0,3.8,9.0,SSE,20.0,18.9,2008-09-01
1024.9,Perth,14.1,0.2,1022.0,43.0,2.8,5.4,WSW,6.0,E,No,3.0,21.1,1.0,No,81.0,10.7,6.0,SW,22.0,22.9,2008-09-02
1023.1,Perth,17.2,0.0,1020.2,26.0,3.6,8.1,WSW,9.0,ENE,No,5.0,24.1,1.0,No,54.0,10.4,17.0,SW,28.0,,2008-09-03
1022.5,Perth,15.2,0.0,1018.9,47.0,3.8,11.3,SW,15.0,S,No,2.0,18.6,1.0,Yes,62.0,9.8,19.0,SSW,39.0,19.4,2008-09-04
1021.9,Perth,15.0,1.2,1018.8,57.0,4.2,9.8,SW,11.0,S,Yes,1.0,19.5,1.0,No,69.0,10.6,24.0,SW,41.0,21.6,2008-09-05
1024.1,Perth,13.4,0.0,1021.5,32.0,4.6,9.7,SSE,11.0,SE,No,0.0,18.7,1.0,No,58.0,10.7,17.0,SSE,28.0,19.4,2008-09-06
1026.0,Perth,13.5,0.0,1021.9,41.0,4.4,5.7,SW,9.0,ENE,No,1.0,19.2,1.0,No,57.0,10.5,11.0,SSW,35.0,20.1,2008-09-07
1022.8,Perth,13.9,0.0,1018.1,37.0,5.6,5.3,SW,7.0,E,No,5.0,20.7,6.0,No,61.0,10.1,15.0,SW,30.0,22.4,2008-09-08
1018.7,Perth,14.1,0.0,1016.4,44.0,2.8,4.6,WSW,4.0,NNE,No,1.0,20.4,1.0,No,68.0,10.6,17.0,SW,30.0,21.3,2008-09-09
1017.7,Perth,13.4,0.0,1015.6,46.0,3.6,7.7,WNW,7.0,NW,No,6.0,18.1,7.0,No,79.0,2.9,17.0,NW,31.0,18.9,2008-09-10
1014.1,Perth,17.3,0.8,1012.5,62.0,2.6,13.4,WSW,19.0,WSW,No,4.0,18.9,3.0,No,71.0,7.0,20.0,WSW,46.0,20.5,2008-09-11
1011.4,Perth,17.0,0.4,1007.9,87.0,4.4,15.2,NW,11.0,W,No,6.0,15.9,7.0,Yes,60.0,3.3,19.0,WNW,52.0,20.9,2008-09-12
1013.5,Perth,14.0,6.0,1014.6,55.0,4.2,11.8,SW,17.0,SW,Yes,7.0,17.1,5.0,No,73.0,5.2,17.0,SW,59.0,17.6,2008-09-13
1015.5,Perth,16.3,0.0,1016.0,57.0,5.2,13.6,SW,22.0,W,No,6.0,18.6,7.0,Yes,64.0,4.7,26.0,WSW,54.0,19.6,2008-09-14
1023.0,Perth,14.1,1.2,1019.1,34.0,2.8,6.2,NNE,9.0,E,Yes,6.0,19.8,5.0,No,55.0,8.6,9.0,N,26.0,20.3,2008-09-15
1012.2,Perth,15.6,0.0,1008.0,38.0,2.2,4.7,WSW,6.0,NNE,No,1.0,20.9,1.0,Yes,50.0,10.3,15.0,WSW,30.0,22.5,2008-09-16
1007.8,Perth,16.0,8.2,1010.4,83.0,4.4,11.6,WSW,17.0,W,Yes,5.0,16.2,7.0,Yes,90.0,5.4,13.0,SSW,41.0,19.0,2008-09-17
1010.8,Perth,18.9,1.8,1011.8,67.0,4.0,13.2,W,22.0,NW,Yes,4.0,19.5,5.0,Yes,58.0,5.5,20.0,WNW,56.0,20.0,2008-09-18
1016.8,Perth,17.2,4.0,1017.4,51.0,2.6,13.8,W,19.0,W,Yes,6.0,19.0,7.0,No,56.0,4.0,19.0,WSW,44.0,20.5,2008-09-19
1021.2,Perth,18.6,0.2,1018.3,51.0,3.0,9.5,WNW,11.0,W,No,6.0,21.0,5.0,Yes,58.0,7.3,11.0,NW,31.0,21.7,2008-09-20
1010.4,Perth,16.9,3.4,1016.5,51.0,4.8,13.0,S,17.0,W,Yes,5.0,13.6,7.0,Yes,77.0,4.4,20.0,SW,67.0,17.0,2008-09-21
1028.8,Perth,11.2,5.4,1024.8,34.0,1.6,1.0,SE,9.0,ENE,Yes,1.0,17.9,0.0,No,57.0,11.1,13.0,E,37.0,19.0,2008-09-22
1022.8,Perth,16.5,0.0,1016.9,23.0,3.4,5.7,NNE,19.0,NE,No,6.0,23.0,1.0,No,39.0,9.3,17.0,NE,50.0,23.5,2008-09-23
1011.5,Perth,21.5,0.0,1010.3,67.0,5.2,11.3,NW,15.0,N,No,2.0,22.0,1.0,Yes,36.0,9.9,26.0,WNW,50.0,25.5,2008-09-24
1010.5,Perth,16.3,21.0,1010.6,92.0,5.6,15.2,S,0.0,,Yes,7.0,14.4,8.0,Yes,93.0,0.0,13.0,N,39.0,16.5,2008-09-25
1016.5,Perth,14.3,14.2,1014.6,57.0,2.2,10.2,S,13.0,ESE,Yes,7.0,17.2,6.0,No,71.0,1.3,15.0,SSW,33.0,18.2,2008-09-26
1023.8,Perth,13.7,0.0,1022.4,43.0,2.0,7.6,WSW,9.0,N,No,6.0,18.0,7.0,No,57.0,3.9,20.0,WSW,33.0,18.9,2008-09-27
1024.4,Perth,17.6,0.2,1021.4,54.0,2.6,12.3,WSW,15.0,NNE,No,2.0,20.4,2.0,No,70.0,9.7,15.0,SW,28.0,21.6,2008-09-28
1018.1,Perth,17.6,0.0,1011.3,37.0,3.8,8.2,W,2.0,N,No,1.0,23.5,1.0,Yes,67.0,11.0,13.0,WSW,33.0,24.6,2008-09-29
1010.8,Perth,17.8,4.2,1011.7,71.0,4.4,11.8,SW,19.0,WSW,Yes,7.0,17.6,4.0,No,63.0,6.0,19.0,WSW,44.0,19.1,2008-09-30
1013.0,Perth,18.3,0.6,1011.3,66.0,4.8,13.0,WNW,13.0,WNW,No,7.0,19.1,7.0,Yes,61.0,1.3,15.0,WNW,37.0,19.9,2008-10-01
1015.9,Perth,13.5,5.0,1016.9,44.0,3.4,12.9,SSW,13.0,S,Yes,3.0,17.4,6.0,No,87.0,8.3,22.0,SW,41.0,18.4,2008-10-02
