Temp_9_am_C,Humidity_9_am,Location,Humidity_3_pm,Max_Temp_C,Date,Evaporation,Rainfall,Pressure_3_pm,Wind_Dir_3_pm,Wind_Speed_3_pm,Wind_Gust_Dir,Cloud_9_am,Wind_Gust_Speed,Cloud_3_pm,Pressure_9_am,Sunshine,Wind_Speed_9_am,Rain_Today,Rain_Tomorrow,Min_Temp_C,Wind_Dir_9_am,Temp_3_pm_C
22.2,48.0,PerthAirport,22.0,37.2,2009-01-01,11.6,0.0,1007.9,ENE,15.0,E,0.0,56.0,0.0,1011.0,13.1,30.0,No,No,18.8,E,35.0
27.5,39.0,PerthAirport,31.0,36.1,2009-01-02,12.8,0.0,1007.9,W,20.0,E,0.0,59.0,1.0,1008.7,13.2,11.0,No,No,21.9,NE,33.9
23.5,57.0,PerthAirport,34.0,34.4,2009-01-03,11.8,0.0,1010.7,W,24.0,SSW,4.0,44.0,1.0,1012.8,12.7,17.0,No,No,20.3,S,33.0
22.5,48.0,PerthAirport,20.0,36.5,2009-01-04,11.2,0.0,1013.1,E,13.0,SE,0.0,39.0,0.0,1017.1,13.3,11.0,No,No,18.5,E,34.9
25.3,38.0,PerthAirport,21.0,37.2,2009-01-05,11.4,0.0,1010.8,W,22.0,E,0.0,57.0,0.0,1014.7,13.2,19.0,No,No,21.8,E,36.4
24.6,54.0,PerthAirport,35.0,36.4,2009-01-06,12.0,0.0,1009.7,W,26.0,WSW,0.0,43.0,0.0,1014.5,13.2,15.0,No,No,19.7,ESE,33.9
23.1,50.0,PerthAirport,23.0,36.3,2009-01-07,12.0,0.0,1011.1,SSE,17.0,E,1.0,52.0,1.0,1014.7,13.2,15.0,No,No,18.9,SE,34.3
24.2,48.0,PerthAirport,24.0,37.2,2009-01-08,10.8,0.0,1011.4,SSE,13.0,ESE,0.0,41.0,0.0,1014.7,13.2,15.0,No,No,20.3,ESE,36.3
24.4,50.0,PerthAirport,32.0,37.1,2009-01-09,12.6,0.0,1011.4,W,26.0,SW,0.0,46.0,1.0,1015.7,13.3,13.0,No,No,19.1,SSE,34.6
26.0,43.0,PerthAirport,26.0,35.7,2009-01-10,11.2,0.0,1010.5,SW,33.0,SW,1.0,48.0,0.0,1013.1,13.1,13.0,No,No,20.5,ESE,33.3
25.6,41.0,PerthAirport,15.0,39.1,2009-01-11,12.0,0.0,1005.4,WSW,20.0,SW,0.0,41.0,0.0,1009.6,13.1,20.0,No,No,21.2,ENE,38.0
23.8,54.0,PerthAirport,52.0,28.4,2009-01-12,11.4,0.0,1009.0,WSW,35.0,SW,1.0,57.0,6.0,1007.7,11.3,24.0,No,No,13.5,SW,26.6
18.1,60.0,PerthAirport,37.0,26.9,2009-01-13,9.4,0.0,1014.9,W,28.0,SW,6.0,48.0,1.0,1017.8,11.2,2.0,No,No,10.3,NNE,25.0
21.4,49.0,PerthAirport,35.0,31.7,2009-01-14,9.6,0.0,1014.6,WSW,22.0,W,4.0,37.0,6.0,1017.5,10.2,17.0,No,No,14.6,ESE,30.0
22.7,45.0,PerthAirport,16.0,39.8,2009-01-15,10.6,0.0,1012.0,ESE,20.0,E,0.0,72.0,0.0,1016.4,13.1,35.0,No,No,19.0,ENE,37.2
34.0,12.0,PerthAirport,18.0,43.0,2009-01-16,13.8,0.0,1010.1,WNW,20.0,NE,0.0,50.0,1.0,1011.1,13.1,31.0,No,No,22.5,NE,37.3
22.1,57.0,PerthAirport,31.0,32.6,2009-01-17,13.2,0.0,1013.9,SW,17.0,W,2.0,41.0,7.0,1015.5,7.2,9.0,No,No,17.9,SW,31.6
23.9,47.0,PerthAirport,31.0,33.5,2009-01-18,8.6,0.0,1012.0,SSE,11.0,SSE,7.0,46.0,7.0,1015.2,4.8,15.0,No,Yes,21.9,SSE,31.0
19.5,68.0,PerthAirport,39.0,30.0,2009-01-19,8.0,12.6,1013.9,SSE,20.0,E,1.0,72.0,1.0,1016.8,13.2,17.0,Yes,No,15.7,SSE,28.0
18.7,51.0,PerthAirport,35.0,30.1,2009-01-20,8.0,0.0,1015.0,SW,28.0,SW,0.0,48.0,1.0,1018.6,13.0,24.0,No,No,15.5,E,28.7
20.1,63.0,PerthAirport,42.0,27.3,2009-01-21,10.0,0.0,1013.5,SW,30.0,SSW,1.0,43.0,4.0,1016.1,13.0,17.0,No,No,15.4,SSW,26.6
21.5,67.0,PerthAirport,48.0,28.7,2009-01-22,8.6,0.0,1011.6,WSW,24.0,WSW,7.0,43.0,1.0,1013.6,11.1,15.0,No,No,18.7,S,28.2
21.8,71.0,PerthAirport,50.0,28.9,2009-01-23,9.0,0.0,1011.7,SW,24.0,SW,7.0,39.0,1.0,1013.9,10.7,20.0,No,No,20.0,S,27.8
21.4,62.0,PerthAirport,46.0,31.0,2009-01-24,7.6,0.0,1011.4,W,26.0,SW,0.0,39.0,0.0,1013.8,13.0,7.0,No,No,13.1,W,28.8
25.3,28.0,PerthAirport,18.0,38.6,2009-01-25,9.6,0.0,1008.0,W,15.0,WSW,0.0,39.0,0.0,1012.4,13.2,13.0,No,No,17.0,ESE,38.0
23.6,74.0,PerthAirport,54.0,30.8,2009-01-26,10.0,0.0,1008.3,W,24.0,W,1.0,37.0,1.0,1007.8,13.0,6.0,No,No,17.5,NW,27.1
23.3,61.0,PerthAirport,34.0,34.5,2009-01-27,8.8,0.0,1004.2,SSW,20.0,SSW,2.0,48.0,6.0,1008.2,12.6,9.0,No,No,17.1,SE,33.8
23.3,71.0,PerthAirport,51.0,31.2,2009-01-28,10.4,0.0,1001.2,SW,19.0,WSW,7.0,43.0,4.0,1003.9,6.5,11.0,No,No,21.7,SE,30.0
21.0,72.0,PerthAirport,58.0,25.6,2009-01-29,7.2,0.0,1007.9,SSW,22.0,SSW,7.0,33.0,8.0,1008.1,0.3,19.0,No,No,19.7,S,24.4
21.7,69.0,PerthAirport,51.0,32.1,2009-01-30,4.0,0.0,1007.0,S,9.0,WSW,8.0,30.0,7.0,1010.7,6.4,13.0,No,No,18.9,SE,29.0
26.6,62.0,PerthAirport,44.0,35.1,2009-01-31,5.6,0.0,1006.3,SE,17.0,,3.0,,5.0,1008.8,,22.0,No,No,21.6,E,33.4
27.5,67.0,PerthAirport,40.0,37.4,2009-02-01,6.4,0.4,1008.8,W,22.0,SSW,0.0,39.0,1.0,1011.7,13.1,19.0,No,No,23.3,E,35.9
29.7,55.0,PerthAirport,36.0,39.1,2009-02-02,10.6,0.0,1008.4,WSW,28.0,WSW,1.0,39.0,1.0,1010.6,13.1,19.0,No,No,21.0,ENE,36.4
23.9,76.0,PerthAirport,47.0,32.7,2009-02-03,10.2,0.0,1008.4,W,22.0,SW,1.0,33.0,1.0,1010.5,11.9,9.0,No,No,18.6,SW,31.3
22.6,62.0,PerthAirport,29.0,33.3,2009-02-04,8.0,0.0,1010.1,SSW,24.0,SW,1.0,48.0,1.0,1012.7,13.0,22.0,No,No,20.4,SSE,32.6
20.9,51.0,PerthAirport,36.0,33.2,2009-02-05,11.2,0.0,1007.0,WSW,30.0,ESE,0.0,50.0,0.0,1011.6,12.9,13.0,No,No,17.3,ESE,30.3
18.4,60.0,PerthAirport,36.0,27.0,2009-02-06,10.6,0.0,1006.5,SW,35.0,SW,4.0,56.0,2.0,1009.6,12.3,26.0,No,No,15.2,S,25.1
19.5,53.0,PerthAirport,29.0,27.3,2009-02-07,9.0,0.0,1012.6,WSW,19.0,WSW,2.0,46.0,0.0,1014.2,12.7,13.0,No,No,9.4,SSE,26.8
18.6,45.0,PerthAirport,22.0,32.9,2009-02-08,9.4,0.0,1015.0,E,26.0,E,0.0,57.0,0.0,1017.8,13.0,28.0,No,No,15.4,E,30.8
20.8,48.0,PerthAirport,16.0,34.6,2009-02-09,12.8,0.0,1014.8,E,30.0,E,0.0,69.0,0.0,1017.6,12.9,39.0,No,No,17.6,ENE,33.7
23.1,44.0,PerthAirport,14.0,36.8,2009-02-10,12.6,0.0,1012.9,ENE,28.0,E,0.0,65.0,3.0,1016.3,11.4,37.0,No,No,19.7,ENE,35.2
28.8,20.0,PerthAirport,11.0,39.2,2009-02-11,10.4,0.0,1009.3,ENE,9.0,NE,1.0,41.0,1.0,1012.6,12.8,26.0,No,No,23.0,NE,37.9
31.4,16.0,PerthAirport,17.0,39.5,2009-02-12,11.2,0.0,1007.5,WSW,26.0,WSW,6.0,54.0,6.0,1007.3,9.4,24.0,No,No,22.3,NE,34.3
22.8,60.0,PerthAirport,46.0,28.1,2009-02-13,11.8,0.0,1012.1,ESE,26.0,SE,6.0,52.0,5.0,1013.8,4.3,20.0,No,No,21.7,SE,27.3
23.4,44.0,PerthAirport,39.0,29.1,2009-02-14,7.4,0.2,1007.0,SE,11.0,E,7.0,65.0,7.0,1009.0,1.3,28.0,No,No,18.8,ESE,27.0
21.8,77.0,PerthAirport,38.0,32.4,2009-02-15,3.6,0.0,1006.2,WSW,24.0,WSW,1.0,33.0,0.0,1008.3,12.0,,No,No,15.9,,30.7
21.7,72.0,PerthAirport,40.0,27.5,2009-02-16,6.8,0.0,1010.2,WSW,28.0,SSW,7.0,41.0,1.0,1011.4,11.4,26.0,No,No,18.2,SSW,26.6
20.1,56.0,PerthAirport,30.0,31.9,2009-02-17,9.0,0.0,1009.9,SSE,17.0,SE,1.0,44.0,1.0,1013.3,12.5,17.0,No,No,16.0,SE,30.4
