Wind.Speed.3.pm,Rainfall,Rain.Tomorrow,Wind.Speed.9.am,Location,Date,Pressure.9.am,Humidity.3.pm,Evaporation,Cloud.3.pm,Wind.Dir.9.am,Temp.3.pm.C,Wind.Dir.3.pm,Humidity.9.am,Cloud.9.am,Min.Temp.C,Pressure.3.pm,Wind.Gust.Speed,Rain.Today,Temp.9.am.C,Sunshine,Wind.Gust.Dir,Max.Temp.C
28.0,0.0,Yes,28.0,Portland,2009-01-01,1006.7,99.0,4.8,6.0,SW,14.5,SW,97.0,,12.5,1010.5,59.0,No,13.7,6.5,SW,16.6
17.0,1.6,No,20.0,Portland,2009-01-02,1020.0,61.0,4.8,2.0,SW,14.0,S,60.0,6.0,8.6,1021.3,39.0,Yes,11.9,11.7,SSW,15.2
15.0,0.2,No,9.0,Portland,2009-01-03,1020.4,52.0,4.6,3.0,NE,17.5,ESE,67.0,6.0,1.6,1018.3,30.0,No,11.6,11.9,S,18.0
17.0,0.0,No,11.0,Portland,2009-01-04,1016.4,63.0,4.8,1.0,E,18.1,S,73.0,1.0,4.8,1015.2,28.0,No,14.7,13.8,S,20.1
31.0,0.0,No,20.0,Portland,2009-01-05,1014.0,68.0,5.6,3.0,W,18.0,W,72.0,4.0,4.4,1013.4,46.0,No,14.9,13.6,W,18.8
26.0,0.0,Yes,17.0,Portland,2009-01-06,1010.9,81.0,5.4,6.0,WNW,18.9,W,99.0,8.0,,1010.8,,No,15.4,8.5,,20.0
28.0,1.4,No,9.0,Portland,2009-01-07,1011.5,57.0,4.8,6.0,SW,17.9,W,88.0,8.0,12.8,1012.8,50.0,Yes,14.6,8.0,WSW,18.6
22.0,0.0,No,20.0,Portland,2009-01-08,1019.8,50.0,5.8,3.0,SSW,15.0,S,58.0,6.0,10.8,1021.5,39.0,No,12.9,11.7,S,16.2
19.0,0.0,No,17.0,Portland,2009-01-09,1022.2,51.0,5.2,3.0,SE,17.2,ESE,56.0,7.0,10.9,1019.7,35.0,No,14.1,9.9,SE,18.0
19.0,0.0,No,15.0,Portland,2009-01-10,1014.5,56.0,5.2,,E,17.7,SSE,71.0,6.0,11.8,1013.0,33.0,No,15.4,13.8,ESE,18.5
24.0,0.0,No,0.0,Portland,2009-01-11,1012.7,51.0,6.4,1.0,,17.5,WSW,75.0,7.0,7.4,1013.1,35.0,No,14.0,11.2,W,18.6
13.0,0.2,No,9.0,Portland,2009-01-12,1018.3,64.0,4.8,2.0,WNW,20.8,SSE,89.0,8.0,13.4,1017.5,24.0,No,16.2,11.6,S,21.6
30.0,0.0,No,15.0,Portland,2009-01-13,1010.9,14.0,6.0,1.0,N,36.3,W,51.0,1.0,11.0,1006.7,48.0,No,21.4,13.0,NW,36.8
15.0,0.0,No,17.0,Portland,2009-01-14,1011.5,71.0,15.2,7.0,SSW,17.2,S,90.0,8.0,15.2,1012.7,43.0,No,15.4,5.8,W,18.5
30.0,0.0,No,20.0,Portland,2009-01-15,1015.8,58.0,5.0,3.0,W,18.2,WSW,61.0,2.0,10.5,1017.5,54.0,No,16.7,12.1,WSW,20.0
26.0,0.0,No,28.0,Portland,2009-01-16,1020.3,47.0,6.6,5.0,SW,15.7,SW,51.0,2.0,13.0,1022.7,52.0,No,14.6,12.0,WSW,17.6
15.0,0.0,No,9.0,Portland,2009-01-17,1024.4,52.0,5.4,3.0,SE,17.2,SE,59.0,6.0,7.4,1023.9,41.0,No,14.5,13.4,SSW,18.5
19.0,0.0,No,13.0,Portland,2009-01-18,1021.8,50.0,5.4,0.0,ENE,20.9,ESE,67.0,1.0,2.7,1019.7,28.0,No,14.1,13.8,E,22.6
20.0,0.0,No,9.0,Portland,2009-01-19,1012.3,28.0,7.2,5.0,E,26.0,SSW,72.0,2.0,8.4,1010.3,39.0,No,16.9,13.4,WSW,29.4
20.0,0.0,No,9.0,Portland,2009-01-20,1006.3,27.0,8.4,6.0,WSW,24.6,NNW,78.0,6.0,13.2,1007.6,56.0,No,18.0,12.0,W,27.8
35.0,0.0,No,17.0,Portland,2009-01-21,1011.3,53.0,7.0,3.0,NW,21.2,W,79.0,3.0,8.4,1008.2,43.0,No,16.3,10.8,W,22.4
41.0,0.0,No,44.0,Portland,2009-01-22,994.6,63.0,8.2,7.0,NW,17.8,W,46.0,5.0,13.5,998.9,83.0,No,21.7,5.2,WNW,23.2
31.0,0.2,Yes,15.0,Portland,2009-01-23,1006.6,50.0,6.6,2.0,N,21.4,W,75.0,7.0,8.1,1003.1,57.0,No,12.8,7.4,WNW,23.3
28.0,7.4,No,28.0,Portland,2009-01-24,1008.8,48.0,5.6,,WSW,17.3,WSW,60.0,6.0,12.6,1013.6,57.0,Yes,15.3,11.6,W,18.3
24.0,0.0,No,7.0,Portland,2009-01-25,1018.5,54.0,5.2,2.0,N,19.6,W,78.0,4.0,6.5,1018.9,39.0,No,13.8,13.3,W,20.4
19.0,0.0,No,9.0,Portland,2009-01-26,1022.6,63.0,5.2,5.0,SE,20.4,ESE,86.0,6.0,6.9,1021.4,33.0,No,16.6,13.4,SE,21.5
15.0,0.0,No,15.0,Portland,2009-01-27,1016.3,35.0,6.6,0.0,ENE,32.1,ESE,87.0,1.0,12.3,1013.3,28.0,No,15.5,13.3,E,33.1
15.0,0.0,No,11.0,Portland,2009-01-28,1009.0,19.0,10.8,3.0,N,33.4,S,29.0,2.0,15.1,1008.6,41.0,No,27.5,13.2,N,39.1
28.0,0.0,No,19.0,Portland,2009-01-29,1006.9,21.0,13.8,7.0,N,36.5,W,33.0,2.0,18.3,1007.8,59.0,No,31.3,11.4,W,39.3
19.0,0.0,No,13.0,Portland,2009-01-30,1011.7,65.0,14.2,1.0,S,23.7,S,64.0,,18.2,1011.8,,No,23.2,12.6,,30.9
28.0,0.0,No,20.0,Portland,2009-01-31,1015.7,77.0,8.6,,SE,20.8,ESE,77.0,3.0,,1017.2,50.0,No,21.2,9.7,SE,25.2
20.0,0.0,No,20.0,Portland,2009-02-01,1017.1,64.0,6.4,5.0,ESE,25.2,SE,87.0,7.0,16.1,1014.7,41.0,No,17.9,10.6,ESE,26.1
19.0,0.0,No,9.0,Portland,2009-02-02,1012.6,89.0,7.8,8.0,S,19.2,SSE,93.0,5.0,17.6,1013.7,35.0,No,19.3,7.4,SE,21.4
28.0,0.0,No,20.0,Portland,2009-02-03,1014.7,64.0,4.4,1.0,ESE,23.1,ESE,83.0,8.0,15.9,1012.2,39.0,No,17.4,9.5,E,24.0
17.0,0.0,No,19.0,Portland,2009-02-04,1009.7,57.0,5.6,0.0,E,25.5,E,83.0,6.0,14.9,1007.5,31.0,No,17.8,13.2,E,26.2
15.0,0.0,No,17.0,Portland,2009-02-05,1008.4,68.0,9.0,6.0,WSW,20.4,SSW,84.0,5.0,13.4,1010.6,,No,17.2,7.9,,20.4
17.0,0.0,No,15.0,Portland,2009-02-06,1009.5,77.0,4.6,8.0,ENE,18.7,SSE,89.0,8.0,6.1,1008.6,57.0,No,14.3,9.3,SW,26.8
15.0,0.0,No,9.0,Portland,2009-02-07,1000.4,74.0,6.2,,ESE,21.5,SW,82.0,,14.3,1003.2,67.0,No,20.4,8.9,WSW,33.8
26.0,0.0,No,22.0,Portland,2009-02-08,1013.6,58.0,7.4,7.0,WSW,18.2,SW,57.0,7.0,14.2,1016.1,46.0,No,16.3,6.4,SW,20.4
22.0,0.0,Yes,17.0,Portland,2009-02-09,1019.9,44.0,5.2,2.0,S,16.6,SSW,53.0,5.0,12.1,1019.7,35.0,No,14.0,11.1,SSW,17.9
20.0,1.6,No,15.0,Portland,2009-02-10,1020.5,58.0,6.0,6.0,SSW,15.5,S,67.0,4.0,9.9,1021.3,43.0,Yes,13.1,7.7,S,17.2
17.0,0.0,No,19.0,Portland,2009-02-11,1023.1,62.0,2.6,8.0,S,14.1,S,56.0,8.0,11.9,1023.3,39.0,No,13.1,1.7,S,16.7
28.0,0.8,No,20.0,Portland,2009-02-12,1024.5,56.0,4.0,6.0,SE,17.3,SE,60.0,6.0,11.5,1024.3,52.0,No,14.4,11.9,ESE,17.7
20.0,0.0,No,30.0,Portland,2009-02-13,1026.5,48.0,5.4,0.0,E,22.1,ESE,54.0,1.0,13.5,1024.3,50.0,No,16.4,12.7,E,22.9
15.0,0.0,No,9.0,Portland,2009-02-14,1023.0,61.0,6.0,,ESE,20.5,S,82.0,3.0,8.8,1020.8,35.0,No,16.0,11.6,SSW,21.9
31.0,0.0,No,28.0,Portland,2009-02-15,1020.7,72.0,5.0,6.0,ESE,18.8,SE,80.0,5.0,15.3,1020.5,52.0,No,17.4,10.1,ESE,21.0
22.0,0.0,No,24.0,Portland,2009-02-16,1019.7,61.0,6.8,0.0,ESE,22.1,SE,87.0,6.0,15.2,1017.1,37.0,No,17.4,12.1,SE,23.7
20.0,0.0,No,19.0,Portland,2009-02-17,1015.5,52.0,5.2,1.0,ENE,24.8,SE,80.0,4.0,14.5,1013.6,31.0,No,17.0,12.1,ESE,25.8
26.0,0.0,No,9.0,Portland,2009-02-18,1011.5,23.0,6.8,3.0,ENE,30.3,WSW,80.0,0.0,13.1,1009.5,37.0,No,18.4,11.7,W,31.3
22.0,0.0,No,7.0,Portland,2009-02-19,1007.9,65.0,8.6,,NNE,22.5,W,83.0,1.0,12.0,1007.5,43.0,No,17.7,12.1,WSW,27.6
17.0,0.0,No,17.0,Portland,2009-02-20,1014.2,66.0,7.0,,WSW,17.3,WSW,75.0,8.0,14.9,1016.2,37.0,No,16.0,1.9,WSW,20.4
17.0,0.0,No,13.0,Portland,2009-02-21,1020.6,65.0,3.8,,SSE,17.6,SSE,85.0,8.0,15.1,1020.4,31.0,No,15.6,0.0,S,18.9
19.0,0.0,No,17.0,Portland,2009-02-22,1018.5,47.0,2.2,3.0,ESE,21.5,SE,61.0,6.0,14.8,1015.2,33.0,No,15.9,12.5,ESE,21.7
37.0,0.0,No,15.0,Portland,2009-02-23,1009.5,86.0,5.4,8.0,N,17.1,W,71.0,2.0,9.4,1012.5,54.0,No,17.1,8.3,W,21.8
20.0,0.2,No,13.0,Portland,2009-02-24,1021.0,49.0,4.8,3.0,S,16.6,SSW,59.0,6.0,12.2,1021.7,35.0,No,14.3,11.7,S,17.9
19.0,0.0,No,9.0,Portland,2009-02-25,1021.8,64.0,4.8,6.0,ESE,18.2,SE,76.0,8.0,12.1,1020.7,35.0,No,14.4,10.0,SE,19.3
22.0,0.0,No,20.0,Portland,2009-02-26,1018.4,56.0,4.6,6.0,ENE,22.2,E,87.0,2.0,11.8,1016.3,31.0,No,14.4,9.8,ENE,24.4
30.0,0.0,No,13.0,Portland,2009-02-27,1010.0,57.0,8.2,6.0,N,23.3,SW,44.0,3.0,12.4,1010.3,54.0,No,20.4,11.9,WSW,30.1
19.0,0.0,No,13.0,Portland,2009-02-28,1015.1,52.0,8.0,6.0,S,18.8,SW,66.0,8.0,12.7,1015.6,33.0,No,16.1,4.8,WSW,19.5
17.0,0.0,No,15.0,Portland,2009-03-01,1016.9,45.0,4.0,6.0,SSW,17.5,SE,62.0,8.0,13.6,1016.4,31.0,No,14.6,6.0,SE,18.7
17.0,0.0,Yes,11.0,Portland,2009-03-02,1015.4,43.0,3.8,1.0,ENE,21.8,E,77.0,3.0,7.9,1011.4,41.0,No,14.4,9.0,E,22.5
41.0,1.6,Yes,24.0,Portland,2009-03-03,1000.5,97.0,8.0,8.0,N,16.2,W,67.0,8.0,14.3,1000.8,72.0,Yes,21.9,1.9,WNW,29.0
43.0,13.0,Yes,48.0,Portland,2009-03-04,1009.5,60.0,4.4,8.0,W,15.2,WSW,84.0,7.0,10.4,1013.6,87.0,Yes,11.4,5.8,W,17.1
17.0,1.4,Yes,17.0,Portland,2009-03-05,1018.9,93.0,3.0,8.0,SSW,14.7,SSW,98.0,8.0,11.3,1019.5,50.0,Yes,13.4,7.8,SW,16.0
17.0,3.0,Yes,7.0,Portland,2009-03-06,1018.0,70.0,3.0,7.0,SW,15.9,W,70.0,7.0,12.2,1016.7,28.0,Yes,13.8,0.0,W,16.6
15.0,2.6,No,9.0,Portland,2009-03-07,1017.4,62.0,1.2,6.0,SSW,15.5,SSW,98.0,6.0,11.2,1018.2,28.0,Yes,13.3,5.8,SSW,17.5
