Wind Gust Dir,Rain Today,Evaporation,Wind Dir 9 am,Min Temp F,Rain Tomorrow,Cloud 3 pm,Wind Speed 9 am,Temp 3 pm F,Rainfall,Wind Dir 3 pm,Humidity 3 pm,Wind Gust Speed,Location,Max Temp F,Date,Cloud 9 am,Humidity 9 am,Pressure 3 pm,Wind Speed 3 pm,Temp 9 am F,Pressure 9 am
W,No,,ENE,53.6,No,,9.0,89.78,0.0,W,,61.0,Richmond,91.58000000000001,2009-01-01,,,1001.0,31.0,68.0,1005.5
SE,No,19.0,ENE,60.62,No,,13.0,74.66,0.0,SE,,50.0,Richmond,78.44,2009-01-02,,,1012.1,35.0,68.0,1012.6
E,No,,SSW,56.48,No,,7.0,68.0,0.0,NNE,,24.0,Richmond,69.44,2009-01-03,,,1019.1,9.0,62.24,1021.9
NE,No,,ENE,61.34,No,,4.0,84.74,0.0,NE,,33.0,Richmond,86.18,2009-01-04,,,1013.5,17.0,67.28,1018.7
W,No,15.2,NNE,58.28,No,,7.0,96.98,0.0,WSW,,57.0,Richmond,97.7,2009-01-05,,,1007.7,24.0,70.16,1013.1
NNW,No,,ESE,57.2,No,,6.0,100.4,0.0,NE,,59.0,Richmond,100.76,2009-01-06,,,1006.1,11.0,72.5,1011.8
W,No,,NE,60.08,No,,9.0,96.44,0.0,NW,,48.0,Richmond,100.76,2009-01-07,,,1004.2,19.0,71.96,1010.0
SE,No,,SSE,66.92,Yes,,11.0,64.94,0.0,SE,,43.0,Richmond,70.52,2009-01-08,,,1013.4,19.0,68.36,1012.4
E,Yes,24.0,SSW,57.56,No,,17.0,67.82,1.4,E,,37.0,Richmond,70.16,2009-01-09,,,1018.5,13.0,62.42,1020.3
NE,No,,SSE,52.34,No,,6.0,73.94,0.0,E,,35.0,Richmond,77.18,2009-01-10,,,1012.7,19.0,62.959999999999994,1017.1
ESE,No,,W,53.24,Yes,,2.0,82.04,0.0,NE,,37.0,Richmond,83.3,2009-01-11,,,1009.8,17.0,66.92,1014.3
ENE,Yes,13.4,W,59.72,No,,4.0,79.52,3.4,ESE,,50.0,Richmond,82.94,2009-01-12,,,1014.8,30.0,64.04,1015.8
NE,No,,NE,64.04,No,,11.0,84.74,0.2,NE,,35.0,Richmond,87.98,2009-01-13,,,1015.0,17.0,72.86,1019.4
ENE,No,11.8,E,59.18,No,,4.0,98.6,0.0,ENE,,37.0,Richmond,101.11999999999999,2009-01-14,,,1009.5,13.0,72.14,1014.6
SE,No,8.8,NE,63.68,No,,11.0,103.82,0.0,NW,,72.0,Richmond,105.26,2009-01-15,,,1005.1,24.0,85.46000000000001,1008.9
SE,No,10.8,S,60.62,No,,6.0,87.26,0.4,NNE,,63.0,Richmond,94.82,2009-01-16,,,1007.4,11.0,67.64,1012.9
SSE,No,,SSW,58.459999999999994,No,,11.0,68.0,0.2,SE,,35.0,Richmond,70.52,2009-01-17,,,1020.1,17.0,60.62,1020.8
NE,No,,NE,51.26,No,,4.0,80.78,0.0,ENE,,33.0,Richmond,82.4,2009-01-18,,,1018.5,11.0,64.4,1022.1
ESE,No,17.8,NNE,52.879999999999995,No,,6.0,89.41999999999999,0.0,NE,23.0,41.0,Richmond,92.3,2009-01-19,,,1013.5,19.0,66.02,1019.4
NNW,No,8.0,NE,59.72,No,,4.0,101.3,0.0,NW,19.0,44.0,Richmond,102.2,2009-01-20,,60.0,1008.8,19.0,72.86,1013.7
SSW,No,9.2,NNE,70.88,Yes,,9.0,100.58000000000001,0.0,NW,26.0,46.0,Richmond,102.02,2009-01-21,,61.0,1006.6,17.0,79.7,1011.7
NW,Yes,7.6,ENE,70.16,No,,13.0,87.61999999999999,1.6,NNW,48.0,48.0,Richmond,90.68,2009-01-22,,65.0,1005.7,22.0,78.8,1008.9
ESE,No,,NNE,73.4,No,,17.0,95.0,0.2,ENE,40.0,46.0,Richmond,97.52,2009-01-23,,53.0,1006.0,19.0,85.28,1008.9
SE,No,,NW,73.4,No,,20.0,104.9,0.0,WNW,23.0,69.0,Richmond,105.8,2009-01-24,,51.0,1002.6,35.0,90.68,1004.8
E,No,,SSE,67.64,No,,15.0,80.96,0.0,ENE,40.0,33.0,Richmond,81.68,2009-01-25,,57.0,1017.4,13.0,70.7,1019.8
ESE,No,,WSW,69.98,Yes,,9.0,86.18,0.0,SE,51.0,39.0,Richmond,87.26,2009-01-26,,64.0,1018.1,19.0,72.5,1019.4
S,Yes,37.2,SW,67.64,No,,9.0,81.14,10.6,SE,63.0,28.0,Richmond,84.56,2009-01-27,,99.0,1019.1,9.0,68.54,1021.4
ENE,No,4.0,NNE,64.58,No,,7.0,91.22,0.2,NE,38.0,33.0,Richmond,95.18,2009-01-28,,99.0,1014.6,17.0,66.74000000000001,1018.7
ENE,No,6.6,NE,62.42,No,,6.0,91.03999999999999,0.0,NNE,37.0,35.0,Richmond,94.46000000000001,2009-01-29,,89.0,1014.9,11.0,70.7,1018.8
ENE,No,7.6,ENE,63.68,No,,6.0,91.94,0.0,NNE,32.0,37.0,Richmond,94.64,2009-01-30,,74.0,1014.2,13.0,75.74000000000001,1018.5
E,No,7.4,ESE,63.5,No,,6.0,97.88000000000001,0.0,ENE,31.0,35.0,Richmond,99.5,2009-01-31,,76.0,1012.1,15.0,74.3,1017.4
SE,No,,S,67.46,No,,13.0,89.24,0.0,ESE,43.0,39.0,Richmond,91.94,2009-02-01,,71.0,1014.4,26.0,76.64,1015.6
E,No,14.8,,67.1,No,,0.0,93.2,0.0,ENE,36.0,37.0,Richmond,95.9,2009-02-02,,75.0,1010.4,15.0,77.0,1016.3
SE,No,8.0,SE,68.9,No,,6.0,89.41999999999999,0.0,SSE,37.0,46.0,Richmond,93.2,2009-02-03,,69.0,1008.7,28.0,75.2,1010.8
E,No,6.4,ESE,70.88,No,,2.0,89.24,0.0,NNE,43.0,31.0,Richmond,91.76,2009-02-04,,77.0,1007.9,11.0,75.02,1011.6
ENE,No,5.8,N,67.46,No,,2.0,100.94,0.0,NE,26.0,35.0,Richmond,104.18,2009-02-05,,76.0,1004.1,15.0,77.0,1009.2
ENE,No,8.0,SSE,71.78,No,,11.0,104.72,0.0,NE,23.0,44.0,Richmond,106.34,2009-02-06,,71.0,1006.2,20.0,78.8,1010.8
ENE,No,,WNW,71.06,No,,4.0,105.8,0.0,NE,18.0,43.0,Richmond,107.41999999999999,2009-02-07,,64.0,1008.7,24.0,78.98,1013.4
SE,No,,NNE,63.68,No,,9.0,103.1,0.0,NNE,24.0,43.0,Richmond,106.52,2009-02-08,,54.0,1005.7,11.0,75.74000000000001,1010.8
S,No,28.8,SSE,70.88,Yes,,11.0,72.5,0.0,SE,71.0,30.0,Richmond,74.3,2009-02-09,,83.0,1011.6,15.0,71.6,1012.1
SE,Yes,1.8,SSE,63.14,Yes,,9.0,66.56,2.8,S,97.0,24.0,Richmond,67.64,2009-02-10,,95.0,1010.2,9.0,64.75999999999999,1011.4
S,Yes,4.0,SW,61.16,No,,13.0,69.98,4.6,SSW,64.0,35.0,Richmond,71.24000000000001,2009-02-11,,84.0,1011.8,19.0,62.059999999999995,1011.6
SE,No,1.6,SSW,60.08,Yes,,17.0,68.18,0.0,S,69.0,39.0,Richmond,69.08,2009-02-12,,75.0,1018.6,17.0,64.58,1017.8
SE,Yes,1.6,WSW,59.0,Yes,,11.0,63.14,7.6,SE,91.0,50.0,Richmond,66.02,2009-02-13,,97.0,1024.9,19.0,59.540000000000006,1026.1
S,Yes,,SSW,59.0,Yes,,17.0,64.04,18.2,SSW,96.0,28.0,Richmond,65.12,2009-02-14,,96.0,1019.2,15.0,60.08,1023.3
S,Yes,,SSW,60.08,Yes,,17.0,68.18,27.6,SW,90.0,35.0,Richmond,71.06,2009-02-15,,93.0,1014.1,17.0,63.68,1015.2
SE,Yes,,SSW,61.7,Yes,,11.0,72.5,39.8,SE,60.0,52.0,Richmond,75.92,2009-02-16,,97.0,1017.4,31.0,64.94,1018.1
