Date,Temp9amC,WindGustSpeed,Humidity3pm,Cloud3pm,Temp3pmC,WindDir9am,Sunshine,Evaporation,WindSpeed9am,RainTomorrow,MaxTempC,Pressure3pm,Cloud9am,WindGustDir,Rainfall,WindDir3pm,Humidity9am,RainToday,MinTempC,Pressure9am,Location,WindSpeed3pm
2009-01-01,18.4,76.0,62.0,6.0,16.7,W,11.5,10.0,41.0,No,22.1,1003.4,4.0,WSW,0.0,WSW,46.0,No,10.7,1001.7,Sale,31.0
2009-01-02,12.5,50.0,36.0,6.0,16.7,W,11.7,,30.0,No,18.9,1017.3,3.0,W,0.0,WSW,61.0,No,8.0,1016.2,Sale,33.0
2009-01-03,12.9,33.0,43.0,6.0,18.8,WNW,9.1,4.0,7.0,No,20.0,1018.0,1.0,ESE,0.0,ESE,63.0,No,4.2,1020.9,Sale,15.0
2009-01-04,16.4,33.0,47.0,5.0,23.2,SSW,10.5,5.0,6.0,No,24.3,1013.4,3.0,ESE,0.0,E,70.0,No,6.7,1017.0,Sale,19.0
2009-01-05,15.9,37.0,52.0,1.0,25.5,WNW,10.8,6.8,11.0,No,27.9,1008.9,6.0,ENE,0.0,SE,79.0,No,8.9,1011.4,Sale,24.0
2009-01-06,19.7,44.0,45.0,1.0,26.3,W,13.4,6.6,13.0,No,32.2,1006.9,0.0,SE,0.0,SE,58.0,No,10.8,1010.0,Sale,30.0
2009-01-07,17.8,30.0,74.0,7.0,19.6,SSW,0.5,7.8,15.0,No,20.2,1008.3,8.0,W,0.0,SE,84.0,No,15.3,1008.6,Sale,15.0
2009-01-08,16.3,43.0,49.0,6.0,16.8,W,9.5,2.8,20.0,No,20.4,1017.2,4.0,SSW,0.0,SW,59.0,No,11.4,1016.0,Sale,28.0
2009-01-09,13.6,43.0,33.0,,20.4,NW,12.8,4.0,9.0,No,21.1,1018.6,1.0,E,0.0,E,66.0,No,4.7,1021.6,Sale,20.0
2009-01-10,16.2,44.0,54.0,6.0,22.9,NW,9.8,8.2,11.0,No,26.3,1009.8,7.0,S,0.0,SSE,73.0,No,10.6,1012.8,Sale,22.0
2009-01-11,19.3,33.0,61.0,7.0,21.4,S,5.0,6.6,11.0,No,22.5,1009.7,7.0,SE,0.0,SE,73.0,No,11.0,1011.4,Sale,13.0
2009-01-12,16.2,35.0,52.0,3.0,22.9,WNW,13.3,5.0,11.0,No,23.3,1017.9,3.0,ESE,0.0,ESE,68.0,No,7.7,1018.4,Sale,20.0
2009-01-13,18.4,37.0,27.0,1.0,33.1,ENE,12.5,5.8,6.0,No,34.7,1010.1,1.0,ESE,0.0,SSE,74.0,No,11.9,1014.8,Sale,15.0
2009-01-14,25.8,56.0,41.0,6.0,30.7,E,9.8,,4.0,No,39.3,1005.7,4.0,NW,0.0,SE,48.0,No,13.4,1006.3,Sale,19.0
2009-01-15,16.8,54.0,36.0,7.0,23.1,WSW,7.3,10.0,31.0,No,25.7,1012.7,7.0,W,0.0,W,65.0,No,15.1,1013.0,Sale,26.0
2009-01-16,13.0,69.0,25.0,4.0,20.3,W,8.7,8.4,28.0,No,21.2,1015.7,7.0,WSW,0.4,W,91.0,No,12.7,1014.8,Sale,39.0
2009-01-17,14.1,35.0,40.0,1.0,20.7,W,10.3,7.4,15.0,No,22.4,1021.8,7.0,SE,0.4,SE,60.0,No,9.3,1023.2,Sale,24.0
2009-01-18,13.8,35.0,46.0,0.0,22.7,NW,13.6,4.6,9.0,No,24.3,1018.9,0.0,ESE,0.0,ESE,72.0,No,6.7,1022.1,Sale,24.0
2009-01-19,16.8,37.0,46.0,1.0,26.9,NNE,13.2,6.8,4.0,No,28.3,1011.1,1.0,ESE,0.0,ESE,76.0,No,8.4,1014.6,Sale,28.0
2009-01-20,22.8,57.0,11.0,4.0,39.3,NNE,11.8,7.6,7.0,No,39.7,1002.5,1.0,WNW,0.0,W,53.0,No,12.5,1005.8,Sale,35.0
2009-01-21,19.4,41.0,47.0,3.0,24.6,NNE,13.2,13.2,9.0,No,27.2,1007.8,3.0,ESE,0.0,ESE,56.0,No,12.0,1010.6,Sale,22.0
2009-01-22,27.0,70.0,59.0,8.0,26.8,N,5.5,7.8,24.0,Yes,33.3,995.0,7.0,NNW,0.0,NW,53.0,No,13.8,998.3,Sale,33.0
2009-01-23,18.0,43.0,49.0,2.0,22.5,SW,11.8,6.6,13.0,Yes,24.0,1004.5,2.0,E,1.2,E,46.0,Yes,15.2,1008.2,Sale,33.0
2009-01-24,18.5,76.0,35.0,3.0,22.7,WSW,10.9,8.6,37.0,No,23.7,1009.9,7.0,WNW,1.2,WSW,69.0,Yes,13.2,1003.8,Sale,39.0
2009-01-25,15.1,37.0,48.0,0.0,23.0,NNW,12.6,9.0,7.0,No,25.0,1017.4,0.0,ESE,0.0,E,65.0,No,6.6,1018.2,Sale,26.0
2009-01-26,17.8,41.0,49.0,1.0,23.1,NNW,13.1,6.0,7.0,No,24.9,1021.9,4.0,ESE,0.0,ESE,69.0,No,10.4,1022.2,Sale,26.0
2009-01-27,19.2,37.0,43.0,1.0,27.8,E,12.0,7.2,11.0,No,29.0,1014.5,3.0,ENE,0.0,ESE,75.0,No,16.3,1018.1,Sale,22.0
2009-01-28,22.1,46.0,19.0,1.0,40.2,N,12.5,7.6,6.0,No,41.2,1009.6,0.0,E,0.0,WSW,77.0,No,12.6,1013.1,Sale,9.0
2009-01-29,29.1,41.0,15.0,2.0,42.6,SSW,12.5,9.2,6.0,No,43.4,1009.3,1.0,E,0.0,WNW,51.0,No,17.3,1011.3,Sale,19.0
2009-01-30,28.6,48.0,10.0,1.0,42.9,WNW,12.7,12.6,11.0,No,43.4,1008.5,0.0,SE,0.0,S,45.0,No,18.9,1011.8,Sale,13.0
2009-01-31,22.8,44.0,38.0,1.0,31.7,S,11.3,11.2,6.0,No,34.8,1012.7,2.0,S,0.0,S,72.0,No,19.5,1012.2,Sale,26.0
2009-02-01,18.8,44.0,85.0,8.0,19.6,ESE,0.0,8.8,24.0,No,22.3,1019.3,8.0,ESE,0.8,ESE,95.0,No,18.7,1019.9,Sale,30.0
2009-02-02,21.8,33.0,90.0,8.0,21.8,WSW,0.1,1.6,17.0,Yes,24.6,1010.0,8.0,SE,0.2,SSE,86.0,No,18.5,1011.3,Sale,11.0
2009-02-03,18.4,37.0,71.0,8.0,19.8,ESE,0.0,2.4,24.0,No,20.1,1014.4,8.0,ESE,1.2,ESE,87.0,Yes,17.9,1015.0,Sale,30.0
2009-02-04,19.6,39.0,69.0,7.0,24.1,ESE,1.6,1.8,26.0,No,25.1,1009.0,8.0,E,0.0,ESE,93.0,No,17.8,1011.3,Sale,24.0
2009-02-05,20.7,48.0,41.0,1.0,33.0,W,10.5,3.0,15.0,No,37.2,1003.5,7.0,S,0.0,SE,89.0,No,18.8,1005.0,Sale,30.0
2009-02-06,17.7,31.0,58.0,1.0,23.1,S,6.0,10.0,13.0,No,24.7,1008.8,8.0,E,0.0,ENE,76.0,No,14.4,1010.9,Sale,19.0
2009-02-07,24.2,87.0,7.0,1.0,43.9,SSW,10.2,5.6,4.0,No,44.4,999.0,1.0,WNW,0.0,NW,64.0,No,15.7,1003.8,Sale,43.0
2009-02-08,20.0,,64.0,8.0,20.4,WSW,0.1,18.0,9.0,No,24.5,1012.2,8.0,,0.8,S,75.0,No,18.6,1010.7,Sale,22.0
2009-02-09,16.5,,34.0,5.0,19.7,S,10.9,5.0,28.0,No,22.2,1015.5,5.0,,0.6,S,48.0,No,14.0,1016.6,Sale,26.0
2009-02-10,13.9,41.0,32.0,7.0,19.2,W,1.7,7.2,15.0,No,20.5,1015.5,7.0,S,0.0,WSW,56.0,No,10.7,1016.7,Sale,17.0
2009-02-11,14.0,35.0,92.0,8.0,14.4,W,0.7,4.2,19.0,Yes,17.6,1017.8,6.0,SSE,0.0,S,72.0,No,7.9,1017.3,Sale,22.0
2009-02-12,13.8,41.0,71.0,7.0,16.4,WSW,4.5,2.0,7.0,Yes,19.1,1023.7,7.0,SE,21.0,E,88.0,Yes,12.4,1022.4,Sale,17.0
2009-02-13,16.3,57.0,44.0,2.0,21.3,E,2.4,2.4,13.0,No,22.6,1027.4,2.0,E,1.8,E,66.0,Yes,8.5,1028.5,Sale,39.0
2009-02-14,16.4,52.0,50.0,5.0,22.3,ENE,12.1,6.8,9.0,No,23.7,1021.0,1.0,E,0.0,E,65.0,No,9.4,1024.9,Sale,33.0
2009-02-15,18.3,48.0,54.0,6.0,23.0,E,11.1,8.4,19.0,No,24.2,1019.4,3.0,ESE,0.0,ESE,73.0,No,12.0,1020.0,Sale,33.0
2009-02-16,20.2,59.0,34.0,1.0,23.8,ENE,11.4,6.8,37.0,No,25.0,1020.0,6.0,E,0.0,E,61.0,No,16.1,1022.5,Sale,41.0
2009-02-17,18.2,57.0,48.0,3.0,23.8,E,12.0,11.0,19.0,No,24.9,1016.6,1.0,E,0.0,E,70.0,No,12.2,1018.9,Sale,43.0
2009-02-18,18.1,54.0,62.0,8.0,21.9,E,6.0,8.0,9.0,No,23.9,1011.2,7.0,E,0.0,E,81.0,No,13.5,1013.6,Sale,39.0
2009-02-19,19.2,35.0,46.0,1.0,24.2,E,12.1,4.6,13.0,No,25.4,1007.6,1.0,ESE,0.0,E,75.0,No,11.6,1009.4,Sale,22.0
2009-02-20,16.4,41.0,56.0,7.0,22.5,NW,3.8,6.8,9.0,No,24.4,1011.4,7.0,SW,0.0,W,97.0,No,11.3,1011.5,Sale,28.0
2009-02-21,16.9,31.0,50.0,5.0,24.3,NW,9.6,2.6,13.0,No,25.1,1015.4,1.0,ESE,0.2,SE,74.0,No,10.6,1016.6,Sale,15.0
2009-02-22,16.6,46.0,53.0,3.0,23.8,ENE,10.3,5.0,11.0,No,24.3,1015.8,7.0,E,0.0,E,93.0,No,11.6,1018.2,Sale,35.0
