wind dir 9 am,wind gust dir,date,wind speed 9 am,wind dir 3 pm,max temp c,temp 9 am c,humidity 3 pm,humidity 9 am,rain today,temp 3 pm c,location,wind gust speed,wind speed 3 pm,rain tomorrow,min temp c,rainfall
ESE,E,2009-01-01,28.0,SE,31.8,18.2,28.0,62.0,No,30.1,SalmonGums,46.0,20.0,No,14.8,0.4
NE,NNE,2009-01-02,24.0,NNW,37.6,21.2,22.0,58.0,No,35.7,SalmonGums,43.0,17.0,No,14.7,0.0
SSW,SSW,2009-01-03,15.0,SSW,32.0,23.5,37.0,60.0,No,30.4,SalmonGums,54.0,30.0,No,15.8,0.0
SE,E,2009-01-04,24.0,ESE,30.8,19.0,29.0,66.0,No,28.7,SalmonGums,50.0,22.0,No,17.0,0.0
NE,SSE,2009-01-05,15.0,E,35.9,19.7,21.0,61.0,No,33.2,SalmonGums,41.0,11.0,No,11.0,0.0
SE,SSE,2009-01-06,19.0,ESE,31.8,20.3,32.0,67.0,No,30.4,SalmonGums,44.0,19.0,No,15.6,0.0
ENE,ENE,2009-01-07,28.0,E,30.9,19.2,33.0,68.0,No,28.7,SalmonGums,46.0,24.0,No,16.2,0.0
ENE,ESE,2009-01-08,24.0,E,34.3,20.7,30.0,60.0,No,31.9,SalmonGums,44.0,22.0,No,15.9,0.0
ENE,SE,2009-01-09,22.0,ENE,34.5,20.7,25.0,59.0,No,32.6,SalmonGums,46.0,9.0,No,15.1,0.0
NE,SSE,2009-01-10,15.0,SSE,35.3,21.1,23.0,52.0,No,34.2,SalmonGums,50.0,11.0,No,14.3,0.0
NNE,NNW,2009-01-11,19.0,WNW,38.0,23.1,19.0,47.0,No,35.7,SalmonGums,39.0,19.0,No,10.2,0.0
N,NW,2009-01-12,35.0,SSW,42.5,32.0,34.0,18.0,No,30.2,SalmonGums,76.0,41.0,No,23.0,0.0
SSW,SSE,2009-01-13,17.0,W,26.9,19.4,31.0,62.0,No,25.5,SalmonGums,39.0,13.0,No,14.1,0.8
E,SE,2009-01-14,9.0,SSE,28.3,19.6,32.0,58.0,No,27.2,SalmonGums,41.0,19.0,No,8.7,0.0
E,E,2009-01-15,26.0,E,31.9,19.4,22.0,59.0,No,29.7,SalmonGums,39.0,22.0,No,10.2,0.0
NNE,NE,2009-01-16,26.0,NNE,37.0,21.2,13.0,54.0,No,35.1,SalmonGums,39.0,19.0,No,14.6,0.0
NNW,SSW,2009-01-17,24.0,S,39.0,28.9,28.0,20.0,No,33.7,SalmonGums,54.0,31.0,No,21.2,0.0
SE,S,2009-01-18,19.0,S,25.8,19.9,55.0,73.0,No,24.2,SalmonGums,46.0,35.0,Yes,18.1,0.0
SE,SSE,2009-01-19,24.0,S,18.2,15.4,94.0,94.0,Yes,16.0,SalmonGums,41.0,22.0,Yes,15.0,16.8
SE,SE,2009-01-20,11.0,SSW,26.5,16.1,44.0,62.0,Yes,24.6,SalmonGums,31.0,19.0,No,13.0,11.2
N,WSW,2009-01-21,4.0,W,33.7,19.2,23.0,70.0,No,31.1,SalmonGums,48.0,28.0,No,10.9,0.0
SW,SSW,2009-01-22,19.0,SSW,29.3,20.5,34.0,74.0,No,27.5,SalmonGums,39.0,15.0,No,16.8,0.0
WSW,S,2009-01-23,22.0,SSW,30.2,22.4,37.0,64.0,No,29.3,SalmonGums,44.0,24.0,No,13.0,0.0
NNE,SSE,2009-01-24,15.0,SSW,33.8,18.6,24.0,66.0,No,31.6,SalmonGums,44.0,11.0,No,10.6,0.0
ENE,SE,2009-01-25,15.0,NE,37.0,22.6,19.0,52.0,No,34.6,SalmonGums,50.0,15.0,No,12.5,0.0
NNE,NNW,2009-01-26,30.0,N,43.4,28.9,14.0,22.0,No,41.4,SalmonGums,57.0,33.0,Yes,20.8,0.0
SSE,S,2009-01-27,19.0,E,21.9,18.2,92.0,94.0,Yes,20.6,SalmonGums,33.0,13.0,Yes,18.0,7.4
ENE,E,2009-01-28,11.0,ESE,20.8,19.4,94.0,95.0,Yes,20.7,SalmonGums,26.0,11.0,Yes,18.1,47.8
S,ESE,2009-01-29,13.0,SE,24.8,19.5,72.0,95.0,Yes,23.6,SalmonGums,39.0,19.0,No,17.6,28.8
ESE,E,2009-01-30,19.0,E,25.4,18.0,66.0,89.0,No,24.8,SalmonGums,39.0,20.0,No,17.2,0.0
E,ESE,2009-01-31,20.0,E,24.3,18.6,74.0,89.0,No,23.3,SalmonGums,33.0,20.0,No,17.2,0.0
E,ESE,2009-02-01,15.0,ESE,32.6,22.5,50.0,80.0,No,31.8,SalmonGums,31.0,13.0,No,18.3,0.0
