WindDir9am,Humidity3pm,RainToday,Location,RainTomorrow,Humidity9am,Cloud3pm,WindGustDir,Temp9amC,Date,Temp3pmC,MinTempC,Pressure9am,WindSpeed3pm,Evaporation,WindGustSpeed,Rainfall,Pressure3pm,Sunshine,WindSpeed9am,WindDir3pm,MaxTempC,Cloud9am
S,84.0,Yes,Sydney,Yes,92.0,8.0,,20.7,2008-02-01,20.9,19.5,1017.6,20.0,6.2,,15.6,1017.4,0.0,17.0,SSW,22.4,8.0
W,73.0,Yes,Sydney,Yes,83.0,7.0,,22.4,2008-02-02,24.8,19.5,1017.9,13.0,3.4,,6.0,1016.4,2.7,9.0,E,25.6,7.0
ESE,86.0,Yes,Sydney,Yes,88.0,8.0,,23.5,2008-02-03,23.0,21.6,1016.7,2.0,2.4,,6.6,1015.6,0.1,17.0,ESE,24.5,7.0
NNE,90.0,Yes,Sydney,Yes,83.0,8.0,,21.4,2008-02-04,20.9,20.2,1014.2,20.0,2.2,,18.8,1011.8,0.0,22.0,E,22.8,8.0
NNE,74.0,Yes,Sydney,Yes,88.0,8.0,,22.5,2008-02-05,25.5,19.7,1008.3,6.0,,,77.4,1004.8,0.0,11.0,W,25.7,8.0
W,62.0,Yes,Sydney,Yes,69.0,6.0,,23.8,2008-02-06,26.0,20.2,1002.7,22.0,2.6,,1.6,998.6,8.6,9.0,ENE,27.2,6.0
W,80.0,Yes,Sydney,Yes,75.0,7.0,,21.7,2008-02-07,22.3,18.6,999.0,15.0,5.2,,6.2,1000.3,5.2,15.0,S,26.3,4.0
S,61.0,Yes,Sydney,Yes,77.0,8.0,,18.9,2008-02-08,21.1,17.2,1008.3,15.0,5.8,,27.6,1007.4,2.1,7.0,SE,22.3,7.0
SSW,91.0,Yes,Sydney,Yes,92.0,7.0,,17.1,2008-02-09,16.5,16.4,1006.4,9.0,4.8,,12.6,1007.6,3.0,19.0,W,20.8,7.0
W,53.0,Yes,Sydney,No,80.0,2.0,,17.2,2008-02-10,23.3,14.6,1014.0,20.0,4.4,,8.8,1013.4,10.1,11.0,SSE,24.2,4.0
