WindGustDir,Cloud9am,Temp9amC,RainToday,Sunshine,Pressure3pm,WindSpeed3pm,WindDir9am,WindGustSpeed,RainTomorrow,Cloud3pm,WindSpeed9am,Date,MinTempC,Location,Evaporation,MaxTempC,WindDir3pm,Rainfall,Humidity9am,Temp3pmC,Humidity3pm,Pressure9am
S,6.0,22.9,No,12.9,1000.2,33.0,NW,72.0,No,6.0,15.0,2009-01-01,17.7,SydneyAirport,9.8,35.1,NW,0.0,63.0,34.0,13.0,1005.3
S,5.0,20.6,No,5.9,1014.1,35.0,SSE,63.0,No,6.0,15.0,2009-01-02,18.5,SydneyAirport,11.0,23.0,SE,0.0,63.0,20.1,58.0,1012.9
,7.0,18.9,No,0.5,1019.4,17.0,ESE,,No,8.0,15.0,2009-01-03,16.9,SydneyAirport,9.0,23.2,ENE,0.0,52.0,22.0,50.0,1021.8
NE,2.0,22.9,No,11.3,1014.9,48.0,NNE,65.0,No,1.0,24.0,2009-01-04,18.7,SydneyAirport,5.4,27.1,NE,0.0,60.0,25.9,51.0,1018.5
NNE,6.0,24.9,No,12.2,1008.0,35.0,WNW,63.0,No,3.0,11.0,2009-01-05,20.2,SydneyAirport,10.0,31.6,NE,0.0,58.0,29.0,52.0,1013.2
NE,1.0,22.7,No,11.8,1007.8,20.0,S,41.0,No,1.0,19.0,2009-01-06,19.9,SydneyAirport,10.0,29.7,E,0.0,82.0,28.7,54.0,1011.7
S,1.0,22.3,No,9.3,1004.7,26.0,SSE,59.0,No,7.0,15.0,2009-01-07,20.6,SydneyAirport,9.0,34.9,NE,0.0,79.0,30.3,52.0,1010.0
SSW,8.0,20.7,No,0.0,1013.6,35.0,S,56.0,No,8.0,33.0,2009-01-08,20.2,SydneyAirport,9.8,21.7,S,0.2,85.0,19.7,78.0,1012.4
SSE,7.0,19.4,No,5.9,1018.8,28.0,SSE,50.0,No,5.0,30.0,2009-01-09,17.4,SydneyAirport,7.6,22.9,SE,0.0,54.0,22.3,44.0,1020.2
ENE,7.0,20.3,No,6.1,1013.8,28.0,E,48.0,No,6.0,17.0,2009-01-10,16.3,SydneyAirport,7.6,24.0,NE,0.0,49.0,23.2,44.0,1017.0
NE,4.0,23.1,No,8.7,1011.3,33.0,NNE,54.0,No,1.0,24.0,2009-01-11,18.0,SydneyAirport,6.6,26.6,NE,0.0,57.0,25.7,48.0,1013.9
S,1.0,21.8,No,11.4,1016.5,28.0,S,39.0,No,3.0,9.0,2009-01-12,18.5,SydneyAirport,8.8,24.0,S,0.8,81.0,23.7,72.0,1015.5
NNE,6.0,21.9,No,11.1,1016.1,35.0,SSE,59.0,No,1.0,11.0,2009-01-13,19.3,SydneyAirport,4.2,27.9,NE,0.6,84.0,26.7,48.0,1019.5
NE,0.0,26.5,No,13.0,1010.5,46.0,N,67.0,No,1.0,9.0,2009-01-14,20.9,SydneyAirport,10.2,32.0,NE,0.0,57.0,30.9,39.0,1014.5
S,1.0,29.6,No,9.4,1006.6,26.0,ENE,81.0,Yes,6.0,6.0,2009-01-15,22.6,SydneyAirport,14.2,38.8,NNE,0.0,42.0,32.0,43.0,1009.1
SSE,1.0,20.5,Yes,10.1,1008.9,24.0,S,54.0,No,0.0,17.0,2009-01-16,18.4,SydneyAirport,10.2,26.3,E,5.4,73.0,25.5,54.0,1013.0
S,7.0,18.8,No,6.5,1020.8,33.0,SSE,54.0,No,3.0,43.0,2009-01-17,17.1,SydneyAirport,10.4,20.7,S,0.0,58.0,19.8,57.0,1020.2
ENE,1.0,19.3,No,12.7,1019.8,30.0,WSW,43.0,No,1.0,9.0,2009-01-18,14.4,SydneyAirport,5.6,25.0,ENE,0.0,65.0,23.5,43.0,1022.0
NNE,3.0,22.2,No,12.7,1014.7,37.0,N,59.0,No,6.0,22.0,2009-01-19,17.0,SydneyAirport,11.0,27.3,NE,0.0,53.0,25.6,49.0,1019.2
NE,1.0,25.8,No,12.4,1009.9,41.0,N,67.0,Yes,1.0,7.0,2009-01-20,19.5,SydneyAirport,9.0,31.7,NE,0.0,51.0,31.1,38.0,1013.8
SSW,2.0,27.6,Yes,7.4,1007.6,39.0,NW,59.0,No,3.0,13.0,2009-01-21,20.9,SydneyAirport,12.8,33.7,NE,3.0,57.0,31.2,45.0,1011.8
N,6.0,29.4,No,9.8,1004.8,39.0,NNW,63.0,No,5.0,26.0,2009-01-22,22.6,SydneyAirport,8.0,34.6,N,0.6,42.0,33.0,40.0,1008.7
NE,1.0,25.3,No,11.9,1007.3,20.0,SSW,80.0,No,1.0,13.0,2009-01-23,24.7,SydneyAirport,14.2,32.1,ESE,0.0,80.0,29.8,56.0,1009.3
S,6.0,31.7,No,11.1,1002.9,31.0,NW,69.0,No,2.0,11.0,2009-01-24,24.1,SydneyAirport,10.6,41.8,SE,0.0,52.0,34.4,37.0,1004.6
SSE,6.0,20.2,No,6.8,1018.5,20.0,S,44.0,No,4.0,22.0,2009-01-25,19.6,SydneyAirport,13.6,25.0,SE,0.0,69.0,24.0,52.0,1019.5
S,8.0,21.4,No,1.2,1019.3,30.0,S,39.0,Yes,7.0,17.0,2009-01-26,20.1,SydneyAirport,6.8,24.9,S,0.0,81.0,24.1,81.0,1019.4
NE,8.0,20.2,Yes,1.7,1020.1,15.0,S,39.0,No,8.0,24.0,2009-01-27,19.8,SydneyAirport,1.8,24.6,S,8.2,98.0,21.5,96.0,1021.1
NE,4.0,24.6,No,12.3,1015.5,35.0,N,54.0,No,0.0,24.0,2009-01-28,19.5,SydneyAirport,1.8,29.4,NE,0.2,73.0,29.2,50.0,1018.4
NE,1.0,25.5,No,12.5,1016.2,37.0,N,57.0,No,1.0,13.0,2009-01-29,20.7,SydneyAirport,8.6,30.0,NE,0.0,70.0,28.7,59.0,1018.5
NE,1.0,24.9,No,13.0,1015.4,41.0,NNE,61.0,No,0.0,15.0,2009-01-30,20.4,SydneyAirport,10.2,30.2,NNE,0.0,65.0,29.6,48.0,1018.7
NNE,2.0,24.8,No,11.5,1013.9,31.0,NNE,61.0,No,3.0,15.0,2009-01-31,21.6,SydneyAirport,10.6,31.2,NE,0.0,76.0,29.5,51.0,1017.4
E,1.0,23.5,No,11.1,1016.2,24.0,SSE,41.0,No,6.0,17.0,2009-02-01,20.9,SydneyAirport,9.2,28.2,SSE,0.0,78.0,26.9,69.0,1016.3
NE,7.0,26.4,No,9.8,1011.8,33.0,NE,63.0,No,3.0,13.0,2009-02-02,22.7,SydneyAirport,6.4,30.4,NE,0.0,70.0,29.8,48.0,1016.2
S,7.0,25.8,No,7.5,1010.2,24.0,NNE,46.0,No,5.0,13.0,2009-02-03,21.9,SydneyAirport,10.8,28.3,SSE,0.0,59.0,26.4,63.0,1010.9
ENE,7.0,23.5,No,7.1,1009.2,24.0,SSE,37.0,No,3.0,19.0,2009-02-04,21.3,SydneyAirport,7.0,28.0,E,0.0,86.0,27.3,64.0,1011.7
NE,1.0,26.6,No,12.2,1005.4,31.0,N,63.0,No,1.0,17.0,2009-02-05,22.6,SydneyAirport,6.6,31.5,NE,0.0,67.0,30.7,52.0,1009.1
NNE,5.0,23.8,No,10.8,1008.1,30.0,SE,59.0,No,1.0,17.0,2009-02-06,21.4,SydneyAirport,9.8,31.7,ENE,0.0,81.0,30.8,53.0,1011.2
NE,1.0,27.1,No,11.8,1009.9,44.0,NNE,67.0,No,0.0,9.0,2009-02-07,21.5,SydneyAirport,10.4,34.9,NE,0.0,57.0,31.9,32.0,1013.3
S,0.0,25.2,No,12.2,1007.1,39.0,NNE,59.0,No,1.0,20.0,2009-02-08,22.0,SydneyAirport,14.2,31.1,NE,0.0,64.0,30.2,43.0,1010.8
S,7.0,20.3,No,0.0,1011.7,31.0,SSW,57.0,Yes,8.0,35.0,2009-02-09,20.0,SydneyAirport,9.0,21.5,SSW,0.0,92.0,19.8,88.0,1012.0
S,8.0,18.4,Yes,0.0,1010.2,31.0,SSW,54.0,Yes,8.0,17.0,2009-02-10,17.8,SydneyAirport,1.6,19.5,S,1.2,93.0,18.7,88.0,1012.0
SSW,8.0,17.8,Yes,1.5,1011.3,33.0,SSW,56.0,Yes,7.0,35.0,2009-02-11,17.4,SydneyAirport,2.2,22.1,SSW,2.8,81.0,21.4,70.0,1011.4
,7.0,19.1,Yes,1.1,1019.0,31.0,SSW,,Yes,7.0,28.0,2009-02-12,17.0,SydneyAirport,4.0,21.5,SE,4.8,80.0,19.9,64.0,1017.6
SE,8.0,18.5,Yes,0.0,1025.1,28.0,SE,52.0,Yes,8.0,35.0,2009-02-13,17.0,SydneyAirport,5.4,20.2,E,1.8,81.0,17.6,95.0,1025.5
SE,8.0,19.3,Yes,0.0,1019.5,22.0,ESE,52.0,Yes,8.0,28.0,2009-02-14,16.5,SydneyAirport,4.4,21.3,SE,41.8,66.0,18.4,82.0,1023.1
SSE,8.0,19.5,Yes,0.2,1014.1,30.0,S,54.0,Yes,8.0,28.0,2009-02-15,17.0,SydneyAirport,2.4,23.2,SSE,14.0,88.0,20.9,85.0,1014.9
SSE,6.0,21.5,Yes,6.4,1017.8,37.0,SE,61.0,Yes,6.0,35.0,2009-02-16,17.8,SydneyAirport,4.8,24.6,SSE,16.6,75.0,22.8,58.0,1017.8
SE,8.0,21.2,Yes,0.0,1015.6,26.0,ESE,50.0,Yes,8.0,20.0,2009-02-17,18.3,SydneyAirport,7.4,22.8,SE,3.6,69.0,21.4,69.0,1017.0
,8.0,20.4,Yes,7.1,1008.2,30.0,SW,,No,6.0,26.0,2009-02-18,18.9,SydneyAirport,3.2,25.0,SSE,15.0,90.0,24.3,68.0,1010.2
,1.0,23.4,No,11.4,1004.7,17.0,NNW,,No,4.0,20.0,2009-02-19,19.5,SydneyAirport,3.6,31.2,ENE,0.6,69.0,28.9,51.0,1007.9
E,4.0,23.5,No,9.6,1010.1,24.0,WNW,31.0,No,2.0,7.0,2009-02-20,19.9,SydneyAirport,7.8,27.4,E,0.0,69.0,26.2,63.0,1011.7
SSW,8.0,22.2,No,0.3,1013.6,26.0,SSW,33.0,Yes,7.0,4.0,2009-02-21,21.7,SydneyAirport,6.4,24.2,SSE,0.0,87.0,21.7,91.0,1013.4
SSW,6.0,22.3,Yes,6.3,1017.5,19.0,SE,30.0,No,3.0,17.0,2009-02-22,20.4,SydneyAirport,2.4,25.1,SE,2.6,63.0,23.9,61.0,1018.5
NE,7.0,23.6,No,5.3,1012.7,31.0,N,52.0,No,4.0,9.0,2009-02-23,19.8,SydneyAirport,4.6,28.8,NE,0.0,70.0,27.6,58.0,1016.9
S,1.0,24.3,No,10.7,1013.5,30.0,NW,56.0,No,1.0,17.0,2009-02-24,20.2,SydneyAirport,5.4,27.8,SSE,0.0,68.0,24.3,77.0,1014.1
SE,7.0,21.4,No,7.0,1014.8,24.0,S,37.0,No,3.0,13.0,2009-02-25,20.6,SydneyAirport,7.0,25.8,SE,0.0,89.0,25.1,66.0,1016.7
S,8.0,19.7,No,6.8,1018.8,33.0,W,48.0,No,2.0,13.0,2009-02-26,19.3,SydneyAirport,7.6,23.0,S,0.0,79.0,22.6,59.0,1020.4
SSW,7.0,20.3,No,5.6,1015.7,20.0,SSW,33.0,No,2.0,22.0,2009-02-27,18.7,SydneyAirport,6.0,23.9,SE,0.0,74.0,23.0,50.0,1018.0
NE,5.0,21.7,No,5.6,1006.6,28.0,NNW,37.0,No,2.0,15.0,2009-02-28,17.8,SydneyAirport,4.8,27.7,ENE,0.0,60.0,26.8,53.0,1009.6
SE,8.0,23.2,No,10.0,1010.8,19.0,E,31.0,No,5.0,11.0,2009-03-01,21.3,SydneyAirport,6.8,26.1,ESE,0.0,66.0,25.1,56.0,1010.8
ENE,7.0,23.6,No,9.0,1015.1,24.0,NNE,44.0,No,6.0,11.0,2009-03-02,21.3,SydneyAirport,6.0,26.6,ENE,0.0,65.0,25.3,56.0,1016.5
NE,8.0,24.7,No,6.9,1014.9,30.0,NNE,44.0,No,6.0,24.0,2009-03-03,21.3,SydneyAirport,6.8,28.3,NE,0.0,58.0,26.2,51.0,1017.9
WSW,8.0,25.4,No,0.5,1008.7,20.0,N,57.0,No,8.0,9.0,2009-03-04,22.9,SydneyAirport,7.6,25.9,WSW,0.0,66.0,22.9,46.0,1007.9
,1.0,19.2,No,11.0,1009.0,24.0,WSW,,Yes,1.0,35.0,2009-03-05,15.6,SydneyAirport,5.0,23.2,SSE,0.0,39.0,22.6,39.0,1009.8
ENE,1.0,18.6,Yes,9.8,1011.4,20.0,NW,43.0,No,1.0,11.0,2009-03-06,14.1,SydneyAirport,7.8,23.7,ESE,17.6,61.0,22.8,45.0,1013.5
SSW,5.0,20.4,No,9.2,1011.8,24.0,SSW,30.0,No,1.0,19.0,2009-03-07,18.2,SydneyAirport,4.8,25.5,SE,0.0,80.0,24.8,63.0,1014.3
S,6.0,21.8,No,4.1,1018.8,31.0,SSW,50.0,No,8.0,22.0,2009-03-08,20.3,SydneyAirport,5.0,22.9,S,0.0,85.0,20.4,89.0,1017.8
NE,7.0,19.0,No,4.4,1020.3,15.0,SSW,39.0,No,6.0,19.0,2009-03-09,17.9,SydneyAirport,2.0,24.3,SE,0.0,93.0,23.0,71.0,1022.2
ENE,7.0,23.1,No,6.7,1021.4,26.0,NE,39.0,No,7.0,20.0,2009-03-10,19.0,SydneyAirport,3.6,25.1,E,0.2,64.0,24.5,52.0,1022.0
E,5.0,22.8,No,1.8,1022.8,30.0,ESE,41.0,No,7.0,22.0,2009-03-11,19.4,SydneyAirport,6.2,23.9,E,0.4,61.0,22.3,69.0,1023.9
,4.0,22.4,No,9.8,1020.1,26.0,NE,,No,5.0,4.0,2009-03-12,18.2,SydneyAirport,5.0,26.8,ENE,0.0,72.0,25.3,47.0,1023.0
NE,6.0,21.4,No,2.2,1016.0,6.0,WNW,28.0,No,7.0,6.0,2009-03-13,19.6,SydneyAirport,6.4,25.8,W,0.0,84.0,24.5,68.0,1018.5
WNW,1.0,23.2,No,6.4,1009.8,28.0,N,69.0,Yes,5.0,7.0,2009-03-14,19.6,SydneyAirport,4.0,29.3,NE,0.0,76.0,27.8,59.0,1014.7
E,2.0,22.1,Yes,6.6,1007.4,24.0,WNW,35.0,No,3.0,13.0,2009-03-15,18.5,SydneyAirport,8.4,27.3,E,25.6,79.0,26.7,54.0,1010.6
WSW,1.0,18.5,No,10.8,1008.0,11.0,W,43.0,No,1.0,17.0,2009-03-16,15.9,SydneyAirport,6.8,27.6,NW,0.2,41.0,27.4,21.0,1011.9
SSW,1.0,19.1,No,11.0,1012.6,24.0,W,41.0,No,1.0,24.0,2009-03-17,15.2,SydneyAirport,6.1,24.1,S,0.0,42.0,22.3,59.0,1013.4
NE,1.0,20.1,No,10.1,1015.9,30.0,WNW,43.0,No,1.0,9.0,2009-03-18,16.9,SydneyAirport,5.4,26.3,NE,0.0,71.0,25.8,47.0,1019.0
,2.0,21.7,No,9.7,1013.3,24.0,NW,,No,7.0,15.0,2009-03-19,17.1,SydneyAirport,6.0,30.4,ENE,0.0,67.0,28.2,53.0,1016.6
E,6.0,21.9,No,8.6,1016.4,28.0,SSW,37.0,No,1.0,9.0,2009-03-20,19.9,SydneyAirport,6.2,28.6,ENE,0.0,91.0,26.6,54.0,1017.5
,6.0,21.6,No,8.7,1017.1,22.0,,,No,3.0,,2009-03-21,19.9,SydneyAirport,6.2,26.3,E,0.0,87.0,25.5,53.0,1018.9
NNE,1.0,21.4,No,8.4,1014.8,28.0,NW,57.0,Yes,6.0,13.0,2009-03-22,17.7,SydneyAirport,5.6,28.0,NE,0.0,71.0,27.0,49.0,1017.9
NNE,3.0,23.8,Yes,10.2,1014.8,28.0,NNE,46.0,No,3.0,17.0,2009-03-23,18.5,SydneyAirport,8.0,27.9,NE,1.4,61.0,27.5,51.0,1017.0
