WindDir3pm,Temp9amF,Temp3pmF,Date,RainToday,Cloud9am,RainTomorrow,Sunshine,MaxTempF,MinTempF,Rainfall,Location,WindGustDir,Pressure9am,Humidity3pm,Pressure3pm,WindGustSpeed,Cloud3pm,Evaporation,WindSpeed9am,WindSpeed3pm,WindDir9am,Humidity9am
ENE,86.18,86.18,2008-12-01,Yes,5.0,No,11.6,88.52,75.92,23.6,Townsville,ENE,1011.9,74.0,1008.9,33.0,4.0,4.6,11.0,26.0,NE,72.0
ENE,85.46000000000001,86.72,2008-12-02,No,2.0,Yes,11.3,89.06,78.62,0.6,Townsville,ENE,1012.4,70.0,1008.9,37.0,2.0,7.6,19.0,28.0,E,72.0
NNE,84.91999999999999,88.16,2008-12-03,Yes,2.0,No,12.5,89.6,78.98,2.4,Townsville,ENE,1013.5,44.0,1010.4,33.0,1.0,11.0,20.0,9.0,ENE,59.0
NE,84.2,86.9,2008-12-04,No,2.0,No,12.6,88.16,75.02,0.0,Townsville,NE,1014.2,62.0,1011.9,41.0,1.0,8.6,11.0,26.0,ENE,63.0
ENE,85.64,87.26,2008-12-05,No,3.0,Yes,12.2,90.14,75.56,0.0,Townsville,ENE,1015.1,65.0,1012.3,39.0,2.0,9.8,20.0,26.0,ESE,65.0
ENE,85.82,87.61999999999999,2008-12-06,Yes,5.0,No,10.8,89.24,79.16,1.4,Townsville,ENE,1013.2,66.0,1009.2,35.0,2.0,10.4,22.0,28.0,NE,74.0
N,84.74,88.7,2008-12-07,No,6.0,Yes,10.6,90.32,80.06,0.0,Townsville,NNE,1010.6,65.0,1006.4,39.0,2.0,9.0,20.0,24.0,N,71.0
ENE,75.92,86.72,2008-12-08,Yes,7.0,Yes,6.0,87.61999999999999,72.5,76.8,Townsville,SSW,1011.0,70.0,1006.3,54.0,3.0,,2.0,13.0,NE,93.0
ENE,84.56,87.44,2008-12-09,Yes,4.0,No,9.4,89.96000000000001,74.84,3.8,Townsville,ESE,1010.3,71.0,1006.3,59.0,4.0,6.0,17.0,28.0,E,76.0
ENE,86.36,87.26,2008-12-10,No,2.0,No,11.4,88.7,81.5,0.0,Townsville,ENE,1010.4,73.0,1007.2,39.0,4.0,6.2,20.0,28.0,ENE,72.0
ENE,85.82,87.8,2008-12-11,No,4.0,No,11.5,88.88000000000001,81.14,0.0,Townsville,NE,1010.8,63.0,1007.1,33.0,2.0,9.4,20.0,26.0,ENE,70.0
ENE,85.64,86.53999999999999,2008-12-12,No,4.0,No,11.1,88.52,77.36,0.0,Townsville,ENE,1011.0,57.0,1008.1,39.0,1.0,10.0,15.0,22.0,NE,61.0
N,85.1,89.06,2008-12-13,No,7.0,No,9.2,89.96000000000001,79.16,0.0,Townsville,N,1009.7,61.0,1005.9,33.0,5.0,8.6,17.0,20.0,N,71.0
N,85.82,91.4,2008-12-14,No,7.0,Yes,7.8,93.2,81.5,0.0,Townsville,WSW,1006.7,66.0,1002.2,80.0,2.0,7.0,13.0,15.0,NNW,74.0
NE,87.26,90.14,2008-12-15,Yes,7.0,No,10.6,92.84,74.12,21.2,Townsville,ENE,1007.8,42.0,1004.8,28.0,5.0,8.4,17.0,17.0,SW,36.0
ENE,85.82,87.98,2008-12-16,No,4.0,No,12.3,89.06,78.98,0.0,Townsville,ENE,1011.0,53.0,1008.8,43.0,2.0,8.6,26.0,31.0,ESE,67.0
ENE,85.64,86.36,2008-12-17,No,2.0,No,11.8,88.16,80.96,0.0,Townsville,ENE,1012.1,64.0,1009.2,41.0,2.0,11.2,24.0,30.0,ENE,63.0
ENE,85.64,87.98,2008-12-18,No,3.0,No,11.5,88.52,78.98,0.0,Townsville,NNE,1010.8,60.0,1007.6,37.0,3.0,11.0,19.0,20.0,ENE,64.0
ENE,84.91999999999999,86.18,2008-12-19,No,7.0,No,0.7,88.7,81.14,0.0,Townsville,ENE,1009.3,73.0,1007.1,30.0,8.0,7.2,4.0,22.0,NW,70.0
N,88.52,89.24,2008-12-20,No,7.0,No,10.3,92.3,79.88,0.0,Townsville,ESE,1009.2,64.0,1005.8,37.0,6.0,4.4,9.0,20.0,NNE,65.0
ENE,83.66,87.26,2008-12-21,No,4.0,No,6.3,91.4,79.34,0.2,Townsville,ENE,1010.2,64.0,1008.6,39.0,6.0,9.0,9.0,22.0,NW,75.0
E,83.84,84.74,2008-12-22,No,7.0,No,3.9,90.32,78.08,0.0,Townsville,NE,1012.2,69.0,1010.1,44.0,7.0,10.6,13.0,30.0,SE,75.0
ENE,84.91999999999999,86.72,2008-12-23,No,4.0,No,10.7,88.16,77.72,0.4,Townsville,E,1013.0,50.0,1009.8,39.0,2.0,8.8,28.0,30.0,E,57.0
ENE,83.84,86.9,2008-12-24,No,2.0,No,12.3,88.7,75.38,0.0,Townsville,ENE,1012.2,52.0,1009.2,39.0,3.0,10.2,13.0,30.0,E,54.0
ENE,84.91999999999999,86.9,2008-12-25,No,6.0,No,12.5,89.06,75.38,0.0,Townsville,NE,1010.4,54.0,1008.7,37.0,4.0,11.0,13.0,24.0,NE,59.0
ENE,85.64,87.44,2008-12-26,No,7.0,No,11.6,90.32,77.18,0.0,Townsville,NE,1010.3,58.0,1008.7,37.0,4.0,9.6,20.0,30.0,ESE,60.0
ENE,87.08000000000001,86.72,2008-12-27,No,6.0,No,11.0,91.76,79.7,0.0,Townsville,E,1010.0,65.0,1006.8,39.0,6.0,10.2,20.0,26.0,E,66.0
NNE,85.28,88.52,2008-12-28,No,7.0,Yes,8.7,92.11999999999999,80.06,0.0,Townsville,N,1008.1,62.0,1003.6,41.0,7.0,10.6,13.0,28.0,WNW,75.0
N,82.58,86.53999999999999,2008-12-29,Yes,7.0,Yes,3.0,87.98,76.82,14.4,Townsville,ENE,1007.6,66.0,1003.9,35.0,6.0,9.4,28.0,9.0,NE,82.0
N,84.38000000000001,83.12,2008-12-30,Yes,7.0,Yes,3.8,90.14,77.18,2.8,Townsville,W,1007.0,83.0,1004.9,31.0,7.0,5.6,2.0,13.0,NW,66.0
