wind gust speed,temp 9 am f,rain today,min temp f,wind dir 9 am,humidity 3 pm,max temp f,humidity 9 am,location,wind speed 9 am,pressure 9 am,pressure 3 pm,temp 3 pm f,rain tomorrow,date,wind dir 3 pm,wind gust dir,rainfall,wind speed 3 pm
61.0,67.28,No,55.58,NW,34.0,75.56,36.0,Tuggeranong,22.0,1005.6,1003.6,73.58,No,2008-12-01,WNW,WNW,0.0,33.0
48.0,61.519999999999996,No,42.260000000000005,NNW,25.0,75.56,38.0,Tuggeranong,17.0,1008.8,1006.3,73.22,No,2008-12-02,WNW,WNW,0.0,26.0
50.0,66.92,No,48.92,NNW,26.0,78.25999999999999,35.0,Tuggeranong,11.0,1005.7,1005.9,76.28,No,2008-12-03,NW,WNW,0.0,24.0
43.0,61.34,No,52.879999999999995,ENE,32.0,76.64,59.0,Tuggeranong,17.0,1017.7,1014.0,74.48,No,2008-12-04,NE,NE,0.0,17.0
35.0,59.9,No,58.28,E,47.0,84.38000000000001,91.0,Tuggeranong,6.0,1011.7,1007.7,78.08,No,2008-12-05,WSW,WSW,0.4,11.0
46.0,69.44,No,56.84,N,21.0,83.84,48.0,Tuggeranong,11.0,1007.6,1004.8,80.6,No,2008-12-06,NW,NW,0.0,24.0
56.0,69.44,No,61.7,W,12.0,79.52,38.0,Tuggeranong,15.0,1007.0,1005.2,79.16,No,2008-12-07,W,WSW,0.0,24.0
39.0,61.16,No,53.96,WNW,16.0,79.52,55.0,Tuggeranong,11.0,1012.7,1008.1,77.0,No,2008-12-08,NW,NW,0.0,20.0
41.0,62.78,No,50.0,NNE,14.0,82.58,69.0,Tuggeranong,6.0,1009.5,1004.6,78.8,No,2008-12-09,WNW,W,0.0,19.0
39.0,66.56,No,58.459999999999994,NNW,48.0,72.86,53.0,Tuggeranong,6.0,1006.5,1007.0,72.86,No,2008-12-10,ESE,SE,0.4,19.0
41.0,60.62,No,57.02,E,49.0,73.75999999999999,68.0,Tuggeranong,9.0,1012.4,1011.0,69.8,Yes,2008-12-11,ENE,ENE,0.0,20.0
46.0,55.22,Yes,54.5,E,90.0,69.25999999999999,92.0,Tuggeranong,6.0,1012.7,1006.7,57.92,Yes,2008-12-12,E,ENE,4.8,11.0
67.0,68.9,Yes,55.04,NW,65.0,71.78,61.0,Tuggeranong,33.0,992.8,992.6,64.22,No,2008-12-13,WNW,WNW,55.6,37.0
44.0,59.72,No,54.86,WSW,41.0,68.0,52.0,Tuggeranong,24.0,996.2,996.8,66.2,No,2008-12-14,W,WSW,0.0,26.0
41.0,58.82,No,51.26,SSE,39.0,73.75999999999999,48.0,Tuggeranong,20.0,1006.5,1005.6,71.78,No,2008-12-15,NNE,WNW,0.0,13.0
39.0,58.82,No,45.5,NW,34.0,76.28,55.0,Tuggeranong,9.0,1011.2,1008.6,76.1,No,2008-12-16,WNW,NW,0.0,19.0
37.0,66.38,No,50.36,NW,83.0,76.64,54.0,Tuggeranong,4.0,1010.5,1008.7,62.78,Yes,2008-12-17,S,NW,0.0,11.0
46.0,63.5,Yes,55.4,WNW,39.0,75.38,72.0,Tuggeranong,13.0,1003.8,1000.5,73.22,No,2008-12-18,W,W,8.0,26.0
46.0,59.18,No,46.76,S,35.0,69.44,46.0,Tuggeranong,9.0,1005.2,1006.3,66.92,No,2008-12-19,SE,SSE,0.6,20.0
41.0,53.24,No,46.4,SSW,36.0,70.52,57.0,Tuggeranong,13.0,1018.3,1016.2,69.62,No,2008-12-20,NNE,SSE,0.0,13.0
33.0,58.64,No,49.28,E,30.0,77.0,56.0,Tuggeranong,7.0,1020.1,1015.8,74.3,No,2008-12-21,SSE,E,0.0,11.0
