wind gust dir,temp 9 am c,wind speed 9 am,rain tomorrow,wind dir 9 am,date,temp 3 pm c,wind speed 3 pm,location,wind dir 3 pm,pressure 9 am,cloud 3 pm,min temp c,max temp c,pressure 3 pm,wind gust speed,rain today,humidity 3 pm,rainfall,humidity 9 am,cloud 9 am
ESE,21.7,30.0,No,E,2013-03-01,28.4,24.0,Uluru,E,1010.6,,19.7,30.0,1007.5,48.0,No,54.0,0.8,76.0,
E,24.6,22.0,No,E,2013-03-02,31.3,11.0,Uluru,N,1010.5,,21.6,33.1,1006.5,33.0,No,33.0,0.0,44.0,
E,27.6,24.0,No,ENE,2013-03-03,34.5,13.0,Uluru,SSE,1006.9,,21.3,36.1,1002.7,33.0,No,27.0,0.0,39.0,
ENE,28.7,28.0,No,E,2013-03-04,35.4,13.0,Uluru,SSE,1006.0,,22.9,37.7,1002.1,39.0,No,22.0,0.0,35.0,
S,29.9,20.0,No,E,2013-03-05,37.3,19.0,Uluru,S,1006.9,,24.0,39.0,1003.5,39.0,No,21.0,0.0,33.0,
S,30.4,22.0,No,E,2013-03-06,38.1,15.0,Uluru,SW,1007.9,,24.3,39.7,1003.9,46.0,No,17.0,0.0,36.0,
WSW,29.9,24.0,No,E,2013-03-07,37.1,15.0,Uluru,SSE,1008.3,,26.6,38.6,1004.5,33.0,No,21.0,0.0,41.0,
SSE,30.9,13.0,No,E,2013-03-08,36.8,15.0,Uluru,SSW,1008.9,,26.9,39.4,1005.1,54.0,No,24.0,0.0,39.0,
SE,28.6,22.0,No,ESE,2013-03-09,37.5,9.0,Uluru,NE,1010.4,,24.4,40.0,1005.9,54.0,No,24.0,0.0,54.0,
NE,31.0,24.0,No,E,2013-03-10,37.7,13.0,Uluru,SE,1010.7,,25.4,39.8,1006.8,37.0,No,20.0,0.0,40.0,
ENE,31.9,17.0,No,NNE,2013-03-11,37.9,19.0,Uluru,E,1010.3,,23.9,39.5,1006.0,41.0,No,13.0,0.0,26.0,
S,32.0,15.0,No,ENE,2013-03-12,39.7,7.0,Uluru,NE,1009.2,,20.6,40.9,1005.3,57.0,No,13.0,0.0,22.0,
S,24.1,28.0,No,SSE,2013-03-13,34.6,19.0,Uluru,SSW,1012.6,,22.3,37.3,1008.5,52.0,No,24.0,0.0,56.0,
ESE,23.3,26.0,No,ESE,2013-03-14,32.7,11.0,Uluru,SE,1013.8,,19.8,33.8,1009.4,39.0,No,24.0,0.0,34.0,
E,23.5,24.0,No,E,2013-03-15,34.6,7.0,Uluru,E,1015.3,,17.2,35.9,1010.7,35.0,No,13.0,0.0,29.0,
SE,27.9,22.0,No,E,2013-03-16,36.9,22.0,Uluru,ESE,1016.1,,19.1,37.9,1012.7,43.0,No,10.0,0.0,20.0,
ESE,26.4,33.0,No,ESE,2013-03-17,34.2,17.0,Uluru,SE,1018.6,,21.9,35.4,1013.7,46.0,No,20.0,0.0,33.0,
E,24.4,26.0,No,E,2013-03-18,33.5,17.0,Uluru,SSE,1016.3,,19.6,34.9,1012.0,35.0,No,20.0,0.0,32.0,
E,25.5,22.0,No,E,2013-03-19,34.9,19.0,Uluru,ENE,1015.6,,20.0,36.6,1011.5,30.0,No,15.0,0.0,17.0,
WSW,27.5,9.0,No,ENE,2013-03-20,37.8,11.0,Uluru,NNW,1014.8,,19.7,39.6,1009.3,30.0,No,13.0,0.0,17.0,
SSW,33.2,22.0,No,S,2013-03-21,38.7,19.0,Uluru,SW,1010.4,,25.9,39.8,1006.7,39.0,No,17.0,0.0,25.0,
S,25.5,20.0,No,SE,2013-03-22,36.1,17.0,Uluru,SSE,1013.9,,22.9,37.8,1010.2,35.0,No,17.0,0.0,39.0,
E,24.5,28.0,No,E,2013-03-23,32.6,22.0,Uluru,ESE,1014.9,,22.4,34.6,1012.2,46.0,No,25.0,0.4,41.0,
SSW,28.1,26.0,No,E,2013-03-24,35.4,20.0,Uluru,NNE,1015.6,,22.5,37.2,1011.1,61.0,No,21.0,0.0,28.0,
SSW,23.5,9.0,No,SE,2013-03-25,26.9,19.0,Uluru,NNE,1015.3,,21.3,32.5,1011.1,48.0,No,54.0,0.0,55.0,
