Wind.Speed.9.am,Location,Cloud.3.pm,Temp.9.am.F,Pressure.9.am,Rain.Tomorrow,Wind.Gust.Speed,Cloud.9.am,Wind.Dir.9.am,Temp.3.pm.F,Wind.Speed.3.pm,Evaporation,Date,Rain.Today,Max.Temp.F,Humidity.9.am,Wind.Gust.Dir,Wind.Dir.3.pm,Pressure.3.pm,Humidity.3.pm,Min.Temp.F,Rainfall,Sunshine
7.0,WaggaWagga,1.0,69.44,1005.2,No,59.0,1.0,NW,80.6,35.0,9.8,2009-01-01,No,83.12,37.0,WNW,W,1003.5,24.0,49.82,0.0,13.5
22.0,WaggaWagga,0.0,58.459999999999994,1013.9,No,48.0,1.0,SW,73.75999999999999,28.0,14.8,2009-01-02,No,77.54,37.0,WSW,SW,1012.9,10.0,48.02,0.0,13.7
26.0,WaggaWagga,1.0,66.02,1017.8,No,39.0,0.0,ENE,82.4,9.0,9.8,2009-01-03,No,87.26,43.0,NE,NNE,1014.3,18.0,51.8,0.0,13.7
17.0,WaggaWagga,4.0,76.46,1014.8,No,39.0,1.0,NE,92.66,13.0,9.4,2009-01-04,No,95.36,46.0,N,NW,1010.6,19.0,58.459999999999994,0.0,12.1
7.0,WaggaWagga,1.0,74.48,1013.1,No,43.0,1.0,NNE,94.28,19.0,11.6,2009-01-05,No,97.7,23.0,W,SW,1009.8,5.0,53.24,0.0,13.4
6.0,WaggaWagga,0.0,78.44,1011.4,No,72.0,0.0,NE,99.32,30.0,13.0,2009-01-06,No,102.38000000000001,23.0,SW,W,1007.4,3.0,54.5,0.0,13.6
13.0,WaggaWagga,6.0,84.38000000000001,1006.4,No,59.0,1.0,ESE,102.91999999999999,30.0,15.2,2009-01-07,No,107.24,17.0,NNW,W,1002.5,5.0,60.08,0.0,9.3
19.0,WaggaWagga,0.0,66.02,1011.9,No,54.0,1.0,WSW,83.3,28.0,17.0,2009-01-08,No,86.72,38.0,W,WSW,1010.9,8.0,58.1,0.0,12.9
30.0,WaggaWagga,4.0,66.2,1016.9,No,78.0,0.0,E,80.96,20.0,14.0,2009-01-09,No,83.66,46.0,ENE,NE,1013.5,18.0,58.64,0.0,12.8
26.0,WaggaWagga,6.0,66.74000000000001,1013.4,No,61.0,2.0,ENE,80.78,20.0,11.4,2009-01-10,No,85.46000000000001,43.0,ENE,ENE,1008.8,31.0,60.62,0.0,12.7
20.0,WaggaWagga,7.0,72.68,1010.1,No,33.0,1.0,ENE,84.38000000000001,9.0,10.4,2009-01-11,No,88.34,51.0,E,NNW,1007.3,38.0,64.58,0.0,10.1
9.0,WaggaWagga,1.0,76.82,1013.9,No,39.0,1.0,ENE,93.02,15.0,7.2,2009-01-12,No,95.72,53.0,NE,WSW,1011.8,17.0,61.7,0.0,13.5
15.0,WaggaWagga,1.0,77.0,1016.1,No,41.0,0.0,ENE,96.98,13.0,12.8,2009-01-13,No,100.94,50.0,ENE,N,1011.2,16.0,66.92,0.0,13.4
13.0,WaggaWagga,1.0,87.8,1012.3,No,50.0,1.0,N,105.8,24.0,12.0,2009-01-14,No,107.6,29.0,WNW,W,1008.1,10.0,69.62,0.0,13.4
26.0,WaggaWagga,4.0,90.32,1008.6,No,48.0,1.0,W,95.0,26.0,16.8,2009-01-15,No,98.41999999999999,19.0,W,WSW,1009.0,7.0,78.08,0.0,10.1
24.0,WaggaWagga,1.0,68.0,1014.6,No,61.0,1.0,WSW,80.06,37.0,15.4,2009-01-16,No,83.12,35.0,SW,SW,1012.3,15.0,57.2,0.0,13.3
15.0,WaggaWagga,1.0,64.58,1018.4,No,35.0,1.0,ESE,79.88,11.0,15.0,2009-01-17,No,84.74,27.0,E,NE,1016.6,14.0,51.44,0.0,13.4
17.0,WaggaWagga,1.0,66.02,1020.1,No,30.0,1.0,ENE,85.82,9.0,10.2,2009-01-18,No,89.24,45.0,E,NNE,1016.7,14.0,56.66,0.0,12.9
13.0,WaggaWagga,1.0,77.36,1016.0,No,46.0,5.0,ENE,95.0,20.0,9.6,2009-01-19,No,97.52,36.0,W,W,1011.0,10.0,60.62,0.0,12.5
