Rainfall,MinTempC,MaxTempC,Location,WindGustDir,RainToday,Date,WindSpeed9am,WindDir9am,Humidity9am,WindDir3pm,Pressure3pm,Pressure9am,WindSpeed3pm,Temp9amC,RainTomorrow,Humidity3pm,Temp3pmC,WindGustSpeed
0.0,15.7,24.5,Walpole,ESE,No,2009-01-01,17.0,E,73.0,SE,1014.0,1016.5,28.0,18.0,No,66.0,23.1,44.0
0.0,13.2,25.7,Walpole,S,No,2009-01-02,11.0,E,78.0,S,1011.1,1013.4,13.0,20.0,No,71.0,24.7,35.0
0.0,17.1,21.8,Walpole,SE,No,2009-01-03,13.0,SSE,73.0,SSE,1016.6,1017.0,15.0,19.1,No,66.0,20.7,33.0
0.0,12.9,24.9,Walpole,SE,No,2009-01-04,4.0,ESE,74.0,S,1017.4,1019.7,13.0,19.8,No,53.0,23.9,31.0
0.0,14.3,24.5,Walpole,SW,No,2009-01-05,9.0,NE,71.0,SSE,1015.5,1017.5,15.0,20.4,No,75.0,22.4,31.0
0.0,17.4,23.3,Walpole,SE,No,2009-01-06,9.0,SE,73.0,SSE,1017.3,1018.0,19.0,20.5,No,90.0,18.6,39.0
0.0,12.5,23.4,Walpole,SE,No,2009-01-07,15.0,E,68.0,SE,1017.0,1020.4,30.0,17.3,No,55.0,22.2,46.0
0.0,13.1,25.6,Walpole,SE,No,2009-01-08,19.0,E,75.0,SE,1017.6,1020.1,24.0,18.9,No,64.0,24.3,41.0
0.0,13.9,25.6,Walpole,SSE,No,2009-01-09,15.0,E,70.0,SSE,1017.0,1019.6,17.0,19.9,No,67.0,22.8,35.0
0.0,13.3,24.1,Walpole,SSE,No,2009-01-10,4.0,W,98.0,SSE,1015.1,1016.1,17.0,15.9,No,66.0,23.2,30.0
0.0,13.2,31.3,Walpole,SSE,No,2009-01-11,9.0,N,84.0,SSE,1007.1,1011.1,15.0,19.3,No,64.0,25.9,30.0
0.0,16.0,22.6,Walpole,W,No,2009-01-12,15.0,NW,85.0,WSW,1008.3,1005.5,17.0,21.1,No,92.0,16.7,41.0
