Date,WindGustSpeed,MaxTempF,WindDir3pm,Humidity9am,Rainfall,RainTomorrow,Cloud9am,Evaporation,Humidity3pm,WindGustDir,RainToday,WindDir9am,WindSpeed3pm,Location,Pressure3pm,Pressure9am,Temp3pmF,Temp9amF,MinTempF,Sunshine,WindSpeed9am,Cloud3pm
2009-01-01,61.0,68.0,SW,56.0,0.0,No,7.0,5.6,48.0,SSW,No,W,31.0,Watsonia,1006.0,1004.8,64.4,62.42,57.02,8.8,19.0,7.0
2009-01-02,52.0,65.12,SW,75.0,0.8,No,6.0,7.2,41.0,SW,No,SW,24.0,Watsonia,1019.0,1017.8,62.78,53.06,48.02,12.9,13.0,7.0
2009-01-03,28.0,70.52,SW,59.0,0.0,No,1.0,6.2,44.0,SSW,No,SE,17.0,Watsonia,1017.4,1020.7,67.82,55.22,41.36,10.5,6.0,7.0
2009-01-04,30.0,86.9,SSW,73.0,0.0,No,5.0,6.4,16.0,SSW,No,NNE,13.0,Watsonia,1012.7,1016.4,84.2,56.66,45.86,12.5,6.0,4.0
2009-01-05,33.0,85.82,SW,66.0,0.0,No,6.0,7.4,27.0,SW,No,ENE,13.0,Watsonia,1010.1,1011.5,83.12,65.84,51.08,12.3,4.0,2.0
2009-01-06,48.0,89.06,SSW,53.0,0.0,No,0.0,7.2,36.0,SSW,No,E,24.0,Watsonia,1007.4,1010.4,85.46000000000001,69.62,55.04,13.7,6.0,1.0
2009-01-07,39.0,72.68,SW,89.0,0.0,No,8.0,8.8,58.0,SSW,No,SSE,24.0,Watsonia,1009.9,1009.7,71.42,62.42,61.7,4.4,7.0,7.0
2009-01-08,52.0,66.74000000000001,SSW,59.0,0.0,No,2.0,5.2,42.0,S,No,SW,30.0,Watsonia,1018.6,1017.2,63.86,59.18,52.52,11.5,19.0,5.0
2009-01-09,43.0,72.32,SSE,52.0,0.0,No,2.0,5.6,36.0,SW,No,SSE,15.0,Watsonia,1017.3,1021.4,70.52,59.0,49.28,12.6,13.0,7.0
2009-01-10,39.0,78.08,SSW,69.0,0.0,No,7.0,7.2,46.0,SW,No,NW,22.0,Watsonia,1009.6,1013.6,73.75999999999999,59.36,51.44,10.2,4.0,1.0
2009-01-11,41.0,77.72,SSW,85.0,0.0,No,8.0,6.6,51.0,SW,No,E,17.0,Watsonia,1009.4,1011.8,74.84,59.18,56.120000000000005,10.2,6.0,1.0
2009-01-12,30.0,78.8,S,75.0,0.0,No,8.0,5.2,44.0,S,No,E,13.0,Watsonia,1017.1,1018.4,75.02,58.459999999999994,50.0,7.8,2.0,5.0
2009-01-13,43.0,98.96000000000001,NNW,62.0,0.0,No,0.0,6.8,15.0,NNW,No,NE,17.0,Watsonia,1009.8,1013.9,93.91999999999999,68.9,52.52,13.5,9.0,0.0
2009-01-14,46.0,94.1,WSW,12.0,0.0,No,3.0,18.6,44.0,N,No,N,17.0,Watsonia,1008.5,1006.9,81.5,91.94,68.9,12.3,28.0,4.0
2009-01-15,44.0,75.92,SW,63.0,0.0,No,7.0,9.2,41.0,SW,No,WSW,20.0,Watsonia,1014.4,1015.6,72.14,61.88,57.92,10.1,17.0,5.0
2009-01-16,57.0,68.54,SSW,51.0,0.0,No,7.0,8.6,39.0,SSW,No,WSW,26.0,Watsonia,1018.4,1017.0,68.0,62.6,57.2,9.9,24.0,6.0
2009-01-17,44.0,70.7,SW,53.0,0.0,No,4.0,8.8,43.0,SW,No,S,22.0,Watsonia,1022.2,1022.7,67.28,59.18,54.68,12.1,15.0,2.0
2009-01-18,30.0,82.04,SW,64.0,0.0,No,1.0,6.6,39.0,SW,No,ESE,19.0,Watsonia,1018.5,1021.7,76.46,58.82,46.76,13.0,6.0,0.0
2009-01-19,37.0,98.96000000000001,NNW,51.0,0.0,No,1.0,7.8,10.0,N,No,NE,17.0,Watsonia,1008.9,1013.8,96.61999999999999,69.44,51.620000000000005,13.4,11.0,1.0
