Sunshine,Temp3pmF,Rainfall,WindGustDir,RainToday,WindSpeed3pm,WindSpeed9am,RainTomorrow,Cloud3pm,Pressure3pm,WindDir9am,Humidity3pm,Evaporation,Humidity9am,WindGustSpeed,Temp9amF,Cloud9am,Date,MaxTempF,Location,MinTempF,WindDir3pm,Pressure9am
9.2,83.66,0.0,NW,No,20.0,17.0,No,6.0,1001.5,WNW,36.0,11.6,62.0,41.0,74.66,3.0,2009-01-01,93.2,Williamtown,59.36,SE,1005.2
9.4,74.12,0.0,S,No,30.0,13.0,No,2.0,1011.7,S,57.0,8.8,61.0,54.0,70.88,3.0,2009-01-02,76.1,Williamtown,64.94,E,1012.1
0.4,71.06,0.4,NE,No,22.0,19.0,No,7.0,1018.4,ESE,58.0,8.4,60.0,37.0,68.18,7.0,2009-01-03,74.3,Williamtown,62.24,ENE,1020.4
12.0,79.52,0.0,E,No,35.0,19.0,No,1.0,1014.6,NE,51.0,5.0,60.0,50.0,72.86,1.0,2009-01-04,82.04,Williamtown,63.5,ENE,1018.4
11.9,92.84,0.0,ENE,No,26.0,15.0,No,3.0,1008.7,NNW,39.0,8.6,67.0,37.0,72.5,2.0,2009-01-05,96.8,Williamtown,58.64,ENE,1013.6
13.0,84.56,0.0,ENE,No,19.0,13.0,No,1.0,1008.1,SSE,49.0,9.2,68.0,39.0,79.34,1.0,2009-01-06,92.66,Williamtown,65.48,ESE,1011.1
5.3,92.84,0.0,NE,No,19.0,15.0,No,7.0,1005.8,S,40.0,11.0,81.0,30.0,75.38,4.0,2009-01-07,95.9,Williamtown,67.46,ENE,1009.9
0.1,71.24000000000001,0.0,SSW,No,24.0,35.0,Yes,8.0,1011.9,SSW,79.0,7.8,83.0,48.0,71.06,7.0,2009-01-08,74.84,Williamtown,69.25999999999999,S,1010.3
1.9,71.42,1.4,S,Yes,28.0,24.0,No,6.0,1017.6,SE,51.0,8.6,61.0,43.0,66.38,8.0,2009-01-09,73.4,Williamtown,63.68,SSE,1018.7
10.1,73.22,0.0,ESE,No,30.0,7.0,No,6.0,1012.8,NE,46.0,4.2,57.0,44.0,69.08,6.0,2009-01-10,76.82,Williamtown,55.94,ESE,1016.2
11.7,79.88,0.0,,No,28.0,17.0,No,2.0,1010.3,NE,45.0,9.2,56.0,,72.86,2.0,2009-01-11,82.22,Williamtown,55.22,ENE,1013.3
13.0,80.78,0.0,SE,No,31.0,6.0,No,2.0,1014.5,ENE,61.0,8.4,64.0,43.0,75.2,1.0,2009-01-12,82.75999999999999,Williamtown,60.980000000000004,ESE,1014.4
13.1,81.86,0.0,ENE,No,26.0,17.0,No,1.0,1016.1,NE,50.0,9.6,62.0,46.0,74.66,1.0,2009-01-13,82.75999999999999,Williamtown,61.88,ENE,1018.8
13.1,94.1,0.0,ENE,No,26.0,13.0,No,1.0,1011.5,N,33.0,9.0,67.0,39.0,75.74000000000001,0.0,2009-01-14,95.36,Williamtown,62.059999999999995,ENE,1015.2
11.8,104.9,0.0,SSW,No,22.0,11.0,Yes,2.0,1006.2,N,15.0,10.4,51.0,57.0,80.24000000000001,0.0,2009-01-15,107.6,Williamtown,62.78,WNW,1010.4
7.2,77.18,6.0,SE,Yes,22.0,17.0,No,1.0,1009.1,S,64.0,13.8,80.0,46.0,68.36,7.0,2009-01-16,79.16,Williamtown,66.74000000000001,SE,1012.1
2.8,69.62,0.0,SSE,No,30.0,30.0,No,6.0,1019.4,SSE,52.0,9.0,57.0,48.0,67.64,7.0,2009-01-17,73.75999999999999,Williamtown,65.84,SSE,1019.0
11.8,73.58,0.0,E,No,28.0,7.0,No,1.0,1019.6,W,45.0,6.0,69.0,39.0,67.46,1.0,2009-01-18,75.56,Williamtown,52.7,ESE,1021.5
10.0,79.34,0.0,ENE,No,22.0,13.0,No,7.0,1014.8,NE,46.0,7.6,59.0,35.0,70.16,7.0,2009-01-19,86.0,Williamtown,51.98,ENE,1019.0
13.3,91.94,0.0,NE,No,24.0,9.0,No,2.0,1010.3,N,34.0,7.6,59.0,44.0,76.1,2.0,2009-01-20,94.82,Williamtown,57.2,NE,1014.4
7.2,92.48,0.0,N,No,19.0,11.0,No,6.0,1008.3,NW,40.0,10.8,69.0,50.0,77.72,5.0,2009-01-21,101.84,Williamtown,68.9,NE,1012.6
1.3,76.82,0.0,NW,No,13.0,11.0,No,7.0,1008.0,N,84.0,11.2,67.0,41.0,78.25999999999999,7.0,2009-01-22,83.84,Williamtown,71.24000000000001,NNW,1010.1
12.2,91.94,1.0,NE,No,22.0,13.0,No,5.0,1007.0,WNW,44.0,4.4,62.0,41.0,82.22,1.0,2009-01-23,96.26,Williamtown,68.18,E,1010.1
9.5,102.02,0.0,SSW,No,24.0,11.0,Yes,6.0,1003.5,NNW,32.0,9.0,60.0,61.0,85.28,2.0,2009-01-24,105.44,Williamtown,73.04,WNW,1006.0
0.0,71.78,10.4,S,Yes,26.0,22.0,No,7.0,1017.6,S,68.0,12.8,72.0,57.0,69.8,7.0,2009-01-25,74.3,Williamtown,65.48,SSE,1018.2
0.0,75.2,1.0,S,No,22.0,11.0,No,7.0,1017.8,W,87.0,2.8,99.0,37.0,68.18,7.0,2009-01-26,76.1,Williamtown,66.38,S,1018.3
10.4,81.14,0.4,ESE,No,24.0,13.0,No,3.0,1018.5,ENE,69.0,1.8,86.0,37.0,75.38,7.0,2009-01-27,82.22,Williamtown,68.0,ESE,1019.9
