Pressure_3_pm,Location,Temp_9_am_F,Wind_Speed_9_am,Rain_Tomorrow,Wind_Gust_Dir,Pressure_9_am,Max_Temp_F,Wind_Speed_3_pm,Min_Temp_F,Date,Rainfall,Wind_Dir_3_pm,Wind_Dir_9_am,Rain_Today,Humidity_3_pm,Wind_Gust_Speed,Temp_3_pm_F,Humidity_9_am
1012.0,Witchcliffe,63.5,19.0,No,SSE,1015.0,82.94,22.0,53.42,2009-01-01,0.0,SSE,ESE,No,49.0,39.0,81.86,66.0
1011.4,Witchcliffe,69.8,11.0,No,SSE,1012.4,83.84,22.0,59.18,2009-01-02,0.0,SSE,SE,No,48.0,50.0,82.22,65.0
1016.2,Witchcliffe,68.54,24.0,No,SE,1016.9,76.46,22.0,61.88,2009-01-03,0.0,S,SE,No,54.0,44.0,74.66,66.0
1016.9,Witchcliffe,67.64,13.0,No,SSE,1020.1,85.82,20.0,57.02,2009-01-04,0.0,SSE,SE,No,44.0,44.0,84.38000000000001,62.0
1015.5,Witchcliffe,69.25999999999999,13.0,No,SSE,1017.5,86.18,24.0,60.08,2009-01-05,0.0,SSE,SE,No,56.0,44.0,79.7,71.0
1016.2,Witchcliffe,67.82,20.0,No,SSE,1018.1,78.98,24.0,63.5,2009-01-06,0.0,SSE,SE,No,58.0,54.0,74.84,66.0
1015.9,Witchcliffe,64.58,20.0,No,SSE,1019.0,80.96,28.0,57.02,2009-01-07,0.0,SSE,ESE,No,45.0,50.0,77.36,63.0
1017.0,Witchcliffe,63.68,17.0,No,SSE,1018.9,81.14,22.0,55.4,2009-01-08,0.0,SE,SE,No,50.0,48.0,79.16,69.0
1016.9,Witchcliffe,65.66,13.0,No,S,1019.2,83.66,24.0,58.28,2009-01-09,0.0,S,SE,No,47.0,39.0,80.42,74.0
1015.0,Witchcliffe,63.68,13.0,No,S,1016.3,80.06,19.0,60.08,2009-01-10,0.0,SE,SSE,No,50.0,37.0,78.8,99.0
1008.4,Witchcliffe,71.24000000000001,9.0,No,WNW,1011.3,90.68,19.0,54.86,2009-01-11,0.2,WNW,NNE,No,30.0,31.0,86.9,68.0
1010.1,Witchcliffe,68.18,9.0,Yes,WSW,1007.5,71.24000000000001,22.0,57.92,2009-01-12,0.6,SW,WNW,No,72.0,43.0,67.64,93.0
1017.4,Witchcliffe,66.02,17.0,No,SW,1017.8,73.94,17.0,48.92,2009-01-13,2.0,SW,SSW,Yes,47.0,31.0,72.14,51.0
1019.0,Witchcliffe,64.4,9.0,No,SSE,1020.4,76.28,15.0,50.72,2009-01-14,0.0,SE,SE,No,41.0,43.0,74.12,64.0
1015.9,Witchcliffe,65.48,17.0,No,,1019.5,89.96000000000001,19.0,55.04,2009-01-15,0.0,SSE,E,No,33.0,,89.24,70.0
1011.5,Witchcliffe,77.9,7.0,No,WNW,1012.6,100.03999999999999,22.0,,2009-01-16,0.0,W,E,No,27.0,39.0,90.32,50.0
1017.7,Witchcliffe,70.34,28.0,No,SSE,1017.8,80.06,26.0,60.440000000000005,2009-01-17,0.0,S,SSE,No,53.0,50.0,78.62,62.0
1018.3,Witchcliffe,64.58,17.0,No,SSE,1019.5,74.12,31.0,62.6,2009-01-18,0.0,SSE,SE,No,55.0,57.0,69.98,73.0
1018.9,Witchcliffe,63.14,13.0,No,SE,1021.5,73.22,26.0,57.2,2009-01-19,0.0,SSE,ESE,No,42.0,48.0,70.52,53.0
1018.8,Witchcliffe,63.86,0.0,No,WSW,1020.0,75.38,20.0,49.64,2009-01-20,0.0,SW,,No,53.0,37.0,73.58,66.0
1014.3,Witchcliffe,69.08,15.0,Yes,W,1016.0,74.66,17.0,62.6,2009-01-21,0.0,W,W,No,57.0,41.0,74.48,61.0
1013.4,Witchcliffe,65.3,11.0,No,WSW,1013.6,75.56,17.0,62.959999999999994,2009-01-22,2.6,W,SSW,Yes,64.0,31.0,72.14,96.0
1013.4,Witchcliffe,67.46,15.0,No,SW,1013.4,76.82,15.0,64.94,2009-01-23,0.2,SW,WSW,No,52.0,31.0,74.84,86.0
1014.4,Witchcliffe,64.4,6.0,No,SW,1015.8,80.42,11.0,46.58,2009-01-24,0.0,SW,ESE,No,40.0,28.0,79.88,72.0
1013.3,Witchcliffe,68.9,17.0,No,SSE,1016.5,83.48,20.0,61.7,2009-01-25,0.0,SSE,E,No,49.0,39.0,80.96,70.0
1009.7,Witchcliffe,68.54,19.0,No,SE,1009.9,77.9,19.0,64.22,2009-01-26,0.0,SSW,SSE,No,55.0,35.0,75.38,77.0
1010.1,Witchcliffe,65.3,13.0,No,S,1012.7,77.18,26.0,53.06,2009-01-27,0.2,SSE,SE,No,50.0,50.0,74.48,82.0
1007.4,Witchcliffe,66.02,19.0,No,SSE,1008.3,69.25999999999999,24.0,62.6,2009-01-28,0.0,SSE,SE,No,62.0,46.0,66.2,65.0
1011.1,Witchcliffe,67.1,13.0,No,SSE,1011.0,75.38,20.0,61.519999999999996,2009-01-29,0.0,S,SE,No,41.0,39.0,72.14,54.0
1011.7,Witchcliffe,64.75999999999999,13.0,No,SSE,1013.8,76.46,26.0,49.64,2009-01-30,0.0,SSE,SE,No,60.0,50.0,71.42,64.0
1009.1,Witchcliffe,70.16,13.0,No,SSE,1011.6,90.68,20.0,63.32,2009-01-31,0.0,S,ESE,No,47.0,33.0,88.88000000000001,69.0
1012.2,Witchcliffe,72.68,9.0,No,SSE,1013.9,88.88000000000001,20.0,68.54,2009-02-01,0.0,SW,SE,No,58.0,39.0,85.28,85.0
1010.7,Witchcliffe,74.48,7.0,No,WNW,1012.0,89.24,13.0,68.0,2009-02-02,0.0,WSW,SE,No,59.0,30.0,83.3,77.0
1012.0,Witchcliffe,71.6,15.0,No,SSE,1012.3,80.78,20.0,68.18,2009-02-03,0.0,S,SSE,No,54.0,41.0,78.25999999999999,72.0
1015.9,Witchcliffe,62.78,13.0,,,1016.6,74.48,22.0,60.08,2009-02-04,0.6,SSE,S,No,51.0,,71.6,83.0
1012.1,Witchcliffe,,,No,,,,20.0,,2009-02-05,,SSE,,,44.0,,74.48,
1009.9,Witchcliffe,64.4,15.0,No,WSW,1011.2,72.5,19.0,,2009-02-06,0.0,SW,S,No,40.0,41.0,70.16,57.0
1016.4,Witchcliffe,62.42,17.0,No,S,1015.8,71.42,28.0,59.0,2009-02-07,0.4,SSE,S,No,43.0,48.0,69.08,53.0
1019.3,Witchcliffe,61.16,17.0,No,SE,1022.4,77.72,26.0,49.64,2009-02-08,0.2,SSE,E,No,44.0,48.0,76.28,56.0
1018.2,Witchcliffe,63.32,17.0,No,ESE,1021.4,87.44,17.0,53.6,2009-02-09,0.0,ESE,ESE,No,30.0,37.0,85.46000000000001,65.0
1016.2,Witchcliffe,68.18,15.0,No,ENE,1018.9,89.41999999999999,7.0,60.08,2009-02-10,0.0,E,ENE,No,30.0,33.0,87.61999999999999,54.0
1010.5,Witchcliffe,75.92,11.0,No,N,1013.4,96.44,20.0,53.42,2009-02-11,0.0,NNW,ENE,No,20.0,44.0,95.36,43.0
1010.1,Witchcliffe,79.7,7.0,Yes,SSW,1007.8,84.02,9.0,66.38,2009-02-12,0.0,ESE,ENE,No,76.0,48.0,70.16,39.0
1018.1,Witchcliffe,64.04,22.0,No,SE,1019.1,71.24000000000001,31.0,60.8,2009-02-13,1.4,SE,SE,Yes,49.0,67.0,68.9,59.0
1009.6,Witchcliffe,65.84,30.0,Yes,SE,1014.4,85.28,26.0,61.519999999999996,2009-02-14,0.0,SSE,SE,No,53.0,56.0,81.32,78.0
1008.2,Witchcliffe,69.08,15.0,No,SSE,1008.6,84.38000000000001,17.0,62.959999999999994,2009-02-15,3.8,SW,SE,Yes,47.0,33.0,80.96,75.0
1012.5,Witchcliffe,69.25999999999999,9.0,No,S,1011.8,75.2,22.0,59.18,2009-02-16,0.2,SSW,SW,No,59.0,39.0,69.98,69.0
1015.6,Witchcliffe,65.3,20.0,No,SSE,1016.1,74.66,24.0,57.92,2009-02-17,0.0,SSE,S,No,54.0,44.0,72.68,71.0
1014.9,Witchcliffe,61.519999999999996,15.0,No,S,1017.6,76.46,26.0,50.9,2009-02-18,0.0,SSE,ESE,No,44.0,46.0,75.56,64.0
1016.1,Witchcliffe,59.0,13.0,No,SSE,1017.7,78.44,24.0,49.46,2009-02-19,0.0,SSE,ESE,No,46.0,46.0,75.56,72.0
1016.1,Witchcliffe,62.6,13.0,No,SSE,1018.9,88.34,22.0,54.14,2009-02-20,0.0,SSE,SE,No,38.0,39.0,86.18,69.0
1010.8,Witchcliffe,72.86,4.0,No,S,1013.0,92.3,13.0,58.1,2009-02-21,0.0,WNW,ESE,No,29.0,35.0,88.34,51.0
1015.9,Witchcliffe,66.92,22.0,No,SSE,1016.1,74.12,28.0,61.16,2009-02-22,0.0,SSE,S,No,46.0,46.0,71.06,60.0
1011.7,Witchcliffe,56.120000000000005,11.0,No,SE,1016.4,84.74,9.0,49.28,2009-02-23,0.0,ESE,SE,No,33.0,31.0,83.66,70.0
1006.9,Witchcliffe,67.28,19.0,Yes,SW,1005.7,69.44,19.0,55.94,2009-02-24,0.0,WSW,SW,No,58.0,37.0,67.46,79.0
1005.1,Witchcliffe,60.440000000000005,9.0,Yes,W,1005.2,68.9,24.0,58.82,2009-02-25,3.2,WSW,NW,Yes,56.0,54.0,63.5,94.0
1017.7,Witchcliffe,61.519999999999996,15.0,No,SW,1016.3,69.44,20.0,55.04,2009-02-26,2.8,SSW,SW,Yes,58.0,31.0,64.94,55.0
1016.0,Witchcliffe,58.1,4.0,No,S,1019.1,75.74000000000001,7.0,44.239999999999995,2009-02-27,0.2,ESE,NE,No,41.0,31.0,73.04,71.0
1011.4,Witchcliffe,62.78,19.0,Yes,SSE,1015.9,77.9,31.0,57.2,2009-02-28,0.0,SE,SE,No,54.0,54.0,75.56,70.0
1004.5,Witchcliffe,64.22,13.0,Yes,S,1007.4,78.44,11.0,60.26,2009-03-01,27.4,SSW,ENE,Yes,76.0,39.0,75.56,94.0
1013.9,Witchcliffe,60.440000000000005,24.0,No,SSW,1010.5,66.92,28.0,59.18,2009-03-02,2.0,SSE,SSW,Yes,41.0,57.0,65.84,75.0
1026.6,Witchcliffe,59.9,15.0,No,SSE,1026.1,68.54,24.0,55.58,2009-03-03,0.2,SSE,SSE,No,45.0,43.0,67.28,53.0
