Temp9amC,RainTomorrow,WindSpeed3pm,Pressure9am,Location,WindGustSpeed,WindGustDir,WindSpeed9am,Cloud3pm,Humidity9am,Rainfall,MinTempC,Cloud9am,WindDir3pm,MaxTempC,WindDir9am,Date,Humidity3pm,Pressure3pm,RainToday,Temp3pmC
,,,1007.9,Wollongong,,,,,,,,,,,,2008-12-01,,1003.3,,
,,,1010.9,Wollongong,,,,,,,,,,,,2008-12-02,,1006.8,,
,No,19.0,1007.8,Wollongong,70.0,SSE,,,,,,,E,27.4,,2008-12-03,63.0,1005.8,,23.9
18.1,No,22.0,1020.3,Wollongong,39.0,NE,20.0,7.0,67.0,0.4,15.7,8.0,ENE,21.5,E,2008-12-04,65.0,1018.9,No,19.5
20.1,No,19.0,1014.3,Wollongong,41.0,ENE,22.0,,79.0,0.0,18.0,8.0,NNE,27.7,NNE,2008-12-05,75.0,1009.2,No,23.4
27.6,No,22.0,1006.0,Wollongong,44.0,SSE,6.0,4.0,57.0,0.2,18.6,,SSE,32.5,SE,2008-12-06,81.0,1004.4,No,21.2
21.0,Yes,28.0,1007.2,Wollongong,50.0,SSE,28.0,7.0,67.0,0.6,17.9,8.0,SSE,23.6,WNW,2008-12-07,80.0,1008.9,No,20.4
18.7,Yes,37.0,1014.8,Wollongong,54.0,ENE,11.0,8.0,79.0,11.2,15.3,8.0,ENE,21.9,S,2008-12-08,77.0,1011.9,Yes,20.4
21.4,No,44.0,1010.2,Wollongong,57.0,NE,15.0,4.0,74.0,3.0,17.1,,NE,23.4,ENE,2008-12-09,78.0,1005.8,Yes,22.9
20.1,Yes,37.0,1008.6,Wollongong,59.0,SSW,44.0,7.0,77.0,0.0,17.8,8.0,SSE,20.2,SSE,2008-12-10,80.0,1010.8,No,18.5
16.5,Yes,20.0,1014.9,Wollongong,33.0,E,13.0,8.0,93.0,15.0,15.6,8.0,E,18.5,E,2008-12-11,72.0,1015.9,Yes,17.9
17.1,Yes,24.0,1015.5,Wollongong,67.0,NNE,28.0,8.0,89.0,3.4,16.3,8.0,NE,22.8,NNE,2008-12-12,94.0,1010.0,Yes,17.5
22.5,No,30.0,994.0,Wollongong,91.0,NW,22.0,,84.0,48.4,16.1,,W,31.6,N,2008-12-13,30.0,990.7,Yes,31.2
20.5,No,33.0,996.1,Wollongong,85.0,WNW,30.0,3.0,43.0,0.0,18.2,,W,25.0,WSW,2008-12-14,33.0,996.8,No,24.6
18.9,No,28.0,1007.0,Wollongong,56.0,SSW,31.0,,47.0,0.6,15.4,,SSE,20.7,SSW,2008-12-15,54.0,1007.6,No,19.7
20.6,No,17.0,1012.5,Wollongong,39.0,ENE,9.0,,62.0,0.0,14.8,,NNE,23.1,NE,2008-12-16,67.0,1010.1,No,22.1
20.6,No,9.0,1011.7,Wollongong,50.0,S,9.0,7.0,74.0,0.0,16.3,,SE,23.1,ENE,2008-12-17,80.0,1008.7,No,20.9
21.4,No,9.0,1004.5,Wollongong,67.0,NW,13.0,,73.0,0.0,17.3,,NE,29.0,E,2008-12-18,79.0,1000.3,No,22.5
20.7,No,33.0,1005.6,Wollongong,56.0,S,9.0,6.0,52.0,0.8,14.8,,SSE,23.8,SSE,2008-12-19,61.0,1008.2,No,18.9
17.1,No,30.0,1019.7,Wollongong,56.0,SSE,26.0,8.0,58.0,0.0,14.1,3.0,SSE,19.0,S,2008-12-20,73.0,1020.0,No,17.1
19.0,No,22.0,1022.1,Wollongong,35.0,ENE,6.0,,59.0,0.0,12.8,,ENE,21.6,ESE,2008-12-21,61.0,1020.2,No,21.1
20.6,No,52.0,1018.4,Wollongong,63.0,NE,31.0,,63.0,0.0,16.4,,NE,22.9,N,2008-12-22,67.0,1014.2,No,21.7
21.9,Yes,9.0,1008.5,Wollongong,52.0,SSE,19.0,4.0,74.0,0.0,18.5,2.0,ESE,24.4,NNE,2008-12-23,82.0,1008.4,No,22.4
18.9,No,11.0,1013.8,Wollongong,43.0,S,20.0,8.0,78.0,1.2,17.8,8.0,SSE,19.5,SSE,2008-12-24,92.0,1013.2,Yes,17.8
19.0,No,19.0,1014.5,Wollongong,24.0,NE,13.0,,85.0,0.2,17.4,8.0,NE,22.9,NNE,2008-12-25,68.0,1013.6,No,22.4
21.8,No,31.0,1013.4,Wollongong,48.0,NE,19.0,,80.0,0.0,18.2,4.0,NE,24.7,NNE,2008-12-26,80.0,1010.6,No,23.6
21.9,Yes,24.0,1008.2,Wollongong,54.0,W,24.0,,87.0,0.0,20.3,,NNE,24.1,NE,2008-12-27,87.0,1004.3,No,21.7
23.0,No,11.0,1005.7,Wollongong,48.0,NE,13.0,1.0,77.0,6.0,19.4,,N,24.6,ENE,2008-12-28,77.0,1003.1,Yes,23.8
20.6,Yes,19.0,1004.4,Wollongong,44.0,SE,31.0,8.0,76.0,0.0,19.4,1.0,SE,22.2,SE,2008-12-29,78.0,1004.4,No,20.7
19.9,No,28.0,1004.1,Wollongong,41.0,NW,9.0,6.0,78.0,2.6,16.4,7.0,ENE,27.7,N,2008-12-30,77.0,999.6,Yes,22.4
23.8,No,17.0,1002.4,Wollongong,44.0,W,11.0,,30.0,0.0,18.4,,E,29.0,SW,2008-12-31,57.0,1002.4,No,23.9
23.3,No,33.0,1004.3,Wollongong,70.0,SSE,9.0,,56.0,0.0,17.2,,NE,32.3,ENE,2009-01-01,51.0,1000.3,No,25.8
19.3,No,24.0,1013.2,Wollongong,54.0,SE,17.0,8.0,67.0,0.0,17.7,8.0,SE,19.9,SE,2009-01-02,67.0,1015.5,No,17.4
18.0,No,17.0,1021.9,Wollongong,33.0,NNE,15.0,8.0,60.0,0.0,16.5,8.0,ENE,22.1,E,2009-01-03,61.0,1019.9,No,19.7
22.0,No,48.0,1018.2,Wollongong,63.0,NE,28.0,,65.0,0.0,18.0,,NE,23.8,NNE,2009-01-04,72.0,1015.0,No,22.6
21.6,No,22.0,1012.1,Wollongong,37.0,NNE,22.0,,76.0,0.0,18.9,,NE,25.4,NNE,2009-01-05,71.0,1008.3,No,25.0
