wind speed 3 pm,rain tomorrow,min temp f,sunshine,temp 9 am f,date,wind dir 9 am,pressure 9 am,cloud 3 pm,humidity 3 pm,humidity 9 am,evaporation,rain today,wind gust speed,wind gust dir,cloud 9 am,temp 3 pm f,max temp f,pressure 3 pm,location,wind speed 9 am,wind dir 3 pm,rainfall
26.0,No,62.24,,66.02,2009-01-01,S,1010.9,,18.0,56.0,,No,54.0,S,,81.5,85.46000000000001,1010.1,Woomera,28.0,S,0.0
19.0,No,55.94,,61.7,2009-01-02,SSE,1016.4,0.0,13.0,46.0,,No,52.0,SE,,79.34,83.48,1014.4,Woomera,30.0,SSE,0.0
11.0,No,58.82,12.8,72.32,2009-01-03,E,1015.7,0.0,6.0,14.0,,No,31.0,SE,0.0,85.82,89.6,1012.3,Woomera,22.0,ESE,0.0
20.0,No,61.34,14.2,78.25999999999999,2009-01-04,E,1012.2,1.0,2.0,12.0,11.8,No,43.0,E,0.0,94.82,97.34,1010.5,Woomera,20.0,ESE,0.0
11.0,No,68.0,,78.08,2009-01-05,SE,1012.5,0.0,5.0,29.0,16.0,No,41.0,WNW,0.0,98.78,101.11999999999999,1009.5,Woomera,22.0,NW,0.0
19.0,No,68.36,13.9,78.62,2009-01-06,SE,1010.6,2.0,8.0,35.0,15.6,No,54.0,SSE,0.0,103.28,104.36,1006.8,Woomera,17.0,S,0.0
26.0,No,67.46,13.3,72.14,2009-01-07,S,1011.1,0.0,20.0,61.0,19.8,No,57.0,S,0.0,88.16,91.94,1010.4,Woomera,24.0,S,0.0
24.0,No,59.36,13.4,65.12,2009-01-08,SE,1015.8,1.0,14.0,45.0,19.4,No,56.0,SSE,0.0,82.94,88.52,1014.2,Woomera,35.0,SSE,0.0
9.0,No,60.440000000000005,13.5,70.7,2009-01-09,ESE,1014.5,0.0,11.0,28.0,15.6,No,41.0,SSE,1.0,87.61999999999999,91.94,1011.3,Woomera,28.0,SSW,0.0
9.0,No,63.5,,71.78,2009-01-10,SSE,1009.8,1.0,11.0,38.0,13.6,No,43.0,SW,0.0,90.5,93.02,1007.3,Woomera,15.0,SW,0.0
7.0,No,64.58,13.2,71.42,2009-01-11,S,1009.9,0.0,15.0,42.0,14.2,No,44.0,SSE,1.0,89.06,91.94,1008.2,Woomera,24.0,SSW,0.0
11.0,No,63.32,13.3,74.66,2009-01-12,ESE,1013.1,0.0,8.0,33.0,16.2,No,43.0,SSE,0.0,96.08000000000001,101.11999999999999,1010.6,Woomera,28.0,N,0.0
15.0,No,71.6,13.2,89.24,2009-01-13,NNE,1010.4,0.0,4.0,9.0,16.4,No,48.0,N,0.0,104.9,107.96000000000001,1008.1,Woomera,24.0,W,0.0
17.0,No,74.48,13.2,78.44,2009-01-14,S,1010.3,0.0,13.0,43.0,18.8,No,50.0,SSE,0.0,101.11999999999999,105.26,1008.9,Woomera,28.0,W,0.0
31.0,No,66.2,11.4,68.54,2009-01-15,SSE,1016.4,1.0,21.0,58.0,18.0,No,52.0,SSE,3.0,85.46000000000001,88.7,1015.2,Woomera,35.0,SSE,0.0
24.0,No,60.26,13.3,65.66,2009-01-16,SSE,1019.7,0.0,12.0,51.0,16.0,No,52.0,SSE,0.0,86.9,90.86,1018.0,Woomera,28.0,ESE,0.0
17.0,No,61.88,13.3,70.16,2009-01-17,SE,1019.3,0.0,8.0,31.0,17.6,No,44.0,SSE,1.0,88.52,92.3,1016.3,Woomera,31.0,S,0.0
7.0,No,65.3,13.5,78.44,2009-01-18,ENE,1016.3,1.0,8.0,12.0,15.2,No,31.0,SE,0.0,93.2,96.08000000000001,1013.0,Woomera,20.0,W,0.0
7.0,No,68.9,13.5,84.38000000000001,2009-01-19,NW,1011.9,1.0,6.0,11.0,13.2,No,37.0,WSW,1.0,100.4,103.28,1008.3,Woomera,9.0,WSW,0.0
